period,scenario,backlog_stock,capacity_stock,perceived_backlog,corrective_action,investment_flow,service_flow,resistance_index,trust_stock,institutional_learning_stock,system_performance
0,Reactive management,58.0,45.666,58.0,11.535,3.408,20.76,3.634,55.163,35.57,100.0
1,Reactive management,41.34,45.583,58.0,11.54,3.41,20.62,3.635,55.89,36.141,100.0
2,Reactive management,24.906,45.746,58.0,11.545,3.411,20.586,3.637,57.185,36.711,100.0
3,Reactive management,8.591,46.154,58.0,11.55,3.412,20.655,3.638,58.787,37.281,100.0
4,Reactive management,0.0,46.691,58.0,11.556,3.413,20.827,3.64,60.402,37.851,100.0
5,Reactive management,0.0,47.228,58.0,11.561,3.415,21.053,3.642,62.035,38.421,100.0
6,Reactive management,0.0,47.766,58.0,11.566,3.416,21.279,3.643,63.686,38.991,100.0
7,Reactive management,0.0,48.103,41.34,5.907,2.058,20.799,1.861,65.441,39.65,100.0
8,Reactive management,0.0,48.242,24.906,0.325,0.718,20.244,0.102,67.292,40.396,100.0
9,Reactive management,0.0,48.37,8.591,0.0,0.64,20.262,0.0,69.153,41.148,100.0
10,Reactive management,0.0,48.498,0.0,0.0,0.64,20.315,0.0,71.018,41.9,100.0
11,Reactive management,0.0,48.626,0.0,0.0,0.64,20.369,0.0,72.888,42.652,100.0
12,Reactive management,0.0,48.754,0.0,0.0,0.64,20.423,0.0,74.761,43.404,100.0
13,Reactive management,0.0,48.882,0.0,0.0,0.64,20.477,0.0,76.64,44.156,100.0
14,Reactive management,0.0,49.01,0.0,0.0,0.64,20.531,0.0,78.522,44.908,100.0
15,Reactive management,0.0,49.138,0.0,0.0,0.64,20.584,0.0,80.409,45.66,100.0
16,Reactive management,0.0,49.266,0.0,0.0,0.64,20.638,0.0,82.3,46.412,100.0
17,Reactive management,0.0,49.394,0.0,0.0,0.64,20.692,0.0,84.195,47.164,100.0
18,Reactive management,0.0,49.522,0.0,0.0,0.64,20.746,0.0,86.095,47.916,100.0
19,Reactive management,0.0,49.65,0.0,0.0,0.64,20.799,0.0,87.999,48.668,100.0
20,Reactive management,0.0,49.778,0.0,0.0,0.64,20.853,0.0,89.907,49.42,100.0
21,Reactive management,0.0,49.906,0.0,0.0,0.64,20.907,0.0,91.82,50.172,100.0
22,Reactive management,0.0,50.034,0.0,0.0,0.64,20.961,0.0,93.736,50.924,100.0
23,Reactive management,0.0,50.162,0.0,0.0,0.64,21.014,0.0,95.658,51.676,100.0
24,Reactive management,0.0,50.29,0.0,0.0,0.64,21.068,0.0,97.583,52.428,100.0
25,Reactive management,0.0,50.418,0.0,0.0,0.64,21.122,0.0,99.513,53.18,100.0
26,Reactive management,0.0,50.546,0.0,0.0,0.64,21.176,0.0,100.0,53.932,100.0
27,Reactive management,0.0,50.674,0.0,0.0,0.64,21.229,0.0,100.0,54.684,100.0
28,Reactive management,0.0,50.802,0.0,0.0,0.64,21.283,0.0,100.0,55.436,100.0
29,Reactive management,0.0,50.93,0.0,0.0,0.64,21.337,0.0,100.0,56.188,100.0
30,Reactive management,0.0,51.058,0.0,0.0,0.64,21.391,0.0,100.0,56.94,100.0
31,Reactive management,0.0,51.186,0.0,0.0,0.64,21.444,0.0,100.0,57.692,100.0
32,Reactive management,0.0,51.314,0.0,0.0,0.64,21.498,0.0,100.0,58.444,100.0
33,Reactive management,0.0,51.442,0.0,0.0,0.64,21.552,0.0,100.0,59.196,100.0
34,Reactive management,0.0,51.57,0.0,0.0,0.64,21.606,0.0,100.0,59.948,100.0
35,Reactive management,0.0,51.698,0.0,0.0,0.64,21.659,0.0,100.0,60.7,100.0
36,Reactive management,0.0,51.826,0.0,0.0,0.64,21.713,0.0,100.0,61.452,100.0
37,Reactive management,0.0,51.954,0.0,0.0,0.64,21.767,0.0,100.0,62.204,100.0
38,Reactive management,0.0,52.082,0.0,0.0,0.64,21.821,0.0,100.0,62.956,100.0
39,Reactive management,0.0,52.21,0.0,0.0,0.64,21.875,0.0,100.0,63.708,100.0
40,Reactive management,0.0,52.338,0.0,0.0,0.64,21.928,0.0,100.0,64.46,100.0
41,Reactive management,0.0,52.466,0.0,0.0,0.64,21.982,0.0,100.0,65.212,100.0
42,Reactive management,0.0,52.594,0.0,0.0,0.64,22.036,0.0,100.0,65.964,100.0
43,Reactive management,0.0,52.722,0.0,0.0,0.64,22.09,0.0,100.0,66.716,100.0
44,Reactive management,0.0,52.85,0.0,0.0,0.64,22.143,0.0,100.0,67.468,100.0
45,Reactive management,0.0,52.978,0.0,0.0,0.64,22.197,0.0,100.0,68.22,100.0
46,Reactive management,0.0,53.106,0.0,0.0,0.64,22.251,0.0,100.0,68.972,100.0
47,Reactive management,0.0,53.234,0.0,0.0,0.64,22.305,0.0,100.0,69.724,100.0
48,Reactive management,0.0,53.362,0.0,0.0,0.64,22.358,0.0,100.0,70.476,100.0
0,Delayed correction,58.0,46.434,58.0,19.56,7.61,21.817,5.457,55.269,35.783,100.0
1,Delayed correction,39.983,47.138,58.0,19.569,7.614,22.001,5.46,56.188,36.566,100.0
2,Delayed correction,21.861,48.115,58.0,19.579,7.617,22.298,5.462,57.771,37.349,100.0
3,Delayed correction,3.521,49.368,58.0,19.588,7.62,22.709,5.465,59.511,38.132,100.0
4,Delayed correction,0.0,50.674,58.0,19.598,7.623,23.237,5.468,61.292,38.914,100.0
5,Delayed correction,0.0,51.98,58.0,19.607,7.626,23.786,5.47,63.118,39.697,100.0
6,Delayed correction,0.0,53.287,58.0,19.616,7.63,24.336,5.473,64.987,40.479,100.0
7,Delayed correction,0.0,54.595,58.0,19.626,7.633,24.886,5.476,66.899,41.261,100.0
8,Delayed correction,0.0,55.903,58.0,19.635,7.636,25.437,5.478,68.856,42.044,100.0
9,Delayed correction,0.0,57.211,58.0,19.645,7.639,25.987,5.481,70.857,42.825,100.0
10,Delayed correction,0.0,58.521,58.0,19.654,7.642,26.538,5.483,72.901,43.607,100.0
11,Delayed correction,0.0,59.236,39.983,9.213,4.092,25.755,2.57,75.116,44.535,100.0
12,Delayed correction,0.0,59.428,21.861,0.0,0.96,24.879,0.0,77.466,45.591,100.0
13,Delayed correction,0.0,59.62,3.521,0.0,0.96,24.96,0.0,79.823,46.647,100.0
14,Delayed correction,0.0,59.812,0.0,0.0,0.96,25.041,0.0,82.186,47.703,100.0
15,Delayed correction,0.0,60.004,0.0,0.0,0.96,25.121,0.0,84.556,48.759,100.0
16,Delayed correction,0.0,60.196,0.0,0.0,0.96,25.202,0.0,86.932,49.815,100.0
17,Delayed correction,0.0,60.388,0.0,0.0,0.96,25.282,0.0,89.315,50.871,100.0
18,Delayed correction,0.0,60.58,0.0,0.0,0.96,25.363,0.0,91.704,51.927,100.0
19,Delayed correction,0.0,60.772,0.0,0.0,0.96,25.444,0.0,94.099,52.983,100.0
