sensor_id,asset_id,sensor_type,reliability,calibration_age_months,false_alarm_rate,missed_detection_rate
s_bridge_01,bridge_north,strain,0.82,8,0.04,0.07
s_water_01,water_main_east,pressure,0.78,13,0.06,0.10
s_power_01,substation_7,load,0.86,5,0.03,0.05
s_transit_01,transit_signal_core,signal_status,0.81,9,0.05,0.08
s_storm_01,stormwater_pump_south,flow,0.76,14,0.07,0.11
s_cooling_01,cooling_center_grid_node,temperature_load,0.80,7,0.05,0.07
s_air_01,air_quality_sensor_cluster,air_quality,0.84,6,0.04,0.06
s_waste_01,wastewater_lift_station,pump_status,0.77,11,0.06,0.10
s_broadband_01,public_broadband_hub,network_uptime,0.88,4,0.03,0.04
s_corridor_01,hospital_access_corridor,traffic_flow,0.79,10,0.05,0.08
