node_id,category,capacity,threshold,vulnerability,recovery_capacity,degree_score,dependency_exposure_score,bridge_approximation_score,criticality_index
power_grid,infrastructure,0.92,0.55,0.42,0.7,11,2.6735,0.0,9.7125
water_utility,infrastructure,0.88,0.5,0.5,0.62,5,0.5145,0.0,2.4075
hospital,public_health,0.82,0.48,0.72,0.55,6,0.331,0.019,2.198
transit_hub,transport,0.78,0.46,0.6,0.5,7,0.641,0.0095,3.202
data_center,digital,0.86,0.52,0.45,0.68,5,0.39,0.0,1.986
cloud_platform,digital,0.9,0.58,0.4,0.72,5,0.4195,0.0,2.0325
food_distribution,supply_chain,0.8,0.45,0.68,0.48,5,0.124,0.0,1.386
fuel_terminal,supply_chain,0.76,0.44,0.58,0.46,5,0.749,0.0,3.207
emergency_services,public_safety,0.84,0.5,0.7,0.6,4,0.0,0.0,0.84
telecom_network,digital,0.87,0.5,0.52,0.64,14,2.2975,0.1429,9.3983
community_clinic,public_health,0.7,0.4,0.78,0.44,4,0.0,0.0,0.936
local_government,institutional,0.74,0.42,0.65,0.54,4,0.2625,0.0,1.6155
school_network,institutional,0.72,0.4,0.62,0.46,4,0.0,0.0,0.834
housing_services,institutional,0.68,0.38,0.75,0.42,3,0.0,0.0,0.774
payment_system,financial,0.85,0.5,0.48,0.66,7,0.625,0.0571,3.1292
regional_supplier,supply_chain,0.77,0.43,0.55,0.5,5,0.56,0.0095,2.629
