dependent_provider,cloud_platform,community_clinic,data_center,emergency_services,food_distribution,fuel_terminal,hospital,housing_services,local_government,payment_system,power_grid,regional_supplier,school_network,telecom_network,transit_hub,water_utility
cloud_platform,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.45,0.0,0.0
community_clinic,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.25
data_center,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.45,0.0,0.15
emergency_services,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.0,0.0,0.55,0.25,0.0
food_distribution,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.25,0.0,0.4,0.0,0.0,0.25,0.0
fuel_terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.2,0.0,0.0
hospital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.4,0.0,0.3,0.0,0.35
housing_services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.0,0.0,0.0,0.25,0.0,0.0
local_government,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.35,0.0,0.0
payment_system,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.3,0.0,0.0
power_grid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
regional_supplier,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.2,0.0
school_network,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.3,0.0
telecom_network,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
transit_hub,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.25,0.0,0.0
water_utility,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.2,0.0,0.0
