dependent,provider,dependency_weight,dependent_category,provider_category
water_utility,power_grid,0.7,infrastructure,infrastructure
water_utility,telecom_network,0.2,infrastructure,digital
hospital,power_grid,0.55,public_health,infrastructure
hospital,water_utility,0.35,public_health,infrastructure
hospital,telecom_network,0.3,public_health,digital
hospital,regional_supplier,0.4,public_health,supply_chain
transit_hub,power_grid,0.45,transport,infrastructure
transit_hub,telecom_network,0.25,transport,digital
transit_hub,fuel_terminal,0.35,transport,supply_chain
data_center,power_grid,0.65,digital,infrastructure
data_center,telecom_network,0.45,digital,digital
data_center,water_utility,0.15,digital,infrastructure
cloud_platform,data_center,0.65,digital,digital
cloud_platform,telecom_network,0.45,digital,digital
cloud_platform,power_grid,0.3,digital,infrastructure
food_distribution,fuel_terminal,0.55,supply_chain,supply_chain
food_distribution,transit_hub,0.25,supply_chain,transport
food_distribution,payment_system,0.25,supply_chain,financial
food_distribution,regional_supplier,0.4,supply_chain,supply_chain
fuel_terminal,power_grid,0.35,supply_chain,infrastructure
fuel_terminal,telecom_network,0.2,supply_chain,digital
emergency_services,power_grid,0.35,public_safety,infrastructure
emergency_services,telecom_network,0.55,public_safety,digital
emergency_services,transit_hub,0.25,public_safety,transport
emergency_services,hospital,0.25,public_safety,public_health
telecom_network,power_grid,0.6,digital,infrastructure
telecom_network,data_center,0.25,digital,digital
community_clinic,power_grid,0.3,public_health,infrastructure
community_clinic,water_utility,0.25,public_health,infrastructure
community_clinic,hospital,0.2,public_health,public_health
community_clinic,telecom_network,0.3,public_health,digital
local_government,cloud_platform,0.35,institutional,digital
local_government,telecom_network,0.35,institutional,digital
local_government,payment_system,0.2,institutional,financial
school_network,power_grid,0.25,institutional,infrastructure
school_network,telecom_network,0.25,institutional,digital
school_network,transit_hub,0.3,institutional,transport
school_network,food_distribution,0.2,institutional,supply_chain
housing_services,local_government,0.35,institutional,institutional
housing_services,payment_system,0.25,institutional,financial
housing_services,telecom_network,0.25,institutional,digital
payment_system,cloud_platform,0.4,financial,digital
payment_system,telecom_network,0.3,financial,digital
payment_system,power_grid,0.2,financial,infrastructure
regional_supplier,fuel_terminal,0.3,supply_chain,supply_chain
regional_supplier,payment_system,0.25,supply_chain,financial
regional_supplier,transit_hub,0.2,supply_chain,transport
