period,resource_stock,consumption,regeneration
0,82.000,5.580,5.500
1,81.920,5.580,5.500
2,81.840,5.580,5.500
3,81.760,5.580,5.500
4,81.680,5.580,5.500
5,81.600,5.580,5.500
6,81.520,5.580,5.500
7,81.440,5.580,5.500
8,81.360,5.580,5.500
9,81.280,5.580,5.500
10,81.200,5.580,5.500
11,81.120,5.580,5.500
12,81.040,5.580,5.500
13,80.960,5.580,5.500
14,80.880,5.580,5.500
15,80.800,5.580,5.500
16,80.720,5.580,5.500
17,80.640,5.580,5.500
18,80.560,5.580,5.500
19,80.480,5.580,5.500
20,80.400,5.580,5.500
21,80.320,5.580,5.500
22,80.240,5.580,5.500
23,80.160,5.580,5.500
24,80.080,5.580,5.500
25,80.000,5.580,5.500
26,79.920,5.580,5.500
27,79.840,5.580,5.500
28,79.760,5.580,5.500
29,79.680,5.580,5.500
30,79.600,5.580,5.500
31,79.520,5.580,5.500
32,79.440,5.580,5.500
33,79.360,5.580,5.500
34,79.280,5.580,5.500
35,79.200,5.580,5.500
36,79.120,5.580,5.500
