period,scenario,resource_stock,perceived_resource_stock,consumption_flow,regeneration_flow,overshoot_index,leverage_quality,trust_stock,institutional_learning_stock,resilience_capacity,structural_insight_score
0,Growth with weak feedback,80.121,82.0,6.619,4.74,15.694,21.04,52.8,36.024,43.801,30.986
1,Growth with weak feedback,78.345,82.0,6.607,4.83,15.182,21.04,53.61,37.048,45.651,31.766
2,Growth with weak feedback,76.673,82.0,6.594,4.923,14.659,21.04,54.431,38.072,47.55,32.559
3,Growth with weak feedback,75.108,82.0,6.582,5.018,14.122,21.04,55.263,39.096,49.498,33.364
4,Growth with weak feedback,73.654,82.0,6.57,5.115,13.574,21.04,56.105,40.12,51.496,34.183
5,Growth with weak feedback,72.311,82.0,6.557,5.215,13.013,21.04,56.959,41.144,53.543,35.014
6,Growth with weak feedback,71.083,82.0,6.545,5.317,12.44,21.04,57.824,42.168,55.64,35.858
7,Growth with weak feedback,69.972,82.0,6.533,5.422,11.854,21.04,58.701,43.192,57.787,36.716
8,Growth with weak feedback,68.98,82.0,6.522,5.529,11.262,21.04,59.59,44.216,59.983,37.585
9,Growth with weak feedback,68.07,82.0,6.549,5.639,10.849,21.04,60.487,45.24,62.229,38.433
10,Growth with weak feedback,67.248,82.0,6.573,5.751,10.409,21.04,61.393,46.264,64.523,39.295
11,Growth with weak feedback,66.536,80.121,6.579,5.866,10.52,21.04,62.31,47.288,66.867,40.069
12,Growth with weak feedback,65.939,78.345,6.58,5.983,10.565,21.04,63.238,48.312,69.261,40.866
13,Growth with weak feedback,65.463,76.673,6.579,6.103,10.542,21.04,64.178,49.336,71.705,41.685
14,Growth with weak feedback,65.116,75.108,6.573,6.225,10.449,21.04,65.132,50.36,74.201,42.529
15,Growth with weak feedback,64.903,73.654,6.563,6.35,10.284,21.04,66.098,51.384,76.749,43.397
16,Growth with weak feedback,64.833,72.311,6.548,6.477,10.044,21.04,67.079,52.408,79.348,44.291
17,Growth with weak feedback,64.911,71.083,6.529,6.607,10.121,21.04,68.067,53.432,81.999,45.137
18,Growth with weak feedback,65.147,69.972,6.504,6.74,10.51,21.04,69.055,54.456,84.703,45.938
19,Growth with weak feedback,65.548,68.98,6.474,6.875,10.857,21.04,70.043,55.48,87.461,46.755
20,Growth with weak feedback,66.122,68.07,6.439,7.013,11.175,21.04,71.031,56.504,90.272,47.587
21,Growth with weak feedback,66.879,67.248,6.397,7.154,11.463,21.04,72.019,57.528,93.138,48.434
22,Growth with weak feedback,67.827,66.536,6.349,7.297,11.712,21.04,73.007,58.552,96.058,49.298
