year,scenario,asset_id,category,condition,failure_probability,failure_consequence,cyber_physical_dependency,risk_score,maintenance_action_score,resilience_score,equity_priority,redundancy
0,Reactive maintenance baseline,bridge_north,transport,64.0,21.781,53.393,22.38,32.905,23.844,31.62,62.0,35.0
0,Reactive maintenance baseline,water_main_east,water,58.0,27.814,60.988,25.38,39.181,25.9,27.616,82.0,25.0
0,Reactive maintenance baseline,substation_7,power,70.0,20.243,57.956,41.38,35.556,24.7,32.756,70.0,42.0
0,Reactive maintenance baseline,transit_signal_core,transport,72.0,15.568,47.831,44.38,29.741,22.982,34.57,58.0,48.0
0,Reactive maintenance baseline,stormwater_pump_south,stormwater,54.0,30.156,62.082,30.38,41.353,26.242,26.808,76.0,30.0
0,Reactive maintenance baseline,cooling_center_grid_node,public_facility,68.0,20.894,57.432,34.38,35.031,25.091,32.144,88.0,38.0
0,Reactive maintenance baseline,air_quality_sensor_cluster,environmental,82.0,10.299,43.3,28.38,23.657,22.002,39.908,74.0,55.0
0,Reactive maintenance baseline,wastewater_lift_station,wastewater,60.0,26.396,57.7,31.38,37.851,25.185,28.894,68.0,32.0
0,Reactive maintenance baseline,public_broadband_hub,digital,76.0,12.786,50.378,50.38,29.702,23.602,34.08,80.0,40.0
0,Reactive maintenance baseline,hospital_access_corridor,transport,62.0,21.461,61.635,23.38,35.714,25.195,30.025,86.0,28.0
1,Reactive maintenance baseline,bridge_north,transport,62.581,22.32,53.393,22.38,33.202,23.914,31.233,62.0,35.0
1,Reactive maintenance baseline,water_main_east,water,56.604,28.344,60.988,25.38,39.473,25.969,27.234,82.0,25.0
1,Reactive maintenance baseline,substation_7,power,68.585,20.781,57.956,41.38,35.852,24.77,32.369,70.0,42.0
1,Reactive maintenance baseline,transit_signal_core,transport,70.611,16.096,47.831,44.38,30.031,23.05,34.191,58.0,48.0
1,Reactive maintenance baseline,stormwater_pump_south,stormwater,52.395,30.766,62.082,30.38,41.688,26.321,26.369,76.0,30.0
1,Reactive maintenance baseline,cooling_center_grid_node,public_facility,66.412,21.497,57.432,34.38,35.363,25.169,31.711,88.0,38.0
1,Reactive maintenance baseline,air_quality_sensor_cluster,environmental,80.342,10.929,43.3,28.38,24.004,22.084,39.455,74.0,55.0
