scenario,asset_id,category,risk_score,resilience_score,equity_priority,maintenance_action_score,priority_class
Reactive maintenance baseline,stormwater_pump_south,stormwater,47.922,18.221,76.0,27.794,elevated
Reactive maintenance baseline,water_main_east,water,44.894,20.148,82.0,27.25,elevated
Reactive maintenance baseline,wastewater_lift_station,wastewater,43.801,21.116,68.0,26.591,elevated
Sensor-rich but underfunded,stormwater_pump_south,stormwater,43.686,20.089,76.0,29.798,elevated
Reactive maintenance baseline,cooling_center_grid_node,public_facility,41.529,23.65,88.0,26.627,routine
Reactive maintenance baseline,substation_7,power,41.349,25.184,70.0,26.069,routine
Reactive maintenance baseline,hospital_access_corridor,transport,41.344,22.665,86.0,26.526,routine
Sensor-rich but underfunded,water_main_east,water,40.427,22.105,82.0,29.214,routine
Sensor-rich but underfunded,wastewater_lift_station,wastewater,39.475,23.024,68.0,28.554,routine
Reactive maintenance baseline,bridge_north,transport,38.714,24.027,62.0,25.217,routine
Sensor-rich but underfunded,cooling_center_grid_node,public_facility,37.38,25.524,88.0,28.68,routine
Sensor-rich but underfunded,substation_7,power,37.247,27.058,70.0,28.089,routine
Sensor-rich but underfunded,hospital_access_corridor,transport,36.807,24.649,86.0,28.483,routine
Reactive maintenance baseline,transit_signal_core,transport,35.426,27.139,58.0,24.325,routine
Predictive maintenance strategy,stormwater_pump_south,stormwater,35.313,43.181,76.0,43.899,routine
Reactive maintenance baseline,public_broadband_hub,digital,35.131,26.983,80.0,24.885,routine
Sensor-rich but underfunded,bridge_north,transport,34.1,26.004,62.0,27.097,routine
Predictive maintenance strategy,water_main_east,water,32.695,44.97,82.0,43.565,routine
Accountable resilient infrastructure,stormwater_pump_south,stormwater,31.585,55.221,76.0,50.37,routine
Predictive maintenance strategy,wastewater_lift_station,wastewater,31.394,45.876,68.0,42.593,routine
Sensor-rich but underfunded,transit_signal_core,transport,31.325,29.016,58.0,26.317,routine
Sensor-rich but underfunded,public_broadband_hub,digital,31.203,28.854,80.0,26.972,routine
Reactive maintenance baseline,air_quality_sensor_cluster,environmental,30.442,31.039,74.0,23.605,routine
Accountable resilient infrastructure,water_main_east,water,29.468,56.846,82.0,50.253,routine
Predictive maintenance strategy,hospital_access_corridor,transport,29.273,47.47,86.0,42.946,routine
Predictive maintenance strategy,cooling_center_grid_node,public_facility,29.202,48.62,88.0,43.024,routine
Predictive maintenance strategy,substation_7,power,29.096,49.901,70.0,42.144,routine
Accountable resilient infrastructure,wastewater_lift_station,wastewater,27.862,57.725,68.0,48.98,routine
Predictive maintenance strategy,bridge_north,transport,26.342,48.686,62.0,41.114,routine
Accountable resilient infrastructure,hospital_access_corridor,transport,26.205,59.317,86.0,49.737,routine
Sensor-rich but underfunded,air_quality_sensor_cluster,environmental,26.081,32.952,74.0,25.574,routine
Accountable resilient infrastructure,cooling_center_grid_node,public_facility,25.654,60.678,88.0,49.734,routine
Accountable resilient infrastructure,substation_7,power,25.512,61.748,70.0,48.552,routine
Predictive maintenance strategy,public_broadband_hub,digital,23.935,51.52,80.0,41.399,routine
Accountable resilient infrastructure,public_broadband_hub,digital,23.832,62.615,80.0,48.793,routine
Predictive maintenance strategy,transit_signal_core,transport,23.181,51.707,58.0,40.177,routine
Accountable resilient infrastructure,bridge_north,transport,23.037,60.401,62.0,47.456,routine
Accountable resilient infrastructure,transit_signal_core,transport,21.585,62.998,58.0,46.858,routine
Predictive maintenance strategy,air_quality_sensor_cluster,environmental,19.051,55.717,74.0,39.96,routine
Accountable resilient infrastructure,air_quality_sensor_cluster,environmental,18.754,66.926,74.0,47.21,routine
