"scenario","asset_id","category","condition","risk_score","resilience_score","cyber_physical_dependency","maintenance_action_score","equity_priority"
"Reactive maintenance baseline","stormwater_pump_south","stormwater",22.568,47.922,18.221,30.38,27.794,76
"Reactive maintenance baseline","water_main_east","water",30.666,44.894,20.148,25.38,27.25,82
"Reactive maintenance baseline","wastewater_lift_station","wastewater",31.528,43.801,21.116,31.38,26.591,68
"Sensor-rich but underfunded","stormwater_pump_south","stormwater",28.118,43.686,20.089,46.48,29.798,76
"Reactive maintenance baseline","cooling_center_grid_node","public_facility",36.908,41.529,23.65,34.38,26.627,88
"Reactive maintenance baseline","substation_7","power",42.285,41.349,25.184,41.38,26.069,70
"Reactive maintenance baseline","hospital_access_corridor","transport",35.06,41.344,22.665,23.38,26.526,86
"Sensor-rich but underfunded","water_main_east","water",36.371,40.427,22.105,41.48,29.214,82
"Sensor-rich but underfunded","wastewater_lift_station","wastewater",37.21,39.475,23.024,47.48,28.554,68
"Reactive maintenance baseline","bridge_north","transport",36.208,38.714,24.027,22.38,25.217,62
"Sensor-rich but underfunded","cooling_center_grid_node","public_facility",42.563,37.38,25.524,50.48,28.68,88
"Sensor-rich but underfunded","substation_7","power",48.072,37.247,27.058,57.48,28.089,70
"Sensor-rich but underfunded","hospital_access_corridor","transport",40.803,36.807,24.649,39.48,28.483,86
"Reactive maintenance baseline","transit_signal_core","transport",44.801,35.426,27.139,44.38,24.325,58
"Predictive maintenance strategy","stormwater_pump_south","stormwater",45.437,35.313,43.181,29.94,43.899,76
"Reactive maintenance baseline","public_broadband_hub","digital",50.025,35.131,26.983,50.38,24.885,80
"Sensor-rich but underfunded","bridge_north","transport",41.895,34.1,26.004,38.48,27.097,62
"Predictive maintenance strategy","water_main_east","water",53.154,32.695,44.97,24.94,43.565,82
"Accountable resilient infrastructure","stormwater_pump_south","stormwater",53.575,31.585,55.221,17.66,50.37,76
"Predictive maintenance strategy","wastewater_lift_station","wastewater",53.794,31.394,45.876,30.94,42.593,68
"Sensor-rich but underfunded","transit_signal_core","transport",50.65,31.325,29.016,60.48,26.317,58
"Sensor-rich but underfunded","public_broadband_hub","digital",55.991,31.203,28.854,66.48,26.972,80
"Reactive maintenance baseline","air_quality_sensor_cluster","environmental",49.539,30.442,31.039,28.38,23.605,74
"Accountable resilient infrastructure","water_main_east","water",60.916,29.468,56.846,12.66,50.253,82
"Predictive maintenance strategy","hospital_access_corridor","transport",57.512,29.273,47.47,22.94,42.946,86
"Predictive maintenance strategy","cooling_center_grid_node","public_facility",59.869,29.202,48.62,33.94,43.024,88
"Predictive maintenance strategy","substation_7","power",64.464,29.096,49.901,40.94,42.144,70
"Accountable resilient infrastructure","wastewater_lift_station","wastewater",61.345,27.862,57.725,18.66,48.98,68
"Predictive maintenance strategy","bridge_north","transport",58.134,26.342,48.686,21.94,41.114,62
"Accountable resilient infrastructure","hospital_access_corridor","transport",65.237,26.205,59.317,10.66,49.737,86
"Sensor-rich but underfunded","air_quality_sensor_cluster","environmental",55.175,26.081,32.952,44.48,25.574,74
"Accountable resilient infrastructure","cooling_center_grid_node","public_facility",68.05,25.654,60.678,21.66,49.734,88
"Accountable resilient infrastructure","substation_7","power",71.879,25.512,61.748,28.66,48.552,70
"Predictive maintenance strategy","public_broadband_hub","digital",72.341,23.935,51.52,49.94,41.399,80
"Accountable resilient infrastructure","public_broadband_hub","digital",80.126,23.832,62.615,37.66,48.793,80
"Predictive maintenance strategy","transit_signal_core","transport",66.509,23.181,51.707,43.94,40.177,58
"Accountable resilient infrastructure","bridge_north","transport",65.401,23.037,60.401,9.66,47.456,62
"Accountable resilient infrastructure","transit_signal_core","transport",73.867,21.585,62.998,31.66,46.858,58
"Predictive maintenance strategy","air_quality_sensor_cluster","environmental",72.51,19.051,55.717,27.94,39.96,74
"Accountable resilient infrastructure","air_quality_sensor_cluster","environmental",80.814,18.754,66.926,15.66,47.21,74
