"scenario","category","risk_score","resilience_score","cyber_physical_dependency","maintenance_action_score"
"Accountable resilient infrastructure","digital",23.832,62.615,37.66,48.793
"Predictive maintenance strategy","digital",23.935,51.52,49.94,41.399
"Reactive maintenance baseline","digital",35.131,26.983,50.38,24.885
"Sensor-rich but underfunded","digital",31.203,28.854,66.48,26.972
"Accountable resilient infrastructure","environmental",18.754,66.926,15.66,47.21
"Predictive maintenance strategy","environmental",19.051,55.717,27.94,39.96
"Reactive maintenance baseline","environmental",30.442,31.039,28.38,23.605
"Sensor-rich but underfunded","environmental",26.081,32.952,44.48,25.574
"Accountable resilient infrastructure","power",25.512,61.748,28.66,48.552
"Predictive maintenance strategy","power",29.096,49.901,40.94,42.144
"Reactive maintenance baseline","power",41.349,25.184,41.38,26.069
"Sensor-rich but underfunded","power",37.247,27.058,57.48,28.089
"Accountable resilient infrastructure","public_facility",25.654,60.678,21.66,49.734
"Predictive maintenance strategy","public_facility",29.202,48.62,33.94,43.024
"Reactive maintenance baseline","public_facility",41.529,23.65,34.38,26.627
"Sensor-rich but underfunded","public_facility",37.38,25.524,50.48,28.68
"Accountable resilient infrastructure","stormwater",31.585,55.221,17.66,50.37
"Predictive maintenance strategy","stormwater",35.313,43.181,29.94,43.899
"Reactive maintenance baseline","stormwater",47.922,18.221,30.38,27.794
"Sensor-rich but underfunded","stormwater",43.686,20.089,46.48,29.798
"Accountable resilient infrastructure","transport",23.609,60.9053333333333,17.3266666666667,48.017
"Predictive maintenance strategy","transport",26.2653333333333,49.2876666666667,29.6066666666667,41.4123333333333
"Reactive maintenance baseline","transport",38.4946666666667,24.6103333333333,30.0466666666667,25.356
"Sensor-rich but underfunded","transport",34.0773333333333,26.5563333333333,46.1466666666667,27.299
"Accountable resilient infrastructure","wastewater",27.862,57.725,18.66,48.98
"Predictive maintenance strategy","wastewater",31.394,45.876,30.94,42.593
"Reactive maintenance baseline","wastewater",43.801,21.116,31.38,26.591
"Sensor-rich but underfunded","wastewater",39.475,23.024,47.48,28.554
"Accountable resilient infrastructure","water",29.468,56.846,12.66,50.253
"Predictive maintenance strategy","water",32.695,44.97,24.94,43.565
"Reactive maintenance baseline","water",44.894,20.148,25.38,27.25
"Sensor-rich but underfunded","water",40.427,22.105,41.48,29.214
