scenario,asset_id,category,risk_score,equity_priority,redundancy_gap,maintenance_action_score,public_priority_score,priority_band
Accountable resilient infrastructure,water_main_east,water,29.468,82.0,75.0,50.253,42.299,elevated
Accountable resilient infrastructure,hospital_access_corridor,transport,26.205,86.0,72.0,49.737,41.205,elevated
Accountable resilient infrastructure,stormwater_pump_south,stormwater,31.585,76.0,70.0,50.37,40.964,elevated
Accountable resilient infrastructure,cooling_center_grid_node,public_facility,25.654,88.0,62.0,49.734,39.621,elevated
Accountable resilient infrastructure,wastewater_lift_station,wastewater,27.862,68.0,68.0,48.98,37.036,elevated
Accountable resilient infrastructure,public_broadband_hub,digital,23.832,80.0,60.0,48.793,36.56,elevated
Accountable resilient infrastructure,substation_7,power,25.512,70.0,58.0,48.552,34.631,routine
Accountable resilient infrastructure,bridge_north,transport,23.037,62.0,65.0,47.456,32.892,routine
Accountable resilient infrastructure,air_quality_sensor_cluster,environmental,18.754,74.0,45.0,47.21,30.141,routine
Accountable resilient infrastructure,transit_signal_core,transport,21.585,58.0,52.0,46.858,28.955,routine
Predictive maintenance strategy,water_main_east,water,32.695,82.0,75.0,43.565,44.517,elevated
Predictive maintenance strategy,stormwater_pump_south,stormwater,35.313,76.0,70.0,43.899,43.4,elevated
Predictive maintenance strategy,hospital_access_corridor,transport,29.273,86.0,72.0,42.946,43.356,elevated
Predictive maintenance strategy,cooling_center_grid_node,public_facility,29.202,88.0,62.0,43.024,41.995,elevated
Predictive maintenance strategy,wastewater_lift_station,wastewater,31.394,68.0,68.0,42.593,39.37,elevated
Predictive maintenance strategy,public_broadband_hub,digital,23.935,80.0,60.0,41.399,37.349,elevated
Predictive maintenance strategy,substation_7,power,29.096,70.0,58.0,42.144,36.992,elevated
Predictive maintenance strategy,bridge_north,transport,26.342,62.0,65.0,41.114,35.113,elevated
Predictive maintenance strategy,air_quality_sensor_cluster,environmental,19.051,74.0,45.0,39.96,31.008,routine
Predictive maintenance strategy,transit_signal_core,transport,23.181,58.0,52.0,40.177,30.389,routine
Reactive maintenance baseline,water_main_east,water,44.894,82.0,75.0,27.25,52.004,urgent
Reactive maintenance baseline,stormwater_pump_south,stormwater,47.922,76.0,70.0,27.794,51.063,urgent
Reactive maintenance baseline,hospital_access_corridor,transport,41.344,86.0,72.0,26.526,50.793,urgent
Reactive maintenance baseline,cooling_center_grid_node,public_facility,41.529,88.0,62.0,26.627,49.551,elevated
Reactive maintenance baseline,wastewater_lift_station,wastewater,43.801,68.0,68.0,26.591,46.925,elevated
Reactive maintenance baseline,substation_7,power,41.349,70.0,58.0,26.069,44.481,elevated
Reactive maintenance baseline,public_broadband_hub,digital,35.131,80.0,60.0,24.885,44.374,elevated
Reactive maintenance baseline,bridge_north,transport,38.714,62.0,65.0,25.217,42.641,elevated
Reactive maintenance baseline,air_quality_sensor_cluster,environmental,30.442,74.0,45.0,23.605,38.112,elevated
Reactive maintenance baseline,transit_signal_core,transport,35.426,58.0,52.0,24.325,37.852,elevated
Sensor-rich but underfunded,water_main_east,water,40.427,82.0,75.0,29.214,49.664,elevated
Sensor-rich but underfunded,stormwater_pump_south,stormwater,43.686,76.0,70.0,29.798,48.829,elevated
Sensor-rich but underfunded,hospital_access_corridor,transport,36.807,86.0,72.0,28.483,48.419,elevated
Sensor-rich but underfunded,cooling_center_grid_node,public_facility,37.38,88.0,62.0,28.68,47.354,elevated
Sensor-rich but underfunded,wastewater_lift_station,wastewater,39.475,68.0,68.0,28.554,44.653,elevated
Sensor-rich but underfunded,substation_7,power,37.247,70.0,58.0,28.089,42.31,elevated
Sensor-rich but underfunded,public_broadband_hub,digital,31.203,80.0,60.0,26.972,42.28,elevated
Sensor-rich but underfunded,bridge_north,transport,34.1,62.0,65.0,27.097,40.238,elevated
Sensor-rich but underfunded,air_quality_sensor_cluster,environmental,26.081,74.0,45.0,25.574,35.821,elevated
Sensor-rich but underfunded,transit_signal_core,transport,31.325,58.0,52.0,26.317,35.684,elevated
