period,role_id,coordination_hours,emotional_labor_hours,informal_mentoring_hours,workaround_hours,unpaid_extra_hours
1,R01,8,12,4,5,6
2,R01,10,14,5,7,8
3,R01,12,17,6,9,11
4,R01,15,20,7,12,14
1,R02,7,11,4,4,5
2,R02,9,13,5,6,7
3,R02,11,16,6,8,10
4,R02,14,19,7,11,13
1,R03,6,6,5,7,5
2,R03,8,7,6,9,7
3,R03,10,9,7,12,10
4,R03,13,11,8,15,13
1,R04,9,10,6,6,7
2,R04,11,13,7,8,9
3,R04,14,16,8,11,12
4,R04,17,19,9,14,16
1,R05,9,13,5,5,6
2,R05,12,16,6,7,9
3,R05,15,19,7,10,12
4,R05,18,23,8,13,16
1,R06,6,5,5,4,4
2,R06,8,6,6,6,6
3,R06,10,8,7,8,8
4,R06,12,10,8,11,11
