period,role_id,exhaustion_score,cynicism_score,efficacy_loss_score,reported_stress,quality_risk
1,R01,0.49,0.31,0.24,0.52,0.22
2,R01,0.58,0.38,0.30,0.61,0.30
3,R01,0.68,0.47,0.39,0.72,0.41
4,R01,0.79,0.56,0.48,0.83,0.53
1,R02,0.45,0.28,0.22,0.48,0.20
2,R02,0.55,0.35,0.28,0.58,0.28
3,R02,0.65,0.44,0.36,0.69,0.38
4,R02,0.76,0.53,0.45,0.80,0.50
1,R03,0.47,0.30,0.23,0.50,0.24
2,R03,0.57,0.37,0.31,0.60,0.32
3,R03,0.69,0.48,0.40,0.73,0.45
4,R03,0.81,0.59,0.51,0.85,0.58
1,R04,0.52,0.33,0.26,0.55,0.25
2,R04,0.63,0.42,0.34,0.66,0.35
3,R04,0.74,0.52,0.44,0.78,0.48
4,R04,0.86,0.64,0.55,0.90,0.62
1,R05,0.51,0.32,0.25,0.54,0.24
2,R05,0.62,0.41,0.33,0.65,0.34
3,R05,0.73,0.51,0.43,0.77,0.47
4,R05,0.85,0.63,0.54,0.89,0.61
1,R06,0.43,0.27,0.21,0.46,0.18
2,R06,0.52,0.34,0.27,0.55,0.26
3,R06,0.62,0.42,0.35,0.66,0.36
4,R06,0.73,0.52,0.44,0.78,0.49
