article_slug,pressure_reduction,capacity_investment,final_stock,final_risk
dynamic-complexity-and-policy-resistance,0.00,0.00,0.00,100.00
dynamic-complexity-and-policy-resistance,0.00,0.50,0.00,100.00
dynamic-complexity-and-policy-resistance,0.00,1.00,0.00,98.14
dynamic-complexity-and-policy-resistance,0.00,1.50,0.00,91.17
dynamic-complexity-and-policy-resistance,0.00,2.00,0.00,84.21
dynamic-complexity-and-policy-resistance,0.00,2.50,0.00,77.90
dynamic-complexity-and-policy-resistance,0.00,3.00,0.00,76.82
dynamic-complexity-and-policy-resistance,0.10,0.00,0.00,100.00
dynamic-complexity-and-policy-resistance,0.10,0.50,0.00,100.00
dynamic-complexity-and-policy-resistance,0.10,1.00,0.00,96.99
dynamic-complexity-and-policy-resistance,0.10,1.50,0.00,90.03
dynamic-complexity-and-policy-resistance,0.10,2.00,0.00,83.06
dynamic-complexity-and-policy-resistance,0.10,2.50,0.00,77.03
dynamic-complexity-and-policy-resistance,0.10,3.00,0.00,75.95
dynamic-complexity-and-policy-resistance,0.20,0.00,0.00,100.00
dynamic-complexity-and-policy-resistance,0.20,0.50,0.00,100.00
dynamic-complexity-and-policy-resistance,0.20,1.00,0.00,95.85
dynamic-complexity-and-policy-resistance,0.20,1.50,0.00,88.88
dynamic-complexity-and-policy-resistance,0.20,2.00,0.00,81.92
dynamic-complexity-and-policy-resistance,0.20,2.50,0.00,76.16
dynamic-complexity-and-policy-resistance,0.20,3.00,0.00,75.07
dynamic-complexity-and-policy-resistance,0.30,0.00,0.00,100.00
dynamic-complexity-and-policy-resistance,0.30,0.50,0.00,100.00
dynamic-complexity-and-policy-resistance,0.30,1.00,0.00,94.70
dynamic-complexity-and-policy-resistance,0.30,1.50,0.00,87.74
dynamic-complexity-and-policy-resistance,0.30,2.00,0.00,80.77
dynamic-complexity-and-policy-resistance,0.30,2.50,0.00,75.29
dynamic-complexity-and-policy-resistance,0.30,3.00,0.00,74.20
dynamic-complexity-and-policy-resistance,0.40,0.00,0.00,100.00
dynamic-complexity-and-policy-resistance,0.40,0.50,0.00,100.00
dynamic-complexity-and-policy-resistance,0.40,1.00,0.00,93.56
dynamic-complexity-and-policy-resistance,0.40,1.50,0.00,86.59
dynamic-complexity-and-policy-resistance,0.40,2.00,0.00,79.62
dynamic-complexity-and-policy-resistance,0.40,2.50,0.00,74.41
dynamic-complexity-and-policy-resistance,0.40,3.00,0.00,73.33
dynamic-complexity-and-policy-resistance,0.50,0.00,0.00,100.00
dynamic-complexity-and-policy-resistance,0.50,0.50,0.00,99.38
dynamic-complexity-and-policy-resistance,0.50,1.00,0.00,92.41
dynamic-complexity-and-policy-resistance,0.50,1.50,0.00,85.44
dynamic-complexity-and-policy-resistance,0.50,2.00,0.00,78.48
dynamic-complexity-and-policy-resistance,0.50,2.50,0.00,73.54
dynamic-complexity-and-policy-resistance,0.50,3.00,0.00,72.45
