period,role_id,visible_workload,meeting_load,interruptions,rework_hours,urgent_requests,capacity_index
1,R01,62,11,28,9,14,74
2,R01,69,13,32,12,18,68
3,R01,76,15,37,16,23,61
4,R01,84,17,43,21,29,55
1,R02,58,10,24,8,13,78
2,R02,65,12,29,11,17,71
3,R02,73,14,34,15,22,64
4,R02,81,16,39,20,27,58
1,R03,55,12,25,10,12,76
2,R03,63,14,30,13,16,70
3,R03,72,17,36,18,21,62
4,R03,80,19,42,23,28,56
1,R04,60,15,27,9,15,72
2,R04,68,17,33,13,20,66
3,R04,78,20,39,18,26,58
4,R04,87,22,46,24,33,51
1,R05,64,12,30,10,16,73
2,R05,72,14,36,14,21,66
3,R05,81,17,42,19,27,59
4,R05,90,19,49,25,34,52
1,R06,52,10,19,7,10,80
2,R06,59,12,24,10,14,74
3,R06,66,14,29,14,19,67
4,R06,75,16,35,19,25,60
