article_slug,article_title,year,scenario,active_intervention,primary_stock_label,pressure_label,burden_label,outcome_label,demand_index,capacity_index,trust_index,institutional_memory_index,system_stock_index,burden_index,equity_gap_index,pressure_index,feedback_closure,resilience_index,risk_index,outcome_index,overshoot_pressure
systems-thinking-and-sustainability,Systems Thinking And Sustainability,0,Baseline / current structure,False,ecological and social resilience stock,resource and climate pressure,transition and vulnerability burden,sustainable public value,42.0,51.188,53.546,47.401,77.017,44.657,26.179,44.828,0.05,57.047,36.975,45.177,8.983
systems-thinking-and-sustainability,Systems Thinking And Sustainability,1,Baseline / current structure,False,ecological and social resilience stock,resource and climate pressure,transition and vulnerability burden,sustainable public value,44.1,50.328,52.004,46.782,67.7,46.684,26.365,45.659,0.05,54.108,38.11,42.609,9.316
systems-thinking-and-sustainability,Systems Thinking And Sustainability,2,Baseline / current structure,False,ecological and social resilience stock,resource and climate pressure,transition and vulnerability burden,sustainable public value,46.2,49.419,50.368,46.141,58.04,48.765,26.56,46.597,0.05,51.05,39.31,39.935,9.66
systems-thinking-and-sustainability,Systems Thinking And Sustainability,3,Baseline / current structure,False,ecological and social resilience stock,resource and climate pressure,transition and vulnerability burden,sustainable public value,48.3,48.457,48.635,45.477,48.025,50.905,26.764,47.642,0.05,47.869,40.576,37.153,10.015
systems-thinking-and-sustainability,Systems Thinking And Sustainability,4,Baseline / current structure,False,ecological and social resilience stock,resource and climate pressure,transition and vulnerability burden,sustainable public value,50.4,47.438,46.8,44.788,37.646,53.112,26.976,48.797,0.05,44.558,41.913,34.256,10.38
systems-thinking-and-sustainability,Systems Thinking And Sustainability,5,Baseline / current structure,True,ecological and social resilience stock,resource and climate pressure,transition and vulnerability burden,sustainable public value,52.5,46.754,45.211,44.505,26.289,55.046,27.097,49.879,0.22,41.283,43.206,33.656,11.356
systems-thinking-and-sustainability,Systems Thinking And Sustainability,6,Baseline / current structure,True,ecological and social resilience stock,resource and climate pressure,transition and vulnerability burden,sustainable public value,54.6,46.019,43.534,44.2,14.525,57.042,27.225,51.061,0.22,37.874,44.495,30.741,11.764
systems-thinking-and-sustainability,Systems Thinking And Sustainability,7,Baseline / current structure,True,ecological and social resilience stock,resource and climate pressure,transition and vulnerability burden,sustainable public value,56.7,45.231,41.765,43.869,2.341,59.106,27.361,52.346,0.22,34.327,45.853,27.704,12.184
systems-thinking-and-sustainability,Systems Thinking And Sustainability,8,Baseline / current structure,True,ecological and social resilience stock,resource and climate pressure,transition and vulnerability burden,sustainable public value,58.8,44.386,39.898,43.511,0,61.243,27.506,53.735,0.22,32.896,47.101,26.288,12.617
systems-thinking-and-sustainability,Systems Thinking And Sustainability,9,Baseline / current structure,True,ecological and social resilience stock,resource and climate pressure,transition and vulnerability burden,sustainable public value,60.9,43.481,37.93,43.125,0,63.458,27.66,55.233,0.22,31.929,48.331,25.215,12.7
systems-thinking-and-sustainability,Systems Thinking And Sustainability,10,Baseline / current structure,True,ecological and social resilience stock,resource and climate pressure,transition and vulnerability burden,sustainable public value,63.0,42.512,35.856,42.709,0,65.759,27.823,56.841,0.22,30.907,49.62,24.082,12.7
systems-thinking-and-sustainability,Systems Thinking And Sustainability,11,Baseline / current structure,True,ecological and social resilience stock,resource and climate pressure,transition and vulnerability burden,sustainable public value,65.1,41.476,33.669,42.261,0,68.149,27.996,58.565,0.22,29.828,50.979,22.887,12.7
systems-thinking-and-sustainability,Systems Thinking And Sustainability,12,Baseline / current structure,True,ecological and social resilience stock,resource and climate pressure,transition and vulnerability burden,sustainable public value,67.2,40.369,31.365,41.78,0,70.637,28.178,60.407,0.22,28.689,52.413,21.626,12.7
systems-thinking-and-sustainability,Systems Thinking And Sustainability,13,Baseline / current structure,True,ecological and social resilience stock,resource and climate pressure,transition and vulnerability burden,sustainable public value,69.3,39.187,28.938,41.264,0,73.227,28.371,62.371,0.22,27.485,53.925,20.296,12.7
systems-thinking-and-sustainability,Systems Thinking And Sustainability,14,Baseline / current structure,True,ecological and social resilience stock,resource and climate pressure,transition and vulnerability burden,sustainable public value,71.4,37.925,26.381,40.711,0,75.928,28.575,64.461,0.22,26.214,55.518,18.892,12.7
systems-thinking-and-sustainability,Systems Thinking And Sustainability,15,Baseline / current structure,True,ecological and social resilience stock,resource and climate pressure,transition and vulnerability burden,sustainable public value,73.5,36.58,23.687,40.119,0,78.745,28.79,66.682,0.22,24.871,57.195,17.411,12.7
systems-thinking-and-sustainability,Systems Thinking And Sustainability,16,Baseline / current structure,True,ecological and social resilience stock,resource and climate pressure,transition and vulnerability burden,sustainable public value,75.6,35.146,20.851,39.485,0,81.685,29.017,69.037,0.22,23.454,58.962,15.849,12.7
