article_slug,article_title,domain_profile,scenario,year,ecological_social_capacity,resource_pressure,threshold_margin,administrative_or_system_burden,vulnerability_index,resilience_ratio,intervention_active,regime_classification
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,baseline_pressure,0,80.563,39.95,40.613,31.0,50.483,2.0166,False,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,baseline_pressure,1,79.003,41.9,37.103,32.0,51.621,1.8855,False,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,baseline_pressure,2,77.32,43.85,33.47,33.0,52.793,1.7633,False,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,baseline_pressure,3,75.514,45.8,29.714,34.0,54.0,1.6488,False,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,baseline_pressure,4,73.586,47.75,25.836,35.0,55.241,1.5411,False,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,baseline_pressure,5,71.535,49.7,21.835,36.0,56.516,1.4393,False,stressed_recoverable
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,baseline_pressure,6,69.361,51.65,17.711,37.0,57.826,1.3429,False,stressed_recoverable
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,baseline_pressure,7,67.065,53.6,13.465,38.0,59.17,1.2512,False,stressed_recoverable
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,baseline_pressure,8,64.646,55.55,9.096,39.0,60.548,1.1637,False,near_threshold
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,baseline_pressure,9,62.104,57.5,4.604,40.0,61.961,1.0801,False,near_threshold
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,baseline_pressure,10,59.439,59.45,-0.011,41.0,63.408,0.9998,False,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,baseline_pressure,11,56.651,61.4,-4.749,42.0,64.89,0.9227,False,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,baseline_pressure,12,53.741,63.35,-9.609,43.0,66.405,0.8483,False,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,baseline_pressure,13,50.708,65.3,-14.592,44.0,67.956,0.7765,False,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,baseline_pressure,14,47.552,67.25,-19.698,45.0,69.54,0.7071,False,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,baseline_pressure,15,44.274,69.2,-24.926,46.0,71.159,0.6398,False,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,baseline_pressure,16,40.873,71.15,-30.277,47.0,72.813,0.5745,False,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,baseline_pressure,17,37.349,73.1,-35.751,48.0,74.5,0.5109,False,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,baseline_pressure,18,33.702,75.05,-41.348,49.0,76.222,0.4491,False,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,baseline_pressure,19,29.932,77.0,-47.068,50.0,77.979,0.3887,False,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,baseline_pressure,20,26.04,78.95,-52.91,51.0,79.77,0.3298,False,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,baseline_pressure,21,22.025,80.9,-58.875,52.0,81.595,0.2723,False,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,baseline_pressure,22,17.887,82.85,-64.963,53.0,83.455,0.2159,False,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,baseline_pressure,23,13.627,84.8,-71.173,54.0,85.348,0.1607,False,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,baseline_pressure,24,9.244,86.75,-77.506,55.0,87.277,0.1066,False,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,baseline_pressure,25,4.738,88.7,-83.962,56.0,89.239,0.0534,False,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,baseline_pressure,26,0.109,90.65,-90.541,57.0,91.236,0.0012,False,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,baseline_pressure,27,0.0,92.6,-92.6,58.0,91.968,0.0,False,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,baseline_pressure,28,0.0,94.55,-94.55,59.0,92.669,0.0,False,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,baseline_pressure,29,0.0,96.5,-96.5,60.0,93.37,0.0,False,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,baseline_pressure,30,0.0,98.45,-98.45,61.0,94.071,0.0,False,shifted_regime
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,delayed_response,0,80.789,39.95,40.839,31.0,50.42,2.0223,False,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,delayed_response,1,79.456,41.9,37.556,32.0,51.494,1.8963,False,resilient
systems-thinking-and-sustainability,Systems Thinking And Sustainability,sustainability,delayed_response,2,78.0,43.85,34.15,33.0,52.603,1.7788,False,resilient
