article_slug,article_title,topic_family,year,scenario,policy_active,shock_event,system_stock_index,capacity_index,trust_index,memory_index,burden_index,equity_gap_index,risk_index,outcome_index,resilience_ratio,regeneration,pressure
systems-thinking-and-sustainability,Systems Thinking and Sustainability,sustainability_resilience,0,Current structure / baseline,False,False,84.358,53.786,54.617,47.856,38.528,28.578,49.283,53.223,0.9586,2.816,4.8
systems-thinking-and-sustainability,Systems Thinking and Sustainability,sustainability_resilience,1,Current structure / baseline,False,False,79.334,53.56,53.208,47.676,39.189,29.166,51.269,51.289,0.9015,2.699,6.01
systems-thinking-and-sustainability,Systems Thinking and Sustainability,sustainability_resilience,2,Current structure / baseline,False,False,72.878,53.317,51.771,47.459,39.983,29.766,53.714,48.9,0.8282,2.539,7.22
systems-thinking-and-sustainability,Systems Thinking and Sustainability,sustainability_resilience,3,Current structure / baseline,False,False,64.937,53.055,50.302,47.206,40.911,30.379,56.635,46.041,0.7379,2.332,8.43
systems-thinking-and-sustainability,Systems Thinking and Sustainability,sustainability_resilience,4,Current structure / baseline,False,False,55.456,52.771,48.797,46.917,41.971,31.009,60.051,42.693,0.6302,2.078,9.64
systems-thinking-and-sustainability,Systems Thinking and Sustainability,sustainability_resilience,5,Current structure / baseline,True,False,45.302,52.211,47.334,46.931,42.541,31.674,63.638,39.172,0.5148,1.775,10.85
systems-thinking-and-sustainability,Systems Thinking and Sustainability,sustainability_resilience,6,Current structure / baseline,True,False,33.549,51.634,45.839,46.914,43.184,32.352,67.728,35.152,0.3812,1.45,12.06
systems-thinking-and-sustainability,Systems Thinking and Sustainability,sustainability_resilience,7,Current structure / baseline,True,False,20.142,51.04,44.311,46.867,43.899,33.042,72.339,30.614,0.2289,1.074,13.27
systems-thinking-and-sustainability,Systems Thinking and Sustainability,sustainability_resilience,8,Current structure / baseline,True,False,5.023,50.426,42.746,46.79,44.687,33.746,77.487,25.541,0.0571,0.645,14.48
systems-thinking-and-sustainability,Systems Thinking and Sustainability,sustainability_resilience,9,Current structure / baseline,True,False,0.0,49.79,41.144,46.683,45.547,34.466,79.633,23.474,0.0,0.161,15.69
