article_slug,pressure_reduction,capacity_investment,final_stock,final_risk
leverage-points-and-places-to-intervene-in-a-system,0.00,0.00,0.00,100.00
leverage-points-and-places-to-intervene-in-a-system,0.00,0.50,0.00,100.00
leverage-points-and-places-to-intervene-in-a-system,0.00,1.00,0.00,96.46
leverage-points-and-places-to-intervene-in-a-system,0.00,1.50,0.00,89.50
leverage-points-and-places-to-intervene-in-a-system,0.00,2.00,0.00,82.53
leverage-points-and-places-to-intervene-in-a-system,0.00,2.50,0.00,77.34
leverage-points-and-places-to-intervene-in-a-system,0.00,3.00,0.00,76.25
leverage-points-and-places-to-intervene-in-a-system,0.10,0.00,0.00,100.00
leverage-points-and-places-to-intervene-in-a-system,0.10,0.50,0.00,100.00
leverage-points-and-places-to-intervene-in-a-system,0.10,1.00,0.00,95.23
leverage-points-and-places-to-intervene-in-a-system,0.10,1.50,0.00,88.27
leverage-points-and-places-to-intervene-in-a-system,0.10,2.00,0.00,81.30
leverage-points-and-places-to-intervene-in-a-system,0.10,2.50,0.00,76.40
leverage-points-and-places-to-intervene-in-a-system,0.10,3.00,0.00,75.32
leverage-points-and-places-to-intervene-in-a-system,0.20,0.00,0.00,100.00
leverage-points-and-places-to-intervene-in-a-system,0.20,0.50,0.00,100.00
leverage-points-and-places-to-intervene-in-a-system,0.20,1.00,0.00,94.00
leverage-points-and-places-to-intervene-in-a-system,0.20,1.50,0.00,87.04
leverage-points-and-places-to-intervene-in-a-system,0.20,2.00,0.00,80.07
leverage-points-and-places-to-intervene-in-a-system,0.20,2.50,0.00,75.46
leverage-points-and-places-to-intervene-in-a-system,0.20,3.00,0.00,74.38
leverage-points-and-places-to-intervene-in-a-system,0.30,0.00,0.00,100.00
leverage-points-and-places-to-intervene-in-a-system,0.30,0.50,0.00,99.74
leverage-points-and-places-to-intervene-in-a-system,0.30,1.00,0.00,92.77
leverage-points-and-places-to-intervene-in-a-system,0.30,1.50,0.00,85.81
leverage-points-and-places-to-intervene-in-a-system,0.30,2.00,0.00,78.84
leverage-points-and-places-to-intervene-in-a-system,0.30,2.50,0.00,74.53
leverage-points-and-places-to-intervene-in-a-system,0.30,3.00,0.00,73.44
leverage-points-and-places-to-intervene-in-a-system,0.40,0.00,0.00,100.00
leverage-points-and-places-to-intervene-in-a-system,0.40,0.50,0.00,98.51
leverage-points-and-places-to-intervene-in-a-system,0.40,1.00,0.00,91.54
leverage-points-and-places-to-intervene-in-a-system,0.40,1.50,0.00,84.57
leverage-points-and-places-to-intervene-in-a-system,0.40,2.00,0.00,77.61
leverage-points-and-places-to-intervene-in-a-system,0.40,2.50,0.00,73.59
leverage-points-and-places-to-intervene-in-a-system,0.40,3.00,0.00,72.51
leverage-points-and-places-to-intervene-in-a-system,0.50,0.00,0.00,100.00
leverage-points-and-places-to-intervene-in-a-system,0.50,0.50,0.00,97.27
leverage-points-and-places-to-intervene-in-a-system,0.50,1.00,0.00,90.31
leverage-points-and-places-to-intervene-in-a-system,0.50,1.50,0.00,83.34
leverage-points-and-places-to-intervene-in-a-system,0.50,2.00,0.00,76.38
leverage-points-and-places-to-intervene-in-a-system,0.50,2.50,0.00,72.66
leverage-points-and-places-to-intervene-in-a-system,0.50,3.00,0.00,71.57
