period,scenario,system_state,observed_state,reference_goal,error_signal,control_action,disturbance_pressure,response_variety,variety_gap,learning_capacity,trust_index,regulation_quality,accountability_index
0,Rigid control,47.238,46.0,70.0,24.0,10.72,7.92,33.908,38.0,39.24,40.138,93.261,21.035
1,Rigid control,48.468,46.0,70.0,24.0,10.713,7.95,33.812,38.092,40.406,38.271,93.916,20.554
2,Rigid control,49.691,46.0,70.0,24.0,10.705,7.98,33.713,38.188,41.496,36.4,94.551,20.072
3,Rigid control,50.906,46.0,70.0,24.0,10.697,8.01,33.609,38.287,42.512,34.524,95.167,19.588
4,Rigid control,52.114,46.0,70.0,24.0,10.689,8.04,33.502,38.391,43.453,32.642,95.762,19.102
5,Rigid control,53.315,46.0,70.0,24.0,10.68,8.07,33.39,38.498,44.319,30.755,96.337,18.614
6,Rigid control,54.507,46.0,70.0,24.0,10.671,8.1,33.273,38.61,45.109,28.863,96.891,18.124
7,Rigid control,55.693,46.0,70.0,24.0,10.662,8.13,33.152,38.727,45.824,26.964,97.425,17.632
8,Rigid control,56.87,46.0,70.0,24.0,10.652,8.16,33.026,38.848,46.462,25.06,97.938,17.138
9,Rigid control,57.937,47.238,70.0,22.762,10.073,8.19,32.895,38.974,47.025,23.186,98.378,16.651
10,Rigid control,58.894,48.468,70.0,21.532,9.496,8.22,32.759,39.105,47.512,21.343,98.744,16.17
11,Rigid control,59.743,49.691,70.0,20.309,8.923,8.25,32.618,39.241,47.926,19.53,99.037,15.696
12,Rigid control,60.482,50.906,70.0,19.094,8.353,8.28,32.47,39.382,48.267,17.746,99.258,15.229
13,Rigid control,61.113,52.114,70.0,17.886,7.785,8.31,32.317,39.53,48.537,15.991,99.406,14.768
14,Rigid control,61.637,53.315,70.0,16.685,7.221,8.34,32.158,39.683,48.737,14.264,99.483,14.314
15,Rigid control,62.054,54.507,70.0,15.493,6.659,8.37,31.992,39.842,48.867,12.565,99.488,13.865
16,Rigid control,62.364,55.693,70.0,14.307,6.101,8.4,31.82,40.008,48.93,10.894,99.422,13.422
17,Rigid control,62.568,56.87,70.0,13.13,5.545,8.43,31.641,40.18,48.925,9.249,99.285,12.985
18,Rigid control,62.675,57.937,70.0,12.063,5.04,8.46,31.454,40.359,48.855,7.627,99.082,12.553
19,Rigid control,62.695,58.894,70.0,11.106,4.585,8.49,31.26,40.546,48.721,6.025,98.817,12.124
20,Rigid control,62.635,59.743,70.0,10.257,4.179,8.52,31.059,40.74,48.522,4.438,98.496,11.699
21,Rigid control,62.505,60.482,70.0,9.518,3.823,8.55,30.849,40.941,48.259,2.863,98.121,11.275
22,Rigid control,62.314,61.113,70.0,8.887,3.516,8.58,30.631,41.151,47.934,1.297,97.699,10.852
23,Rigid control,62.07,61.637,70.0,8.363,3.257,8.61,30.404,41.369,47.545,0.0,97.259,10.495
24,Rigid control,61.783,62.054,70.0,7.946,3.048,8.64,30.169,41.596,47.105,0.0,96.911,10.461
25,Rigid control,61.46,62.364,70.0,7.636,2.886,8.67,29.923,41.831,46.665,0.0,96.54,10.425
26,Rigid control,61.111,62.568,70.0,7.432,2.773,8.7,29.668,42.077,46.225,0.0,96.149,10.388
27,Rigid control,60.744,62.675,70.0,7.325,2.703,8.73,29.403,42.332,45.785,0.0,95.743,10.35
28,Rigid control,60.365,62.695,70.0,7.305,2.673,8.76,29.127,42.597,45.345,0.0,95.327,10.31
29,Rigid control,59.981,62.635,70.0,7.365,2.678,8.79,28.84,42.873,44.905,0.0,94.902,10.269
30,Rigid control,59.598,62.505,70.0,7.495,2.715,8.82,28.542,43.16,44.465,0.0,94.472,10.226
31,Rigid control,59.22,62.314,70.0,7.686,2.779,8.85,28.231,43.458,44.025,0.0,94.04,10.181
32,Rigid control,58.852,62.07,70.0,7.93,2.866,8.88,27.909,43.769,43.585,0.0,93.607,10.135
33,Rigid control,58.497,61.783,70.0,8.217,2.973,8.91,27.573,44.091,43.145,0.0,93.175,10.086
34,Rigid control,58.158,61.46,70.0,8.54,3.094,8.94,27.224,44.427,42.705,0.0,92.746,10.036
35,Rigid control,57.837,61.111,70.0,8.889,3.227,8.97,26.861,44.776,42.265,0.0,92.32,9.984
36,Rigid control,57.535,60.744,70.0,9.256,3.367,9.0,26.483,45.139,41.825,0.0,91.898,9.929
37,Rigid control,57.253,60.365,70.0,9.635,3.511,9.03,26.091,45.517,41.385,0.0,91.48,9.873
38,Rigid control,56.991,59.981,70.0,10.019,3.656,9.06,25.682,45.909,40.945,0.0,91.065,9.814
39,Rigid control,56.749,59.598,70.0,10.402,3.8,9.09,25.258,46.318,40.505,0.0,90.654,9.752
40,Rigid control,56.526,59.22,70.0,10.78,3.939,9.12,24.816,46.742,40.065,0.0,90.245,9.689
41,Rigid control,56.321,58.852,70.0,11.148,4.073,9.15,24.357,47.184,39.625,0.0,89.838,9.622
42,Rigid control,56.133,58.497,70.0,11.503,4.2,9.18,23.879,47.643,39.185,0.0,89.432,9.553
43,Rigid control,55.96,58.158,70.0,11.842,4.318,9.21,23.382,48.121,38.745,0.0,89.025,9.482
44,Rigid control,55.801,57.837,70.0,12.163,4.426,9.24,22.865,48.618,38.305,0.0,88.616,9.407
45,Rigid control,55.653,57.535,70.0,12.465,4.523,9.27,22.328,49.135,37.865,0.0,88.204,9.33
46,Rigid control,55.515,57.253,70.0,12.747,4.61,9.3,21.769,49.672,37.425,0.0,87.786,9.249
