 period,system_state,error_signal,control_action
0,46.000,24.000,10.080
1,46.614,23.386, 9.822
2,47.182,22.818, 9.583
3,47.707,22.293, 9.363
4,48.193,21.807, 9.159
5,48.641,21.359, 8.971
6,49.056,20.944, 8.796
7,49.439,20.561, 8.635
8,49.794,20.206, 8.487
9,50.121,19.879, 8.349
10,50.424,19.576, 8.222
11,50.704,19.296, 8.104
12,50.963,19.037, 7.996
13,51.202,18.798, 7.895
14,51.423,18.577, 7.802
15,51.628,18.372, 7.716
16,51.817,18.183, 7.637
17,51.991,18.009, 7.564
18,52.153,17.847, 7.496
19,52.302,17.698, 7.433
20,52.440,17.560, 7.375
21,52.567,17.433, 7.322
22,52.685,17.315, 7.272
23,52.794,17.206, 7.226
24,52.895,17.105, 7.184
25,52.988,17.012, 7.145
26,53.074,16.926, 7.109
27,53.154,16.846, 7.075
28,53.227,16.773, 7.044
29,53.295,16.705, 7.016
30,53.358,16.642, 6.990
31,53.416,16.584, 6.965
32,53.470,16.530, 6.943
33,53.520,16.480, 6.922
34,53.566,16.434, 6.902
35,53.608,16.392, 6.885
36,53.647,16.353, 6.868
