year,scenario,policy_active,emissions_gtco2,co2_ppm,forcing_wm2,temperature_anomaly_c,ocean_heat_index,effective_sink_fraction,hazard_index,residual_vulnerability,risk_index
0,Baseline high emissions,False,40.2,422.836,2.205,1.306,0.077,0.45,31.339,55.0,9.48
1,Baseline high emissions,False,40.401,425.686,2.241,1.405,0.156,0.45,33.724,55.0,10.201
2,Baseline high emissions,False,40.603,428.551,2.277,1.499,0.235,0.45,35.969,55.0,10.881
3,Baseline high emissions,False,40.806,431.431,2.313,1.587,0.316,0.45,38.09,55.0,11.522
4,Baseline high emissions,False,41.01,434.343,2.349,1.671,0.398,0.447,40.098,55.0,12.13
5,Baseline high emissions,False,41.215,437.289,2.385,1.75,0.482,0.443,42.007,55.0,12.707
6,Baseline high emissions,False,41.421,440.266,2.421,1.826,0.567,0.44,43.826,55.0,13.257
7,Baseline high emissions,False,41.628,443.275,2.458,1.899,0.653,0.437,45.565,55.0,13.783
8,Baseline high emissions,False,41.836,446.315,2.494,1.968,0.74,0.434,47.232,55.0,14.288
9,Baseline high emissions,False,42.046,449.385,2.531,2.035,0.829,0.431,48.835,55.0,14.772
10,Baseline high emissions,False,42.256,452.486,2.568,2.099,0.918,0.429,50.381,55.0,15.24
11,Baseline high emissions,False,42.467,455.616,2.605,2.161,1.01,0.426,51.876,55.0,15.692
12,Baseline high emissions,False,42.679,458.776,2.642,2.222,1.102,0.424,53.325,55.0,16.131
13,Baseline high emissions,False,42.893,461.965,2.679,2.281,1.196,0.421,54.734,55.0,16.557
14,Baseline high emissions,False,43.107,465.183,2.716,2.338,1.291,0.419,56.107,55.0,16.972
15,Baseline high emissions,False,43.323,468.431,2.753,2.394,1.387,0.416,57.447,55.0,17.378
16,Baseline high emissions,False,43.539,471.707,2.79,2.448,1.485,0.414,58.759,55.0,17.775
17,Baseline high emissions,False,43.757,475.012,2.828,2.502,1.584,0.412,60.046,55.0,18.164
18,Baseline high emissions,False,43.976,478.346,2.865,2.555,1.684,0.41,61.31,55.0,18.546
19,Baseline high emissions,False,44.196,481.709,2.903,2.606,1.786,0.408,62.554,55.0,18.923
20,Baseline high emissions,False,44.417,485.101,2.94,2.658,1.889,0.406,63.781,55.0,19.294
21,Baseline high emissions,False,44.639,488.521,2.978,2.708,1.993,0.404,64.993,55.0,19.66
22,Baseline high emissions,False,44.862,491.971,3.015,2.758,2.098,0.402,66.19,55.0,20.023
23,Baseline high emissions,False,45.086,495.449,3.053,2.807,2.205,0.4,67.376,55.0,20.381
24,Baseline high emissions,False,45.312,498.957,3.091,2.856,2.314,0.398,68.551,55.0,20.737
25,Baseline high emissions,False,45.538,502.493,3.129,2.905,2.423,0.396,69.718,55.0,21.09
26,Baseline high emissions,False,45.766,506.059,3.166,2.953,2.534,0.394,70.876,55.0,21.44
27,Baseline high emissions,False,45.995,509.655,3.204,3.001,2.646,0.392,72.027,55.0,21.788
28,Baseline high emissions,False,46.225,513.28,3.242,3.049,2.759,0.39,73.173,55.0,22.135
29,Baseline high emissions,False,46.456,516.934,3.28,3.096,2.874,0.388,74.314,55.0,22.48
30,Baseline high emissions,False,46.688,520.619,3.318,3.144,2.99,0.386,75.45,55.0,22.824
31,Baseline high emissions,False,46.922,524.333,3.356,3.191,3.108,0.384,76.584,55.0,23.167
32,Baseline high emissions,False,47.156,528.078,3.394,3.238,3.227,0.382,77.714,55.0,23.508
33,Baseline high emissions,False,47.392,531.853,3.432,3.285,3.347,0.38,78.842,55.0,23.85
34,Baseline high emissions,False,47.629,535.658,3.471,3.332,3.468,0.379,79.968,55.0,24.19
35,Baseline high emissions,False,47.867,539.494,3.509,3.379,3.591,0.377,81.093,55.0,24.531
36,Baseline high emissions,False,48.107,543.361,3.547,3.426,3.715,0.375,82.217,55.0,24.871
37,Baseline high emissions,False,48.347,547.259,3.585,3.473,3.841,0.373,83.34,55.0,25.21
38,Baseline high emissions,False,48.589,551.189,3.623,3.519,3.968,0.371,84.464,55.0,25.55
39,Baseline high emissions,False,48.832,555.15,3.662,3.566,4.096,0.369,85.587,55.0,25.89
40,Baseline high emissions,False,49.076,559.143,3.7,3.613,4.225,0.367,86.711,55.0,26.23
41,Baseline high emissions,False,49.321,563.168,3.739,3.66,4.356,0.365,87.835,55.0,26.57
42,Baseline high emissions,False,49.568,567.224,3.777,3.707,4.488,0.364,88.96,55.0,26.91
43,Baseline high emissions,False,49.816,571.314,3.815,3.754,4.622,0.362,90.086,55.0,27.251
44,Baseline high emissions,False,50.065,575.436,3.854,3.801,4.757,0.36,91.213,55.0,27.592
45,Baseline high emissions,False,50.315,579.591,3.892,3.848,4.893,0.358,92.341,55.0,27.933
46,Baseline high emissions,False,50.567,583.779,3.931,3.895,5.03,0.356,93.471,55.0,28.275
47,Baseline high emissions,False,50.82,588.0,3.969,3.942,5.169,0.354,94.603,55.0,28.617
48,Baseline high emissions,False,51.074,592.255,4.008,3.989,5.31,0.352,95.736,55.0,28.96
49,Baseline high emissions,False,51.329,596.544,4.047,4.036,5.451,0.35,96.871,55.0,29.303
50,Baseline high emissions,False,51.586,600.867,4.085,4.084,5.594,0.349,98.007,55.0,29.647
51,Baseline high emissions,False,51.844,605.224,4.124,4.131,5.739,0.347,99.146,55.0,29.992
52,Baseline high emissions,False,52.103,609.616,4.163,4.179,5.884,0.345,100.0,55.0,30.25
53,Baseline high emissions,False,52.363,614.043,4.201,4.226,6.031,0.343,100.0,55.0,30.25
54,Baseline high emissions,False,52.625,618.505,4.24,4.274,6.18,0.341,100.0,55.0,30.25
55,Baseline high emissions,False,52.888,623.002,4.279,4.322,6.33,0.339,100.0,55.0,30.25
56,Baseline high emissions,False,53.153,627.536,4.318,4.37,6.481,0.337,100.0,55.0,30.25
57,Baseline high emissions,False,53.418,632.104,4.356,4.418,6.633,0.335,100.0,55.0,30.25
58,Baseline high emissions,False,53.686,636.71,4.395,4.466,6.787,0.333,100.0,55.0,30.25
59,Baseline high emissions,False,53.954,641.351,4.434,4.514,6.942,0.331,100.0,55.0,30.25
60,Baseline high emissions,False,54.224,646.03,4.473,4.562,7.099,0.329,100.0,55.0,30.25
61,Baseline high emissions,False,54.495,650.745,4.512,4.61,7.257,0.328,100.0,55.0,30.25
62,Baseline high emissions,False,54.767,655.498,4.551,4.659,7.416,0.326,100.0,55.0,30.25
63,Baseline high emissions,False,55.041,660.288,4.59,4.707,7.576,0.324,100.0,55.0,30.25
64,Baseline high emissions,False,55.316,665.116,4.629,4.756,7.739,0.322,100.0,55.0,30.25
65,Baseline high emissions,False,55.593,669.983,4.668,4.805,7.902,0.32,100.0,55.0,30.25
66,Baseline high emissions,False,55.871,674.887,4.707,4.854,8.067,0.318,100.0,55.0,30.25
67,Baseline high emissions,False,56.15,679.831,4.746,4.903,8.233,0.316,100.0,55.0,30.25
68,Baseline high emissions,False,56.431,684.813,4.785,4.952,8.4,0.314,100.0,55.0,30.25
69,Baseline high emissions,False,56.713,689.835,4.824,5.001,8.569,0.312,100.0,55.0,30.25
70,Baseline high emissions,False,56.997,694.897,4.863,5.05,8.739,0.31,100.0,55.0,30.25
71,Baseline high emissions,False,57.282,699.998,4.902,5.099,8.911,0.308,100.0,55.0,30.25
72,Baseline high emissions,False,57.568,705.14,4.941,5.149,9.084,0.306,100.0,55.0,30.25
73,Baseline high emissions,False,57.856,710.322,4.98,5.198,9.258,0.304,100.0,55.0,30.25
74,Baseline high emissions,False,58.145,715.545,5.02,5.248,9.434,0.302,100.0,55.0,30.25
75,Baseline high emissions,False,58.436,720.809,5.059,5.298,9.611,0.3,100.0,55.0,30.25
76,Baseline high emissions,False,58.728,726.114,5.098,5.348,9.789,0.298,100.0,55.0,30.25
77,Baseline high emissions,False,59.022,731.462,5.137,5.398,9.969,0.296,100.0,55.0,30.25
78,Baseline high emissions,False,59.317,736.851,5.177,5.448,10.15,0.294,100.0,55.0,30.25
79,Baseline high emissions,False,59.614,742.283,5.216,5.498,10.333,0.292,100.0,55.0,30.25
80,Baseline high emissions,False,59.912,747.757,5.255,5.548,10.517,0.29,100.0,55.0,30.25
0,Delayed transition,False,40.2,422.836,2.205,1.306,0.077,0.45,31.339,45.75,7.886
1,Delayed transition,False,40.401,425.686,2.241,1.405,0.156,0.45,33.724,45.75,8.486
2,Delayed transition,False,40.603,428.551,2.277,1.499,0.235,0.45,35.969,45.75,9.051
3,Delayed transition,False,40.806,431.431,2.313,1.587,0.316,0.45,38.09,45.75,9.584
4,Delayed transition,False,41.01,434.343,2.349,1.671,0.398,0.447,40.098,45.75,10.09
5,Delayed transition,False,41.215,437.289,2.385,1.75,0.482,0.443,42.007,45.75,10.57
6,Delayed transition,False,41.421,440.266,2.421,1.826,0.567,0.44,43.826,45.75,11.028
7,Delayed transition,False,41.628,443.275,2.458,1.899,0.653,0.437,45.565,45.75,11.465
8,Delayed transition,False,41.836,446.315,2.494,1.968,0.74,0.434,47.232,45.75,11.885
9,Delayed transition,False,42.046,449.385,2.531,2.035,0.829,0.431,48.835,45.75,12.288
10,Delayed transition,False,42.256,452.486,2.568,2.099,0.918,0.429,50.381,45.75,12.677
11,Delayed transition,False,42.467,455.616,2.605,2.161,1.01,0.426,51.876,45.75,13.053
12,Delayed transition,False,42.679,458.776,2.642,2.222,1.102,0.424,53.325,45.75,13.418
13,Delayed transition,False,42.893,461.965,2.679,2.281,1.196,0.421,54.734,45.75,13.772
14,Delayed transition,False,43.107,465.183,2.716,2.338,1.291,0.419,56.107,45.75,14.118
15,Delayed transition,False,43.323,468.431,2.753,2.394,1.387,0.416,57.447,45.75,14.455
16,Delayed transition,False,43.539,471.707,2.79,2.448,1.485,0.414,58.759,45.75,14.785
17,Delayed transition,False,43.757,475.012,2.828,2.502,1.584,0.412,60.046,45.75,15.109
18,Delayed transition,False,43.976,478.346,2.865,2.555,1.684,0.41,61.31,45.75,15.427
19,Delayed transition,False,44.196,481.709,2.903,2.606,1.786,0.408,62.554,45.75,15.74
20,Delayed transition,True,43.091,485.0,2.939,2.657,1.889,0.406,63.779,45.75,16.048
21,Delayed transition,True,42.014,488.22,2.974,2.708,1.993,0.404,64.982,45.75,16.351
22,Delayed transition,True,40.963,491.37,3.009,2.757,2.098,0.402,66.165,45.75,16.649
23,Delayed transition,True,39.939,494.452,3.042,2.805,2.205,0.4,67.326,45.75,16.941
24,Delayed transition,True,38.941,497.467,3.075,2.853,2.312,0.398,68.467,45.75,17.228
25,Delayed transition,True,37.967,500.417,3.106,2.899,2.421,0.396,69.587,45.75,17.51
26,Delayed transition,True,37.018,503.302,3.137,2.945,2.531,0.394,70.686,45.75,17.786
27,Delayed transition,True,36.093,506.123,3.167,2.99,2.642,0.392,71.765,45.75,18.058
28,Delayed transition,True,35.19,508.883,3.196,3.034,2.753,0.39,72.823,45.75,18.324
29,Delayed transition,True,34.311,511.582,3.225,3.078,2.866,0.389,73.861,45.75,18.585
30,Delayed transition,True,33.453,514.222,3.252,3.12,2.98,0.387,74.879,45.75,18.842
31,Delayed transition,True,32.616,516.803,3.279,3.162,3.095,0.385,75.878,45.75,19.093
32,Delayed transition,True,31.801,519.327,3.305,3.202,3.211,0.384,76.857,45.75,19.339
33,Delayed transition,True,31.006,521.794,3.33,3.242,3.327,0.382,77.818,45.75,19.581
34,Delayed transition,True,30.231,524.207,3.355,3.282,3.445,0.38,78.759,45.75,19.818
35,Delayed transition,True,29.475,526.565,3.379,3.32,3.563,0.379,79.683,45.75,20.05
36,Delayed transition,True,28.738,528.871,3.402,3.358,3.682,0.377,80.588,45.75,20.278
37,Delayed transition,True,28.02,531.125,3.425,3.395,3.802,0.376,81.476,45.75,20.502
38,Delayed transition,True,27.319,533.328,3.447,3.431,3.922,0.374,82.347,45.75,20.721
39,Delayed transition,True,26.636,535.482,3.469,3.467,4.044,0.373,83.202,45.75,20.936
40,Delayed transition,True,25.97,537.587,3.49,3.502,4.166,0.371,84.04,45.75,21.146
41,Delayed transition,True,25.321,539.645,3.51,3.536,4.289,0.37,84.861,45.75,21.353
42,Delayed transition,True,24.688,541.655,3.53,3.569,4.412,0.369,85.668,45.75,21.556
43,Delayed transition,True,24.071,543.62,3.55,3.602,4.537,0.367,86.459,45.75,21.755
44,Delayed transition,True,23.469,545.541,3.568,3.635,4.662,0.366,87.235,45.75,21.95
45,Delayed transition,True,22.882,547.417,3.587,3.667,4.787,0.365,87.997,45.75,22.142
46,Delayed transition,True,22.31,549.251,3.605,3.698,4.913,0.363,88.744,45.75,22.33
47,Delayed transition,True,21.753,551.043,3.622,3.728,5.04,0.362,89.478,45.75,22.515
48,Delayed transition,True,21.209,552.794,3.639,3.758,5.167,0.361,90.198,45.75,22.696
49,Delayed transition,True,20.679,554.505,3.656,3.788,5.295,0.36,90.906,45.75,22.874
50,Delayed transition,True,20.162,556.177,3.672,3.817,5.424,0.358,91.6,45.75,23.049
51,Delayed transition,True,19.658,557.81,3.687,3.845,5.553,0.357,92.283,45.75,23.221
52,Delayed transition,True,19.166,559.405,3.703,3.873,5.682,0.356,92.953,45.75,23.389
53,Delayed transition,True,18.687,560.964,3.718,3.9,5.813,0.355,93.611,45.75,23.555
54,Delayed transition,True,18.22,562.487,3.732,3.927,5.943,0.354,94.258,45.75,23.718
55,Delayed transition,True,17.764,563.975,3.746,3.954,6.074,0.353,94.894,45.75,23.878
56,Delayed transition,True,17.32,565.428,3.76,3.98,6.206,0.352,95.519,45.75,24.035
57,Delayed transition,True,16.887,566.848,3.773,4.006,6.338,0.351,96.133,45.75,24.189
58,Delayed transition,True,16.465,568.235,3.786,4.031,6.47,0.35,96.737,45.75,24.341
59,Delayed transition,True,16.053,569.59,3.799,4.055,6.603,0.349,97.331,45.75,24.491
60,Delayed transition,True,15.652,570.913,3.812,4.08,6.737,0.348,97.915,45.75,24.638
61,Delayed transition,True,15.261,572.206,3.824,4.104,6.871,0.347,98.49,45.75,24.783
62,Delayed transition,True,14.879,573.469,3.835,4.127,7.005,0.346,99.056,45.75,24.925
63,Delayed transition,True,14.507,574.702,3.847,4.151,7.14,0.345,99.612,45.75,25.065
64,Delayed transition,True,14.145,575.907,3.858,4.173,7.275,0.344,100.0,45.75,25.163
65,Delayed transition,True,13.791,577.084,3.869,4.196,7.41,0.343,100.0,45.75,25.163
66,Delayed transition,True,13.446,578.233,3.88,4.218,7.546,0.342,100.0,45.75,25.163
67,Delayed transition,True,13.11,579.356,3.89,4.24,7.682,0.341,100.0,45.75,25.163
68,Delayed transition,True,12.782,580.452,3.9,4.261,7.818,0.34,100.0,45.75,25.163
69,Delayed transition,True,12.463,581.523,3.91,4.282,7.955,0.34,100.0,45.75,25.163
