article_slug,pressure_reduction,capacity_investment,final_stock,final_risk
fixes-that-fail,0.00,0.00,0.00,100.00
fixes-that-fail,0.00,0.50,0.00,100.00
fixes-that-fail,0.00,1.00,0.00,96.46
fixes-that-fail,0.00,1.50,0.00,89.50
fixes-that-fail,0.00,2.00,0.00,82.53
fixes-that-fail,0.00,2.50,0.00,77.34
fixes-that-fail,0.00,3.00,0.00,76.25
fixes-that-fail,0.10,0.00,0.00,100.00
fixes-that-fail,0.10,0.50,0.00,100.00
fixes-that-fail,0.10,1.00,0.00,95.23
fixes-that-fail,0.10,1.50,0.00,88.27
fixes-that-fail,0.10,2.00,0.00,81.30
fixes-that-fail,0.10,2.50,0.00,76.40
fixes-that-fail,0.10,3.00,0.00,75.32
fixes-that-fail,0.20,0.00,0.00,100.00
fixes-that-fail,0.20,0.50,0.00,100.00
fixes-that-fail,0.20,1.00,0.00,94.00
fixes-that-fail,0.20,1.50,0.00,87.04
fixes-that-fail,0.20,2.00,0.00,80.07
fixes-that-fail,0.20,2.50,0.00,75.46
fixes-that-fail,0.20,3.00,0.00,74.38
fixes-that-fail,0.30,0.00,0.00,100.00
fixes-that-fail,0.30,0.50,0.00,99.74
fixes-that-fail,0.30,1.00,0.00,92.77
fixes-that-fail,0.30,1.50,0.00,85.81
fixes-that-fail,0.30,2.00,0.00,78.84
fixes-that-fail,0.30,2.50,0.00,74.53
fixes-that-fail,0.30,3.00,0.00,73.44
fixes-that-fail,0.40,0.00,0.00,100.00
fixes-that-fail,0.40,0.50,0.00,98.51
fixes-that-fail,0.40,1.00,0.00,91.54
fixes-that-fail,0.40,1.50,0.00,84.57
fixes-that-fail,0.40,2.00,0.00,77.61
fixes-that-fail,0.40,2.50,0.00,73.59
fixes-that-fail,0.40,3.00,0.00,72.51
fixes-that-fail,0.50,0.00,0.00,100.00
fixes-that-fail,0.50,0.50,0.00,97.27
fixes-that-fail,0.50,1.00,0.00,90.31
fixes-that-fail,0.50,1.50,0.00,83.34
fixes-that-fail,0.50,2.00,0.00,76.38
fixes-that-fail,0.50,2.50,0.00,72.66
fixes-that-fail,0.50,3.00,0.00,71.57
