article_slug,article_title,topic_family,year,scenario,policy_active,shock_event,system_stock_index,capacity_index,trust_index,memory_index,burden_index,equity_gap_index,risk_index,outcome_index,resilience_ratio,regeneration,pressure
scenario-modeling-in-systems-thinking,Scenario Modeling in Systems Thinking,modeling_methods,0,Current structure / baseline,False,False,78.662,50.869,48.838,48.871,34.473,20.517,51.674,50.465,0.9593,2.214,4.3
scenario-modeling-in-systems-thinking,Scenario Modeling in Systems Thinking,modeling_methods,1,Current structure / baseline,False,False,74.086,50.727,47.654,48.709,35.067,21.043,53.446,48.738,0.9035,2.124,5.4
scenario-modeling-in-systems-thinking,Scenario Modeling in Systems Thinking,modeling_methods,2,Current structure / baseline,False,False,68.232,50.57,46.444,48.514,35.782,21.58,55.627,46.606,0.8321,2.0,6.5
scenario-modeling-in-systems-thinking,Scenario Modeling in Systems Thinking,modeling_methods,3,Current structure / baseline,False,False,61.06,50.396,45.204,48.286,36.618,22.129,58.231,44.055,0.7446,1.842,7.6
scenario-modeling-in-systems-thinking,Scenario Modeling in Systems Thinking,modeling_methods,4,Current structure / baseline,True,False,53.446,49.973,44.065,48.353,37.059,22.696,60.929,41.413,0.6518,1.649,8.7
scenario-modeling-in-systems-thinking,Scenario Modeling in Systems Thinking,modeling_methods,5,Current structure / baseline,True,False,44.475,49.536,42.901,48.393,37.566,23.272,64.053,38.347,0.5424,1.443,9.8
scenario-modeling-in-systems-thinking,Scenario Modeling in Systems Thinking,modeling_methods,6,Current structure / baseline,True,False,34.106,49.086,41.709,48.406,38.139,23.859,67.617,34.843,0.4159,1.201,10.9
scenario-modeling-in-systems-thinking,Scenario Modeling in Systems Thinking,modeling_methods,7,Current structure / baseline,True,False,22.298,48.619,40.487,48.391,38.778,24.457,71.634,30.889,0.2719,0.921,12.0
scenario-modeling-in-systems-thinking,Scenario Modeling in Systems Thinking,modeling_methods,8,Current structure / baseline,True,False,9.009,48.135,39.233,48.348,39.483,25.068,76.118,26.47,0.1099,0.602,13.1
scenario-modeling-in-systems-thinking,Scenario Modeling in Systems Thinking,modeling_methods,9,Current structure / baseline,True,False,0.0,47.632,37.945,48.278,40.254,25.692,79.342,23.315,0.0,0.243,14.2
scenario-modeling-in-systems-thinking,Scenario Modeling in Systems Thinking,modeling_methods,10,Current structure / baseline,True,True,0.0,47.104,36.617,48.119,41.239,26.334,79.913,22.82,0.0,0.0,17.775
scenario-modeling-in-systems-thinking,Scenario Modeling in Systems Thinking,modeling_methods,11,Current structure / baseline,True,False,0.0,46.553,35.249,47.994,42.142,26.993,80.486,22.322,0.0,0.0,16.4
scenario-modeling-in-systems-thinking,Scenario Modeling in Systems Thinking,modeling_methods,12,Current structure / baseline,True,False,0.0,45.979,33.841,47.842,43.111,27.669,81.086,21.802,0.0,0.0,17.5
scenario-modeling-in-systems-thinking,Scenario Modeling in Systems Thinking,modeling_methods,13,Current structure / baseline,True,False,0.0,45.378,32.39,47.662,44.146,28.364,81.712,21.257,0.0,0.0,18.6
scenario-modeling-in-systems-thinking,Scenario Modeling in Systems Thinking,modeling_methods,14,Current structure / baseline,True,False,0.0,44.75,30.893,47.454,45.247,29.078,82.367,20.687,0.0,0.0,19.7
scenario-modeling-in-systems-thinking,Scenario Modeling in Systems Thinking,modeling_methods,15,Current structure / baseline,True,False,0.0,44.092,29.348,47.219,46.414,29.814,83.051,20.092,0.0,0.0,20.8
scenario-modeling-in-systems-thinking,Scenario Modeling in Systems Thinking,modeling_methods,16,Current structure / baseline,True,False,0.0,43.404,27.753,46.957,47.647,30.571,83.765,19.47,0.0,0.0,21.9
scenario-modeling-in-systems-thinking,Scenario Modeling in Systems Thinking,modeling_methods,17,Current structure / baseline,True,False,0.0,42.684,26.105,46.667,48.946,31.352,84.511,18.821,0.0,0.0,23.0
scenario-modeling-in-systems-thinking,Scenario Modeling in Systems Thinking,modeling_methods,18,Current structure / baseline,True,False,0.0,41.929,24.403,46.349,50.311,32.158,85.289,18.143,0.0,0.0,24.1
scenario-modeling-in-systems-thinking,Scenario Modeling in Systems Thinking,modeling_methods,19,Current structure / baseline,True,False,0.0,41.138,22.642,46.004,51.742,32.989,86.1,17.436,0.0,0.0,25.2
scenario-modeling-in-systems-thinking,Scenario Modeling in Systems Thinking,modeling_methods,20,Current structure / baseline,True,False,0.0,40.31,20.822,45.632,53.239,33.848,86.945,16.698,0.0,0.0,26.3
scenario-modeling-in-systems-thinking,Scenario Modeling in Systems Thinking,modeling_methods,21,Current structure / baseline,True,False,0.0,39.443,18.94,45.232,54.802,34.734,87.825,15.93,0.0,0.0,27.4
scenario-modeling-in-systems-thinking,Scenario Modeling in Systems Thinking,modeling_methods,22,Current structure / baseline,True,False,0.0,38.535,16.993,44.804,56.431,35.65,88.742,15.129,0.0,0.0,28.5
scenario-modeling-in-systems-thinking,Scenario Modeling in Systems Thinking,modeling_methods,23,Current structure / baseline,True,False,0.0,37.585,14.978,44.349,58.126,36.596,89.696,14.296,0.0,0.0,29.6
scenario-modeling-in-systems-thinking,Scenario Modeling in Systems Thinking,modeling_methods,24,Current structure / baseline,True,False,0.0,36.591,12.894,43.867,59.887,37.574,90.688,13.429,0.0,0.0,30.7
scenario-modeling-in-systems-thinking,Scenario Modeling in Systems Thinking,modeling_methods,25,Current structure / baseline,True,False,0.0,35.551,10.737,43.357,61.714,38.585,91.719,12.527,0.0,0.0,31.8
scenario-modeling-in-systems-thinking,Scenario Modeling in Systems Thinking,modeling_methods,26,Current structure / baseline,True,False,0.0,34.464,8.506,42.819,63.607,39.63,92.791,11.589,0.0,0.0,32.9
scenario-modeling-in-systems-thinking,Scenario Modeling in Systems Thinking,modeling_methods,27,Current structure / baseline,True,False,0.0,33.328,6.196,42.254,65.566,40.71,93.904,10.615,0.0,0.0,34.0
scenario-modeling-in-systems-thinking,Scenario Modeling in Systems Thinking,modeling_methods,28,Current structure / baseline,True,False,0.0,32.141,3.807,41.662,67.591,41.827,95.059,9.603,0.0,0.0,35.1
scenario-modeling-in-systems-thinking,Scenario Modeling in Systems Thinking,modeling_methods,29,Current structure / baseline,True,False,0.0,30.902,1.334,41.042,69.682,42.981,96.258,8.553,0.0,0.0,36.2
scenario-modeling-in-systems-thinking,Scenario Modeling in Systems Thinking,modeling_methods,30,Current structure / baseline,True,False,0.0,29.609,0.0,40.394,71.839,44.174,97.256,7.708,0.0,0.0,37.3
scenario-modeling-in-systems-thinking,Scenario Modeling in Systems Thinking,modeling_methods,0,Pressure-only intervention,False,False,78.662,50.869,48.838,48.871,34.473,20.517,51.674,50.465,0.9593,2.214,4.3
scenario-modeling-in-systems-thinking,Scenario Modeling in Systems Thinking,modeling_methods,1,Pressure-only intervention,False,False,74.086,50.727,47.654,48.709,35.067,21.043,53.446,48.738,0.9035,2.124,5.4
scenario-modeling-in-systems-thinking,Scenario Modeling in Systems Thinking,modeling_methods,2,Pressure-only intervention,False,False,68.232,50.57,46.444,48.514,35.782,21.58,55.627,46.606,0.8321,2.0,6.5
