article_slug,article_title,year,scenario,active_intervention,primary_stock_label,pressure_label,burden_label,outcome_label,demand_index,capacity_index,trust_index,institutional_memory_index,system_stock_index,burden_index,equity_gap_index,pressure_index,feedback_closure,resilience_index,risk_index,outcome_index,overshoot_pressure
systems-thinking-in-public-policy,Systems Thinking In Public Policy,0,Baseline / current structure,False,public trust and institutional capacity stock,administrative and political pressure,administrative burden,public value outcome,42.0,48.16,50.338,45.397,71.239,45.677,31.183,44.611,0.05,53.78,38.058,41.887,6.761
systems-thinking-in-public-policy,Systems Thinking In Public Policy,1,Baseline / current structure,False,public trust and institutional capacity stock,administrative and political pressure,administrative burden,public value outcome,43.8,47.269,48.582,44.773,64.278,47.828,31.374,45.523,0.05,51.291,39.203,39.645,6.961
systems-thinking-in-public-policy,Systems Thinking In Public Policy,2,Baseline / current structure,False,public trust and institutional capacity stock,administrative and political pressure,administrative burden,public value outcome,45.6,46.326,46.728,44.125,57.112,50.037,31.574,46.539,0.05,48.711,40.41,37.319,7.166
systems-thinking-in-public-policy,Systems Thinking In Public Policy,3,Baseline / current structure,False,public trust and institutional capacity stock,administrative and political pressure,administrative burden,public value outcome,47.4,45.326,44.771,43.452,49.737,52.31,31.783,47.661,0.05,46.036,41.682,34.905,7.375
systems-thinking-in-public-policy,Systems Thinking In Public Policy,4,Baseline / current structure,True,public trust and institutional capacity stock,administrative and political pressure,administrative burden,public value outcome,49.2,44.661,43.058,43.186,41.731,54.308,31.901,48.706,0.22,43.472,42.879,34.847,8.006
systems-thinking-in-public-policy,Systems Thinking In Public Policy,5,Baseline / current structure,True,public trust and institutional capacity stock,administrative and political pressure,administrative burden,public value outcome,51.0,43.945,41.256,42.896,33.496,56.367,32.026,49.847,0.22,40.814,44.088,32.504,8.236
systems-thinking-in-public-policy,Systems Thinking In Public Policy,6,Baseline / current structure,True,public trust and institutional capacity stock,administrative and political pressure,administrative burden,public value outcome,52.8,43.177,39.36,42.581,25.025,58.491,32.16,51.085,0.22,38.058,45.359,30.071,8.471
systems-thinking-in-public-policy,Systems Thinking In Public Policy,7,Baseline / current structure,True,public trust and institutional capacity stock,administrative and political pressure,administrative burden,public value outcome,54.6,42.352,37.367,42.24,16.313,60.685,32.303,52.425,0.22,35.201,46.695,27.545,8.712
systems-thinking-in-public-policy,Systems Thinking In Public Policy,8,Baseline / current structure,True,public trust and institutional capacity stock,administrative and political pressure,administrative burden,public value outcome,56.4,41.467,35.272,41.87,7.355,62.956,32.455,53.868,0.22,32.238,48.099,24.921,8.958
systems-thinking-in-public-policy,Systems Thinking In Public Policy,9,Baseline / current structure,True,public trust and institutional capacity stock,administrative and political pressure,administrative burden,public value outcome,58.2,40.52,33.069,41.471,0,65.308,32.616,55.418,0.22,29.574,49.541,22.512,9.21
systems-thinking-in-public-policy,Systems Thinking In Public Policy,10,Baseline / current structure,True,public trust and institutional capacity stock,administrative and political pressure,administrative burden,public value outcome,60.0,39.506,30.755,41.041,0,67.748,32.787,57.079,0.22,28.471,50.917,21.291,9.416
systems-thinking-in-public-policy,Systems Thinking In Public Policy,11,Baseline / current structure,True,public trust and institutional capacity stock,administrative and political pressure,administrative burden,public value outcome,61.8,38.422,28.322,40.578,0,70.281,32.968,58.853,0.22,27.308,52.339,20.005,9.416
systems-thinking-in-public-policy,Systems Thinking In Public Policy,12,Baseline / current structure,True,public trust and institutional capacity stock,administrative and political pressure,administrative burden,public value outcome,63.6,37.264,25.766,40.08,0,72.913,33.16,60.744,0.22,26.082,53.837,18.651,9.416
systems-thinking-in-public-policy,Systems Thinking In Public Policy,13,Baseline / current structure,True,public trust and institutional capacity stock,administrative and political pressure,administrative burden,public value outcome,65.4,36.028,23.08,39.545,0,75.652,33.362,62.757,0.22,24.789,55.414,17.224,9.416
systems-thinking-in-public-policy,Systems Thinking In Public Policy,14,Baseline / current structure,True,public trust and institutional capacity stock,administrative and political pressure,administrative burden,public value outcome,67.2,34.709,20.259,38.973,0,78.503,33.576,64.895,0.22,23.426,57.073,15.721,9.416
systems-thinking-in-public-policy,Systems Thinking In Public Policy,15,Baseline / current structure,True,public trust and institutional capacity stock,administrative and political pressure,administrative burden,public value outcome,69.0,33.304,17.294,38.359,0,81.474,33.802,67.163,0.22,21.988,58.817,14.138,9.416
systems-thinking-in-public-policy,Systems Thinking In Public Policy,16,Baseline / current structure,True,public trust and institutional capacity stock,administrative and political pressure,administrative burden,public value outcome,70.8,31.808,14.18,37.703,0,84.572,34.04,69.567,0.22,20.473,60.652,12.47,9.416
systems-thinking-in-public-policy,Systems Thinking In Public Policy,17,Baseline / current structure,True,public trust and institutional capacity stock,administrative and political pressure,administrative burden,public value outcome,72.6,30.215,10.908,37.002,0,87.803,34.292,72.11,0.22,18.876,62.581,10.713,9.416
