delay_years,year,capacity,incoming_demand,processed,backlog
0,0,47.0,8.0,7.05,100.95
0,1,49.0,8.0,7.35,101.6
0,2,51.0,8.0,7.65,101.95
0,3,53.0,8.0,7.95,102.0
0,4,55.0,8.0,8.25,101.75
0,5,57.0,8.0,8.55,101.2
0,6,59.0,8.0,8.85,100.35
0,7,61.0,8.0,9.15,99.2
0,8,63.0,8.0,9.45,97.75
0,9,65.0,8.0,9.75,96.0
0,10,67.0,8.0,10.05,93.95
0,11,69.0,8.0,10.35,91.6
0,12,71.0,8.0,10.65,88.95
0,13,73.0,8.0,10.95,86.0
0,14,75.0,8.0,11.25,82.75
0,15,77.0,8.0,11.55,79.2
2,0,45.0,8.0,6.75,101.25
2,1,45.0,8.0,6.75,102.5
2,2,47.0,8.0,7.05,103.45
2,3,49.0,8.0,7.35,104.1
2,4,51.0,8.0,7.65,104.45
2,5,53.0,8.0,7.95,104.5
2,6,55.0,8.0,8.25,104.25
2,7,57.0,8.0,8.55,103.7
2,8,59.0,8.0,8.85,102.85
2,9,61.0,8.0,9.15,101.7
2,10,63.0,8.0,9.45,100.25
2,11,65.0,8.0,9.75,98.5
2,12,67.0,8.0,10.05,96.45
2,13,69.0,8.0,10.35,94.1
2,14,71.0,8.0,10.65,91.45
2,15,73.0,8.0,10.95,88.5
5,0,45.0,8.0,6.75,101.25
5,1,45.0,8.0,6.75,102.5
5,2,45.0,8.0,6.75,103.75
5,3,45.0,8.0,6.75,105.0
5,4,45.0,8.0,6.75,106.25
5,5,47.0,8.0,7.05,107.2
5,6,49.0,8.0,7.35,107.85
5,7,51.0,8.0,7.65,108.2
5,8,53.0,8.0,7.95,108.25
5,9,55.0,8.0,8.25,108.0
5,10,57.0,8.0,8.55,107.45
5,11,59.0,8.0,8.85,106.6
5,12,61.0,8.0,9.15,105.45
5,13,63.0,8.0,9.45,104.0
5,14,65.0,8.0,9.75,102.25
5,15,67.0,8.0,10.05,100.2
8,0,45.0,8.0,6.75,101.25
8,1,45.0,8.0,6.75,102.5
8,2,45.0,8.0,6.75,103.75
8,3,45.0,8.0,6.75,105.0
8,4,45.0,8.0,6.75,106.25
8,5,45.0,8.0,6.75,107.5
8,6,45.0,8.0,6.75,108.75
8,7,45.0,8.0,6.75,110.0
8,8,47.0,8.0,7.05,110.95
8,9,49.0,8.0,7.35,111.6
8,10,51.0,8.0,7.65,111.95
8,11,53.0,8.0,7.95,112.0
8,12,55.0,8.0,8.25,111.75
8,13,57.0,8.0,8.55,111.2
8,14,59.0,8.0,8.85,110.35
8,15,61.0,8.0,9.15,109.2
