year,scenario,policy_outcome,public_trust,implementation_capacity,administrative_burden,feedback_closure,distribution_gap,enforcement_intensity
0,Baseline administration,45.05,46.87,43.58,48.0,0.2,35.0,15.0
1,Baseline administration,48.09,43.72,42.16,48.0,0.2,35.0,15.0
2,Baseline administration,51.11,40.57,40.74,48.0,0.2,35.0,15.0
3,Baseline administration,54.12,37.4,39.32,48.0,0.2,35.0,15.0
4,Baseline administration,57.11,34.23,37.9,48.0,0.2,35.0,15.0
5,Baseline administration,60.09,31.04,36.48,48.0,0.2,35.0,15.0
6,Baseline administration,63.06,27.84,35.06,48.0,0.2,35.0,15.0
7,Baseline administration,66.01,24.64,33.64,48.0,0.2,35.0,15.0
8,Baseline administration,68.95,21.42,32.22,48.0,0.2,35.0,15.0
9,Baseline administration,71.87,18.19,30.8,48.0,0.2,35.0,15.0
10,Baseline administration,74.78,14.95,29.38,48.0,0.2,35.0,15.0
11,Baseline administration,77.67,11.7,27.96,48.0,0.2,35.0,15.0
12,Baseline administration,80.55,8.44,26.54,48.0,0.2,35.0,15.0
13,Baseline administration,83.42,5.17,25.12,48.0,0.2,35.0,15.0
14,Baseline administration,86.27,1.88,23.7,48.0,0.2,35.0,15.0
15,Baseline administration,89.11,0.0,22.28,48.0,0.2,35.0,15.0
16,Baseline administration,91.93,0.0,20.86,48.0,0.2,35.0,15.0
17,Baseline administration,94.74,0.0,19.44,48.0,0.2,35.0,15.0
18,Baseline administration,97.54,0.0,18.02,48.0,0.2,35.0,15.0
19,Baseline administration,100.0,0.0,16.6,48.0,0.2,35.0,15.0
20,Baseline administration,100.0,0.0,15.18,48.0,0.2,35.0,15.0
0,Enforcement-heavy design,51.23,44.76,43.08,58.0,0.15,42.0,45.0
1,Enforcement-heavy design,60.44,39.51,41.16,58.0,0.15,42.0,45.0
2,Enforcement-heavy design,69.62,34.24,39.24,58.0,0.15,42.0,45.0
3,Enforcement-heavy design,78.79,28.96,37.32,58.0,0.15,42.0,45.0
4,Enforcement-heavy design,87.95,23.66,35.4,58.0,0.15,42.0,45.0
5,Enforcement-heavy design,97.08,18.35,33.48,58.0,0.15,42.0,45.0
6,Enforcement-heavy design,100.0,13.02,31.56,58.0,0.15,42.0,45.0
7,Enforcement-heavy design,100.0,7.68,29.64,58.0,0.15,42.0,45.0
8,Enforcement-heavy design,100.0,2.33,27.72,58.0,0.15,42.0,45.0
9,Enforcement-heavy design,100.0,0.0,25.8,58.0,0.15,42.0,45.0
10,Enforcement-heavy design,100.0,0.0,23.88,58.0,0.15,42.0,45.0
11,Enforcement-heavy design,100.0,0.0,21.96,58.0,0.15,42.0,45.0
12,Enforcement-heavy design,100.0,0.0,20.04,58.0,0.15,42.0,45.0
13,Enforcement-heavy design,100.0,0.0,18.12,58.0,0.15,42.0,45.0
14,Enforcement-heavy design,100.0,0.0,16.2,58.0,0.15,42.0,45.0
15,Enforcement-heavy design,100.0,0.0,14.28,58.0,0.15,42.0,45.0
16,Enforcement-heavy design,100.0,0.0,12.36,58.0,0.15,42.0,45.0
17,Enforcement-heavy design,100.0,0.0,10.44,58.0,0.15,42.0,45.0
18,Enforcement-heavy design,100.0,0.0,8.52,58.0,0.15,42.0,45.0
19,Enforcement-heavy design,100.0,0.0,6.6,58.0,0.15,42.0,45.0
20,Enforcement-heavy design,100.0,0.0,4.68,58.0,0.15,42.0,45.0
0,Burden-reduction design,45.79,48.85,45.04,24.0,0.45,24.0,12.0
1,Burden-reduction design,49.58,47.69,45.08,24.0,0.45,24.0,12.0
2,Burden-reduction design,53.38,46.54,45.12,24.0,0.45,24.0,12.0
3,Burden-reduction design,57.17,45.39,45.16,24.0,0.45,24.0,12.0
4,Burden-reduction design,60.96,44.24,45.2,24.0,0.45,24.0,12.0
5,Burden-reduction design,64.76,43.09,45.24,24.0,0.45,24.0,12.0
6,Burden-reduction design,68.55,41.93,45.28,24.0,0.45,24.0,12.0
7,Burden-reduction design,72.35,40.78,45.32,24.0,0.45,24.0,12.0
8,Burden-reduction design,76.14,39.63,45.36,24.0,0.45,24.0,12.0
9,Burden-reduction design,79.94,38.48,45.4,24.0,0.45,24.0,12.0
10,Burden-reduction design,83.73,37.33,45.44,24.0,0.45,24.0,12.0
11,Burden-reduction design,87.53,36.18,45.48,24.0,0.45,24.0,12.0
12,Burden-reduction design,91.33,35.03,45.52,24.0,0.45,24.0,12.0
13,Burden-reduction design,95.13,33.88,45.56,24.0,0.45,24.0,12.0
14,Burden-reduction design,98.92,32.73,45.6,24.0,0.45,24.0,12.0
15,Burden-reduction design,100.0,31.58,45.64,24.0,0.45,24.0,12.0
16,Burden-reduction design,100.0,30.44,45.68,24.0,0.45,24.0,12.0
17,Burden-reduction design,100.0,29.29,45.72,24.0,0.45,24.0,12.0
18,Burden-reduction design,100.0,28.14,45.76,24.0,0.45,24.0,12.0
19,Burden-reduction design,100.0,26.99,45.8,24.0,0.45,24.0,12.0
20,Burden-reduction design,100.0,25.85,45.84,24.0,0.45,24.0,12.0
0,Capacity-building redesign,46.03,49.39,46.32,22.0,0.7,16.0,10.0
1,Capacity-building redesign,50.07,48.79,47.64,22.0,0.7,16.0,10.0
2,Capacity-building redesign,54.12,48.21,48.96,22.0,0.7,16.0,10.0
3,Capacity-building redesign,58.19,47.63,50.28,22.0,0.7,16.0,10.0
4,Capacity-building redesign,62.26,47.06,51.6,22.0,0.7,16.0,10.0
5,Capacity-building redesign,66.36,46.5,52.92,22.0,0.7,16.0,10.0
6,Capacity-building redesign,70.46,45.95,54.24,22.0,0.7,16.0,10.0
7,Capacity-building redesign,74.58,45.42,55.56,22.0,0.7,16.0,10.0
8,Capacity-building redesign,78.71,44.89,56.88,22.0,0.7,16.0,10.0
9,Capacity-building redesign,82.86,44.37,58.2,22.0,0.7,16.0,10.0
10,Capacity-building redesign,87.02,43.86,59.52,22.0,0.7,16.0,10.0
11,Capacity-building redesign,91.19,43.36,60.84,22.0,0.7,16.0,10.0
12,Capacity-building redesign,95.37,42.87,62.16,22.0,0.7,16.0,10.0
13,Capacity-building redesign,99.57,42.39,63.48,22.0,0.7,16.0,10.0
14,Capacity-building redesign,100.0,41.93,64.8,22.0,0.7,16.0,10.0
15,Capacity-building redesign,100.0,41.47,66.12,22.0,0.7,16.0,10.0
16,Capacity-building redesign,100.0,41.02,67.44,22.0,0.7,16.0,10.0
17,Capacity-building redesign,100.0,40.58,68.76,22.0,0.7,16.0,10.0
18,Capacity-building redesign,100.0,40.15,70.08,22.0,0.7,16.0,10.0
19,Capacity-building redesign,100.0,39.73,71.4,22.0,0.7,16.0,10.0
20,Capacity-building redesign,100.0,39.32,72.72,22.0,0.7,16.0,10.0
0,Participatory redesign,45.8,49.76,45.8,20.0,0.82,10.0,8.0
1,Participatory redesign,49.62,49.53,46.6,20.0,0.82,10.0,8.0
2,Participatory redesign,53.44,49.3,47.4,20.0,0.82,10.0,8.0
3,Participatory redesign,57.27,49.08,48.2,20.0,0.82,10.0,8.0
4,Participatory redesign,61.1,48.87,49.0,20.0,0.82,10.0,8.0
5,Participatory redesign,64.95,48.66,49.8,20.0,0.82,10.0,8.0
6,Participatory redesign,68.8,48.46,50.6,20.0,0.82,10.0,8.0
7,Participatory redesign,72.66,48.26,51.4,20.0,0.82,10.0,8.0
8,Participatory redesign,76.53,48.07,52.2,20.0,0.82,10.0,8.0
9,Participatory redesign,80.41,47.88,53.0,20.0,0.82,10.0,8.0
10,Participatory redesign,84.29,47.71,53.8,20.0,0.82,10.0,8.0
11,Participatory redesign,88.18,47.53,54.6,20.0,0.82,10.0,8.0
12,Participatory redesign,92.08,47.37,55.4,20.0,0.82,10.0,8.0
13,Participatory redesign,95.99,47.21,56.2,20.0,0.82,10.0,8.0
14,Participatory redesign,99.91,47.05,57.0,20.0,0.82,10.0,8.0
15,Participatory redesign,100.0,46.9,57.8,20.0,0.82,10.0,8.0
16,Participatory redesign,100.0,46.76,58.6,20.0,0.82,10.0,8.0
17,Participatory redesign,100.0,46.62,59.4,20.0,0.82,10.0,8.0
18,Participatory redesign,100.0,46.49,60.2,20.0,0.82,10.0,8.0
19,Participatory redesign,100.0,46.37,61.0,20.0,0.82,10.0,8.0
20,Participatory redesign,100.0,46.25,61.8,20.0,0.82,10.0,8.0
