scenario_id,month,system_performance,stock_level,pressure_level,correction_cost,distributional_burden
S001,0,0.62,0.78,0.42,0.10,0.20
S001,12,0.66,0.72,0.52,0.18,0.23
S001,24,0.72,0.74,0.46,0.24,0.22
S002,0,0.62,0.78,0.42,0.08,0.20
S002,12,0.58,0.62,0.72,0.22,0.36
S002,24,0.44,0.39,0.82,0.58,0.64
S003,0,0.70,0.70,0.48,0.06,0.26
S003,12,0.68,0.50,0.77,0.28,0.54
S003,24,0.49,0.42,0.70,0.52,0.66
S004,0,0.61,0.66,0.40,0.12,0.24
S004,12,0.66,0.62,0.55,0.20,0.26
S004,24,0.73,0.69,0.45,0.26,0.22
S005,0,0.61,0.66,0.40,0.06,0.24
S005,12,0.55,0.52,0.70,0.25,0.41
S005,24,0.40,0.38,0.78,0.70,0.67
S006,0,0.58,0.58,0.45,0.10,0.28
S006,12,0.64,0.57,0.58,0.20,0.30
S006,24,0.70,0.63,0.49,0.30,0.27
