article_slug,pressure_reduction,capacity_investment,final_stock,final_risk
sensitivity-analysis-for-system-interventions,0.00,0.00,0.00,100.00
sensitivity-analysis-for-system-interventions,0.00,0.50,0.00,99.12
sensitivity-analysis-for-system-interventions,0.00,1.00,0.00,92.15
sensitivity-analysis-for-system-interventions,0.00,1.50,0.00,85.19
sensitivity-analysis-for-system-interventions,0.00,2.00,0.00,78.22
sensitivity-analysis-for-system-interventions,0.00,2.50,0.00,75.20
sensitivity-analysis-for-system-interventions,0.00,3.00,0.00,74.12
sensitivity-analysis-for-system-interventions,0.10,0.00,0.00,100.00
sensitivity-analysis-for-system-interventions,0.10,0.50,0.00,97.96
sensitivity-analysis-for-system-interventions,0.10,1.00,0.00,90.99
sensitivity-analysis-for-system-interventions,0.10,1.50,0.00,84.03
sensitivity-analysis-for-system-interventions,0.10,2.00,0.00,77.06
sensitivity-analysis-for-system-interventions,0.10,2.50,0.00,74.32
sensitivity-analysis-for-system-interventions,0.10,3.00,0.00,73.24
sensitivity-analysis-for-system-interventions,0.20,0.00,0.00,100.00
sensitivity-analysis-for-system-interventions,0.20,0.50,0.00,96.80
sensitivity-analysis-for-system-interventions,0.20,1.00,0.00,89.83
sensitivity-analysis-for-system-interventions,0.20,1.50,0.00,82.87
sensitivity-analysis-for-system-interventions,0.20,2.00,0.00,75.90
sensitivity-analysis-for-system-interventions,0.20,2.50,0.00,73.44
sensitivity-analysis-for-system-interventions,0.20,3.00,0.00,72.35
sensitivity-analysis-for-system-interventions,0.30,0.00,0.00,100.00
sensitivity-analysis-for-system-interventions,0.30,0.50,0.00,95.64
sensitivity-analysis-for-system-interventions,0.30,1.00,0.00,88.67
sensitivity-analysis-for-system-interventions,0.30,1.50,0.00,81.71
sensitivity-analysis-for-system-interventions,0.30,2.00,0.00,74.74
sensitivity-analysis-for-system-interventions,0.30,2.50,0.00,72.56
sensitivity-analysis-for-system-interventions,0.30,3.00,0.00,71.47
sensitivity-analysis-for-system-interventions,0.40,0.00,0.00,100.00
sensitivity-analysis-for-system-interventions,0.40,0.50,0.00,94.48
sensitivity-analysis-for-system-interventions,0.40,1.00,0.00,87.51
sensitivity-analysis-for-system-interventions,0.40,1.50,0.00,80.55
sensitivity-analysis-for-system-interventions,0.40,2.00,0.00,73.58
sensitivity-analysis-for-system-interventions,0.40,2.50,0.00,71.67
sensitivity-analysis-for-system-interventions,0.40,3.00,0.00,70.59
sensitivity-analysis-for-system-interventions,0.50,0.00,0.00,100.00
sensitivity-analysis-for-system-interventions,0.50,0.50,0.00,93.32
sensitivity-analysis-for-system-interventions,0.50,1.00,0.00,86.35
sensitivity-analysis-for-system-interventions,0.50,1.50,0.00,79.39
sensitivity-analysis-for-system-interventions,0.50,2.00,0.00,72.42
sensitivity-analysis-for-system-interventions,0.50,2.50,0.00,70.79
sensitivity-analysis-for-system-interventions,0.50,3.00,0.00,69.70
