month,domain,pressure,stock_level,buffer_level,early_warning_signal,collapse_risk
0,ecology,0.42,0.78,0.66,0.18,0.10
6,ecology,0.55,0.73,0.61,0.28,0.16
12,ecology,0.69,0.64,0.50,0.43,0.29
18,ecology,0.80,0.49,0.36,0.62,0.54
24,ecology,0.76,0.41,0.31,0.70,0.66
0,organization,0.48,0.70,0.58,0.22,0.14
6,organization,0.62,0.64,0.49,0.36,0.24
12,organization,0.77,0.52,0.36,0.58,0.48
18,organization,0.82,0.42,0.28,0.70,0.67
24,organization,0.70,0.46,0.32,0.61,0.55
0,infrastructure,0.40,0.66,0.60,0.20,0.12
6,infrastructure,0.52,0.63,0.56,0.30,0.19
12,infrastructure,0.67,0.57,0.45,0.48,0.36
18,infrastructure,0.79,0.46,0.33,0.66,0.60
24,infrastructure,0.72,0.48,0.35,0.59,0.52
