article_slug,article_title,year,scenario,active_intervention,primary_stock_label,pressure_label,burden_label,outcome_label,demand_index,capacity_index,trust_index,institutional_memory_index,system_stock_index,burden_index,equity_gap_index,pressure_index,feedback_closure,resilience_index,risk_index,outcome_index,overshoot_pressure
feedback-loop-polarity-and-causal-signs,Feedback Loop Polarity And Causal Signs,0,Baseline / current structure,False,system stock and dynamic capacity,dynamic complexity pressure,model uncertainty and intervention burden,system performance outcome,42.0,50.214,48.686,48.409,74.367,43.658,21.175,44.625,0.05,55.443,35.708,43.956,7.633
feedback-loop-polarity-and-causal-signs,Feedback Loop Polarity And Causal Signs,1,Baseline / current structure,False,system stock and dynamic capacity,dynamic complexity pressure,model uncertainty and intervention burden,system performance outcome,43.9,49.382,47.286,47.799,66.489,45.585,21.357,45.448,0.05,52.871,36.773,41.687,7.878
feedback-loop-polarity-and-causal-signs,Feedback Loop Polarity And Causal Signs,2,Baseline / current structure,False,system stock and dynamic capacity,dynamic complexity pressure,model uncertainty and intervention burden,system performance outcome,45.8,48.502,45.798,47.167,58.359,47.565,21.547,46.369,0.05,50.202,37.898,39.331,8.13
feedback-loop-polarity-and-causal-signs,Feedback Loop Polarity And Causal Signs,3,Baseline / current structure,False,system stock and dynamic capacity,dynamic complexity pressure,model uncertainty and intervention burden,system performance outcome,47.7,47.57,44.216,46.513,49.971,49.603,21.746,47.392,0.05,47.432,39.084,36.883,8.388
feedback-loop-polarity-and-causal-signs,Feedback Loop Polarity And Causal Signs,4,Baseline / current structure,True,system stock and dynamic capacity,dynamic complexity pressure,model uncertainty and intervention burden,system performance outcome,49.6,46.978,42.888,46.269,40.837,51.361,21.851,48.331,0.22,44.751,40.202,36.777,9.134
feedback-loop-polarity-and-causal-signs,Feedback Loop Polarity And Causal Signs,5,Baseline / current structure,True,system stock and dynamic capacity,dynamic complexity pressure,model uncertainty and intervention burden,system performance outcome,51.5,46.342,41.481,46.003,31.418,53.174,21.964,49.361,0.22,41.97,41.321,34.381,9.419
feedback-loop-polarity-and-causal-signs,Feedback Loop Polarity And Causal Signs,6,Baseline / current structure,True,system stock and dynamic capacity,dynamic complexity pressure,model uncertainty and intervention burden,system performance outcome,53.4,45.658,39.992,45.715,21.707,55.045,22.084,50.483,0.22,39.083,42.499,31.891,9.712
feedback-loop-polarity-and-causal-signs,Feedback Loop Polarity And Causal Signs,7,Baseline / current structure,True,system stock and dynamic capacity,dynamic complexity pressure,model uncertainty and intervention burden,system performance outcome,55.3,44.923,38.416,45.403,11.694,56.981,22.212,51.699,0.22,36.087,43.739,29.302,10.013
feedback-loop-polarity-and-causal-signs,Feedback Loop Polarity And Causal Signs,8,Baseline / current structure,True,system stock and dynamic capacity,dynamic complexity pressure,model uncertainty and intervention burden,system performance outcome,57.2,44.135,36.749,45.066,1.373,58.985,22.348,53.013,0.22,32.976,45.044,26.612,10.321
feedback-loop-polarity-and-causal-signs,Feedback Loop Polarity And Causal Signs,9,Baseline / current structure,True,system stock and dynamic capacity,dynamic complexity pressure,model uncertainty and intervention burden,system performance outcome,59.1,43.29,34.986,44.702,0,61.064,22.492,54.426,0.22,31.787,46.252,25.391,10.638
feedback-loop-polarity-and-causal-signs,Feedback Loop Polarity And Causal Signs,10,Baseline / current structure,True,system stock and dynamic capacity,dynamic complexity pressure,model uncertainty and intervention burden,system performance outcome,61.0,42.386,33.124,44.311,0,63.223,22.645,55.943,0.22,30.847,47.467,24.348,10.68
feedback-loop-polarity-and-causal-signs,Feedback Loop Polarity And Causal Signs,11,Baseline / current structure,True,system stock and dynamic capacity,dynamic complexity pressure,model uncertainty and intervention burden,system performance outcome,62.9,41.418,31.157,43.889,0,65.466,22.807,57.566,0.22,29.854,48.744,23.246,10.68
feedback-loop-polarity-and-causal-signs,Feedback Loop Polarity And Causal Signs,12,Baseline / current structure,True,system stock and dynamic capacity,dynamic complexity pressure,model uncertainty and intervention burden,system performance outcome,64.8,40.383,29.079,43.436,0,67.801,22.978,59.299,0.22,28.804,50.089,22.082,10.68
feedback-loop-polarity-and-causal-signs,Feedback Loop Polarity And Causal Signs,13,Baseline / current structure,True,system stock and dynamic capacity,dynamic complexity pressure,model uncertainty and intervention burden,system performance outcome,66.7,39.278,26.886,42.951,0,70.232,23.159,61.145,0.22,27.694,51.507,20.853,10.68
feedback-loop-polarity-and-causal-signs,Feedback Loop Polarity And Causal Signs,14,Baseline / current structure,True,system stock and dynamic capacity,dynamic complexity pressure,model uncertainty and intervention burden,system performance outcome,68.6,38.098,24.571,42.43,0,72.766,23.35,63.108,0.22,26.52,53.001,19.556,10.68
feedback-loop-polarity-and-causal-signs,Feedback Loop Polarity And Causal Signs,15,Baseline / current structure,True,system stock and dynamic capacity,dynamic complexity pressure,model uncertainty and intervention burden,system performance outcome,70.5,36.84,22.128,41.872,0,75.41,23.552,65.192,0.22,25.28,54.574,18.185,10.68
feedback-loop-polarity-and-causal-signs,Feedback Loop Polarity And Causal Signs,16,Baseline / current structure,True,system stock and dynamic capacity,dynamic complexity pressure,model uncertainty and intervention burden,system performance outcome,72.4,35.498,19.551,41.276,0,78.169,23.764,67.402,0.22,23.969,56.23,16.738,10.68
feedback-loop-polarity-and-causal-signs,Feedback Loop Polarity And Causal Signs,17,Baseline / current structure,True,system stock and dynamic capacity,dynamic complexity pressure,model uncertainty and intervention burden,system performance outcome,74.3,34.07,16.832,40.64,0,81.052,23.989,69.741,0.22,22.584,57.973,15.211,10.68
feedback-loop-polarity-and-causal-signs,Feedback Loop Polarity And Causal Signs,18,Baseline / current structure,True,system stock and dynamic capacity,dynamic complexity pressure,model uncertainty and intervention burden,system performance outcome,76.2,32.549,13.965,39.96,0,84.065,24.225,72.216,0.22,21.121,59.807,13.599,10.68
feedback-loop-polarity-and-causal-signs,Feedback Loop Polarity And Causal Signs,19,Baseline / current structure,True,system stock and dynamic capacity,dynamic complexity pressure,model uncertainty and intervention burden,system performance outcome,78.1,30.931,10.943,39.236,0,87.215,24.474,74.83,0.22,19.575,61.736,11.897,10.68
feedback-loop-polarity-and-causal-signs,Feedback Loop Polarity And Causal Signs,20,Baseline / current structure,True,system stock and dynamic capacity,dynamic complexity pressure,model uncertainty and intervention burden,system performance outcome,80.0,29.212,7.756,38.464,0,90.511,24.736,77.59,0.22,17.943,63.764,10.101,10.68
