period,unit_id,speak_up_score,leader_response_score,retaliation_fear,closure_score,reported_near_misses
1,U01,0.58,0.52,0.36,0.40,9
2,U01,0.53,0.48,0.42,0.37,7
3,U01,0.48,0.43,0.49,0.34,5
4,U01,0.42,0.38,0.56,0.31,4
1,U02,0.66,0.60,0.28,0.47,12
2,U02,0.61,0.56,0.34,0.44,10
3,U02,0.56,0.51,0.40,0.40,8
4,U02,0.50,0.45,0.47,0.36,6
1,U03,0.63,0.57,0.31,0.45,11
2,U03,0.58,0.52,0.38,0.41,9
3,U03,0.52,0.47,0.45,0.37,7
4,U03,0.46,0.41,0.53,0.33,5
1,U04,0.57,0.50,0.39,0.38,8
2,U04,0.51,0.45,0.46,0.34,6
3,U04,0.45,0.39,0.54,0.30,4
4,U04,0.39,0.34,0.61,0.26,3
1,U05,0.61,0.55,0.34,0.43,10
2,U05,0.56,0.50,0.41,0.39,8
3,U05,0.50,0.44,0.49,0.35,6
4,U05,0.44,0.39,0.57,0.31,4
