period,unit_id,unit_name,raw_feedback,signal_quality,timeliness,authority_connection,feedback_burden
1,U01,Public Benefits Access,0.64,0.58,0.52,0.44,0.38
2,U01,Public Benefits Access,0.71,0.54,0.47,0.39,0.45
3,U01,Public Benefits Access,0.79,0.50,0.41,0.35,0.52
4,U01,Public Benefits Access,0.86,0.46,0.36,0.31,0.60
1,U02,Clinical Operations,0.59,0.66,0.61,0.55,0.31
2,U02,Clinical Operations,0.67,0.62,0.55,0.50,0.38
3,U02,Clinical Operations,0.74,0.58,0.49,0.46,0.46
4,U02,Clinical Operations,0.82,0.54,0.43,0.41,0.53
1,U03,Platform Reliability,0.61,0.63,0.58,0.52,0.34
2,U03,Platform Reliability,0.69,0.59,0.52,0.47,0.42
3,U03,Platform Reliability,0.78,0.55,0.46,0.42,0.50
4,U03,Platform Reliability,0.88,0.49,0.39,0.36,0.59
1,U04,Student Support,0.56,0.60,0.53,0.48,0.36
2,U04,Student Support,0.65,0.56,0.47,0.43,0.44
3,U04,Student Support,0.73,0.51,0.42,0.38,0.52
4,U04,Student Support,0.84,0.47,0.35,0.33,0.61
1,U05,Community Programs,0.62,0.68,0.59,0.50,0.33
2,U05,Community Programs,0.70,0.63,0.53,0.46,0.41
3,U05,Community Programs,0.81,0.58,0.46,0.40,0.50
4,U05,Community Programs,0.90,0.52,0.40,0.35,0.58
