period,scenario,adoption_index,trust_index,resistance_index,institutional_response_index,movement_capacity_index,learning_capacity_index,legitimacy_index,transformation_momentum
0,Fragmented baseline,15.693,42.583,20.346,8.778,14.867,13.479,26.915,17.359
1,Fragmented baseline,17.494,43.199,19.802,9.216,16.296,14.37,27.272,18.495
2,Fragmented baseline,19.406,43.848,19.272,9.715,17.79,15.277,27.649,19.688
3,Fragmented baseline,21.431,44.531,18.756,10.277,19.354,16.198,28.047,20.94
4,Fragmented baseline,23.573,45.252,18.255,10.906,20.989,17.136,28.465,22.251
5,Fragmented baseline,25.835,46.01,17.772,11.603,22.7,18.091,28.906,23.625
6,Fragmented baseline,28.219,46.807,17.307,12.372,24.489,19.064,29.369,25.062
7,Fragmented baseline,30.728,47.645,16.864,13.214,26.362,20.058,29.855,26.565
8,Fragmented baseline,33.362,48.526,16.442,14.132,28.32,21.072,30.366,28.135
9,Fragmented baseline,36.125,49.45,16.044,15.129,30.369,22.108,30.901,29.774
10,Fragmented baseline,39.017,50.42,15.672,16.209,32.511,23.167,31.461,31.482
11,Fragmented baseline,42.04,51.437,15.326,17.373,34.75,24.25,32.048,33.263
12,Fragmented baseline,45.194,52.502,15.01,18.624,37.091,25.359,32.662,35.116
13,Fragmented baseline,48.479,53.618,14.724,19.967,39.537,26.495,33.303,37.043
14,Fragmented baseline,51.895,54.785,14.469,21.403,42.092,27.66,33.973,39.046
15,Fragmented baseline,55.442,56.007,14.249,22.936,44.76,28.854,34.673,41.125
16,Fragmented baseline,59.117,57.284,14.063,24.57,47.545,30.08,35.404,43.282
17,Fragmented baseline,62.92,58.618,13.914,26.307,50.451,31.338,36.166,45.517
18,Fragmented baseline,66.847,60.011,13.803,28.15,53.481,32.631,36.96,47.831
19,Fragmented baseline,70.897,61.466,13.732,30.104,56.639,33.959,37.788,50.225
20,Fragmented baseline,75.066,62.983,13.701,32.172,59.929,35.326,38.65,52.699
21,Fragmented baseline,79.35,64.566,13.712,34.356,63.355,36.731,39.548,55.254
22,Fragmented baseline,83.745,66.216,13.766,36.661,66.921,38.177,40.483,57.89
23,Fragmented baseline,88.246,67.936,13.865,39.09,70.629,39.666,41.456,60.607
24,Fragmented baseline,92.849,69.727,14.008,41.647,74.483,41.2,42.468,63.406
25,Fragmented baseline,97.546,71.592,14.197,44.335,78.488,42.78,43.52,66.286
26,Fragmented baseline,100.0,73.534,14.433,47.158,82.645,44.408,44.614,68.595
27,Fragmented baseline,100.0,75.555,14.679,50.101,86.901,46.087,45.754,70.273
28,Fragmented baseline,100.0,77.66,14.894,53.145,91.195,47.819,46.943,72.006
29,Fragmented baseline,100.0,79.853,15.078,56.294,95.531,49.605,48.184,73.796
30,Fragmented baseline,100.0,82.138,15.23,59.547,99.911,51.449,49.478,75.645
31,Fragmented baseline,100.0,84.52,15.349,62.908,100.0,53.352,50.828,77.035
32,Fragmented baseline,100.0,87.0,15.434,66.27,100.0,55.314,52.214,78.449
33,Fragmented baseline,100.0,89.579,15.483,69.63,100.0,57.337,53.636,79.898
34,Fragmented baseline,100.0,92.259,15.496,72.99,100.0,59.42,55.097,81.383
35,Fragmented baseline,100.0,95.04,15.471,76.351,100.0,61.563,56.595,82.904
36,Fragmented baseline,100.0,97.924,15.408,79.712,100.0,63.768,58.133,84.462
37,Fragmented baseline,100.0,100.0,15.305,83.076,100.0,66.034,59.418,85.894
38,Fragmented baseline,100.0,100.0,15.162,86.443,100.0,68.363,60.046,86.971
39,Fragmented baseline,100.0,100.0,14.976,89.814,100.0,70.754,60.68,88.069
40,Fragmented baseline,100.0,100.0,14.747,93.189,100.0,73.208,61.322,89.186
41,Fragmented baseline,100.0,100.0,14.475,96.569,100.0,75.725,61.971,90.325
42,Fragmented baseline,100.0,100.0,14.157,99.956,100.0,78.307,62.629,91.486
