period,adopted_count,adoption_share,adopted_agents
1,6,0.6,a001;a002;a004;a006;a007;a010
2,7,0.7,a001;a002;a003;a004;a006;a007;a010
3,8,0.8,a001;a002;a003;a004;a005;a006;a007;a010
4,8,0.8,a001;a002;a003;a004;a005;a006;a007;a010
5,8,0.8,a001;a002;a003;a004;a005;a006;a007;a010
6,8,0.8,a001;a002;a003;a004;a005;a006;a007;a010
7,8,0.8,a001;a002;a003;a004;a005;a006;a007;a010
8,8,0.8,a001;a002;a003;a004;a005;a006;a007;a010
9,8,0.8,a001;a002;a003;a004;a005;a006;a007;a010
10,8,0.8,a001;a002;a003;a004;a005;a006;a007;a010
11,8,0.8,a001;a002;a003;a004;a005;a006;a007;a010
12,8,0.8,a001;a002;a003;a004;a005;a006;a007;a010
