scenario_id,month,outcome_score,accumulated_harm,public_trust,cost_index
S001,0,0.35,0.40,0.52,0.30
S001,12,0.48,0.36,0.56,0.38
S001,24,0.62,0.28,0.63,0.44
S001,36,0.73,0.21,0.70,0.48
S002,0,0.35,0.40,0.52,0.28
S002,12,0.32,0.52,0.47,0.30
S002,24,0.40,0.68,0.39,0.54
S002,36,0.55,0.62,0.43,0.78
S003,0,0.35,0.40,0.52,0.30
S003,12,0.46,0.42,0.50,0.52
S003,24,0.38,0.51,0.45,0.66
S003,36,0.49,0.49,0.47,0.71
S004,0,0.35,0.40,0.52,0.31
S004,12,0.44,0.38,0.55,0.37
S004,24,0.58,0.31,0.62,0.43
S004,36,0.68,0.24,0.68,0.49
