year,scenario,policy_active,groundwater_stock,effective_withdrawal,pumping_energy,fossil_energy_exposure,soil_health,food_production_index,water_security_index,energy_security_index,nexus_stress_index,resilience_index
0,Baseline depletion,False,963.1,64.9,66.457,62.469,60.791,75.364,96.31,74.583,19.861,86.08
1,Baseline depletion,False,926.2,64.9,68.013,63.932,59.583,73.994,92.62,74.217,21.452,83.63
2,Baseline depletion,False,889.3,64.9,69.57,65.396,58.374,72.625,88.93,73.851,23.043,81.18
3,Baseline depletion,False,852.4,64.9,71.127,66.859,57.166,71.255,85.24,73.485,24.634,78.73
4,Baseline depletion,False,815.5,64.9,72.683,68.322,55.957,69.885,81.55,73.119,26.226,76.28
5,Baseline depletion,False,778.6,64.9,74.24,69.785,54.749,68.516,77.86,72.754,27.817,73.83
6,Baseline depletion,False,741.7,64.9,75.796,71.249,53.54,67.146,74.17,72.388,29.408,71.38
7,Baseline depletion,False,704.8,64.9,77.353,72.712,52.332,65.776,70.48,72.022,30.999,68.931
8,Baseline depletion,False,667.9,64.9,78.91,74.175,51.123,64.407,66.79,71.656,32.59,66.481
9,Baseline depletion,False,631.0,64.9,80.466,75.638,49.915,63.037,63.1,71.29,34.181,64.031
10,Baseline depletion,False,594.1,64.9,82.023,77.102,48.706,61.668,59.41,70.925,35.772,61.581
11,Baseline depletion,False,557.2,64.9,83.58,78.565,47.498,60.298,55.72,70.559,37.363,59.131
12,Baseline depletion,False,520.3,64.9,85.136,80.028,46.289,58.928,52.03,70.193,38.954,56.681
13,Baseline depletion,False,483.4,64.9,86.693,81.491,45.081,57.559,48.34,69.827,40.545,54.231
14,Baseline depletion,False,446.5,64.9,88.249,82.954,43.872,56.189,44.65,69.461,42.136,51.781
15,Baseline depletion,False,409.6,64.9,89.806,84.418,42.664,54.82,40.96,69.096,43.727,49.331
16,Baseline depletion,False,372.7,64.9,91.363,85.881,41.455,53.45,37.27,68.73,45.318,46.881
17,Baseline depletion,False,335.8,64.9,92.919,87.344,40.247,52.08,33.58,68.364,46.909,44.432
18,Baseline depletion,False,298.9,64.9,94.476,88.807,39.038,50.711,29.89,67.998,48.5,41.982
19,Baseline depletion,False,262.0,64.9,96.033,90.271,37.83,49.341,26.2,67.632,50.091,39.532
20,Baseline depletion,False,225.1,64.9,97.589,91.734,36.621,47.971,22.51,67.267,51.682,37.082
21,Baseline depletion,False,188.2,64.9,99.146,93.197,35.413,46.602,18.82,66.901,53.273,34.632
22,Baseline depletion,False,151.3,64.9,100.702,94.66,34.204,45.232,15.13,66.535,54.864,32.182
23,Baseline depletion,False,114.4,64.9,102.259,96.123,32.996,43.863,11.44,66.169,56.455,29.732
24,Baseline depletion,False,77.5,64.9,103.816,97.587,31.787,42.493,7.75,65.803,58.046,27.282
25,Baseline depletion,False,40.6,64.9,105.372,99.05,30.579,41.123,4.06,65.438,59.637,24.832
26,Baseline depletion,False,3.7,64.9,106.929,100.513,29.37,39.754,0.37,65.072,61.229,22.383
27,Baseline depletion,False,0.0,64.9,107.085,100.66,28.162,39.236,0.0,65.035,61.502,21.914
28,Baseline depletion,False,0.0,64.9,107.085,100.66,26.953,38.813,0.0,65.035,61.629,21.666
29,Baseline depletion,False,0.0,64.9,107.085,100.66,25.745,38.39,0.0,65.035,61.756,21.418
30,Baseline depletion,False,0.0,64.9,107.085,100.66,24.536,37.967,0.0,65.035,61.883,21.171
0,Drought stress,False,938.16,81.84,85.13,79.0,56.232,69.555,93.816,68.69,25.371,79.736
1,Drought stress,False,876.32,81.84,88.419,82.053,54.465,67.331,87.632,67.927,28.046,75.647
2,Drought stress,False,814.48,81.84,91.709,85.106,52.697,65.106,81.448,67.164,30.721,71.558
3,Drought stress,False,752.64,81.84,94.999,88.159,50.93,62.882,75.264,66.4,33.396,67.47
4,Drought stress,False,690.8,81.84,98.288,91.211,49.162,60.658,69.08,65.637,36.071,63.381
5,Drought stress,False,628.96,81.84,101.578,94.264,47.394,58.434,62.896,64.874,38.746,59.292
6,Drought stress,False,567.12,81.84,104.867,97.317,45.627,56.21,56.712,64.111,41.421,55.204
7,Drought stress,False,505.28,81.84,108.157,100.37,43.859,53.986,50.528,63.348,44.096,51.115
8,Drought stress,True,447.532,77.748,105.668,86.647,42.453,52.317,44.753,68.938,45.211,49.785
9,Drought stress,True,389.784,77.748,108.586,89.041,41.047,50.335,38.978,68.34,47.658,46.042
10,Drought stress,True,332.036,77.748,111.504,91.434,39.641,48.352,33.204,67.742,50.105,42.3
11,Drought stress,True,274.288,77.748,114.423,93.827,38.234,46.37,27.429,67.143,52.552,38.557
12,Drought stress,True,216.54,77.748,117.341,96.22,36.828,44.387,21.654,66.545,54.999,34.815
13,Drought stress,True,158.792,77.748,120.259,98.613,35.422,42.405,15.879,65.947,57.446,31.073
14,Drought stress,True,101.044,77.748,123.178,101.006,34.016,40.422,10.104,65.349,59.892,27.33
15,Drought stress,True,43.296,77.748,126.096,103.399,32.609,38.439,4.33,64.75,62.339,23.588
16,Drought stress,True,0.0,77.748,128.284,105.193,31.203,36.83,0.0,64.302,64.211,20.71
17,Drought stress,True,0.0,77.748,128.284,105.193,29.797,36.338,0.0,64.302,64.358,20.421
18,Drought stress,True,0.0,77.748,128.284,105.193,28.391,35.846,0.0,64.302,64.506,20.133
19,Drought stress,True,0.0,77.748,128.284,105.193,26.985,35.353,0.0,64.302,64.654,19.845
20,Drought stress,True,0.0,77.748,128.284,105.193,25.578,34.861,0.0,64.302,64.801,19.557
21,Drought stress,True,0.0,77.748,128.284,105.193,24.172,34.369,0.0,64.302,64.949,19.268
22,Drought stress,True,0.0,77.748,128.284,105.193,22.766,33.877,0.0,64.302,65.097,18.98
23,Drought stress,True,0.0,77.748,128.284,105.193,21.36,33.385,0.0,64.302,65.244,18.692
24,Drought stress,True,0.0,77.748,128.284,105.193,19.953,32.892,0.0,64.302,65.392,18.403
25,Drought stress,True,0.0,77.748,128.284,105.193,18.547,32.4,0.0,64.302,65.54,18.115
26,Drought stress,True,0.0,77.748,128.284,105.193,17.141,31.908,0.0,64.302,65.687,17.827
27,Drought stress,True,0.0,77.748,128.284,105.193,15.735,31.416,0.0,64.302,65.835,17.539
28,Drought stress,True,0.0,77.748,128.284,105.193,14.329,30.924,0.0,64.302,65.983,17.25
29,Drought stress,True,0.0,77.748,128.284,105.193,12.922,30.432,0.0,64.302,66.13,16.962
30,Drought stress,True,0.0,77.748,128.284,105.193,11.516,29.939,0.0,64.302,66.278,16.674
0,Efficiency only,False,963.1,64.9,66.457,57.95,60.867,75.508,96.31,77.572,18.82,87.809
1,Efficiency only,False,926.2,64.9,68.013,59.308,59.733,74.167,92.62,77.233,20.397,85.38
2,Efficiency only,False,889.3,64.9,69.57,60.665,58.6,72.827,88.93,76.894,21.974,82.952
3,Efficiency only,False,852.4,64.9,71.127,62.022,57.466,71.486,85.24,76.554,23.551,80.523
4,Efficiency only,False,815.5,64.9,72.683,63.38,56.333,70.146,81.55,76.215,25.128,78.095
5,Efficiency only,True,794.176,49.324,55.923,38.028,56.033,69.907,79.418,86.393,23.804,80.883
6,Efficiency only,True,772.852,49.324,56.607,38.492,55.733,69.262,77.285,86.277,24.661,79.57
7,Efficiency only,True,751.528,49.324,57.29,38.957,55.433,68.616,75.153,86.161,25.517,78.257
8,Efficiency only,True,730.204,49.324,57.974,39.422,55.133,67.971,73.02,86.044,26.374,76.944
9,Efficiency only,True,708.88,49.324,58.657,39.887,54.833,67.325,70.888,85.928,27.23,75.631
10,Efficiency only,True,687.556,49.324,59.341,40.352,54.533,66.68,68.756,85.812,28.087,74.318
11,Efficiency only,True,666.232,49.324,60.025,40.817,54.233,66.035,66.623,85.696,28.943,73.005
12,Efficiency only,True,644.908,49.324,60.708,41.282,53.934,65.389,64.491,85.58,29.8,71.691
13,Efficiency only,True,623.584,49.324,61.392,41.747,53.634,64.744,62.358,85.463,30.657,70.378
14,Efficiency only,True,602.26,49.324,62.076,42.212,53.334,64.099,60.226,85.347,31.513,69.065
15,Efficiency only,True,580.936,49.324,62.759,42.676,53.034,63.453,58.094,85.231,32.37,67.752
16,Efficiency only,True,559.612,49.324,63.443,43.141,52.734,62.808,55.961,85.115,33.226,66.439
17,Efficiency only,True,538.288,49.324,64.127,43.606,52.434,62.162,53.829,84.998,34.083,65.126
18,Efficiency only,True,516.964,49.324,64.81,44.071,52.134,61.517,51.696,84.882,34.94,63.813
19,Efficiency only,True,495.64,49.324,65.494,44.536,51.835,60.872,49.564,84.766,35.796,62.5
20,Efficiency only,True,474.316,49.324,66.178,45.001,51.535,60.226,47.432,84.65,36.653,61.187
21,Efficiency only,True,452.992,49.324,66.861,45.466,51.235,59.581,45.299,84.534,37.509,59.874
22,Efficiency only,True,431.668,49.324,67.545,45.931,50.935,58.936,43.167,84.417,38.366,58.561
23,Efficiency only,True,410.344,49.324,68.229,46.396,50.635,58.29,41.034,84.301,39.222,57.248
24,Efficiency only,True,389.02,49.324,68.912,46.86,50.335,57.645,38.902,84.185,40.079,55.935
25,Efficiency only,True,367.696,49.324,69.596,47.325,50.035,56.999,36.77,84.069,40.936,54.622
26,Efficiency only,True,346.372,49.324,70.28,47.79,49.736,56.354,34.637,83.952,41.792,53.309
27,Efficiency only,True,325.048,49.324,70.963,48.255,49.436,55.709,32.505,83.836,42.649,51.996
28,Efficiency only,True,303.724,49.324,71.647,48.72,49.136,55.063,30.372,83.72,43.505,50.683
29,Efficiency only,True,282.4,49.324,72.331,49.185,48.836,54.418,28.24,83.604,44.362,49.37
30,Efficiency only,True,261.076,49.324,73.014,49.65,48.536,53.773,26.108,83.488,45.218,48.057
0,Regenerative resilience,False,976.0,58.0,58.905,42.883,65.41,78.162,97.6,85.219,14.587,94.194
1,Regenerative resilience,False,952.0,58.0,59.81,43.541,64.82,77.347,95.2,85.055,15.585,92.657
2,Regenerative resilience,False,928.0,58.0,60.714,44.2,64.23,76.531,92.8,84.89,16.583,91.12
3,Regenerative resilience,True,921.4,40.6,42.674,13.656,65.701,77.316,92.14,100.0,13.523,98.275
4,Regenerative resilience,True,914.8,40.6,42.848,13.711,67.172,77.665,91.48,100.0,13.617,98.197
5,Regenerative resilience,True,908.2,40.6,43.023,13.767,68.643,78.014,90.82,100.0,13.71,98.118
6,Regenerative resilience,True,901.6,40.6,43.197,13.823,70.114,78.363,90.16,100.0,13.803,98.04
7,Regenerative resilience,True,895.0,40.6,43.371,13.879,71.585,78.712,89.5,100.0,13.896,97.962
8,Regenerative resilience,True,888.4,40.6,43.545,13.934,73.056,79.061,88.84,100.0,13.99,97.884
9,Regenerative resilience,True,881.8,40.6,43.719,13.99,74.527,79.41,88.18,100.0,14.083,97.806
10,Regenerative resilience,True,875.2,40.6,43.893,14.046,75.998,79.759,87.52,100.0,14.176,97.728
11,Regenerative resilience,True,868.6,40.6,44.068,14.102,77.469,80.108,86.86,100.0,14.27,97.649
12,Regenerative resilience,True,862.0,40.6,44.242,14.157,78.94,80.457,86.2,100.0,14.363,97.571
13,Regenerative resilience,True,855.4,40.6,44.416,14.213,80.411,80.806,85.54,100.0,14.456,97.493
14,Regenerative resilience,True,848.8,40.6,44.59,14.269,81.882,81.155,84.88,100.0,14.549,97.415
15,Regenerative resilience,True,842.2,40.6,44.764,14.325,83.353,81.504,84.22,100.0,14.643,97.337
16,Regenerative resilience,True,835.6,40.6,44.939,14.38,84.824,81.853,83.56,100.0,14.736,97.258
17,Regenerative resilience,True,829.0,40.6,45.113,14.436,86.295,82.203,82.9,100.0,14.829,97.18
18,Regenerative resilience,True,822.4,40.6,45.287,14.492,87.766,82.552,82.24,100.0,14.923,97.102
19,Regenerative resilience,True,815.8,40.6,45.461,14.548,89.237,82.901,81.58,100.0,15.016,97.024
20,Regenerative resilience,True,809.2,40.6,45.635,14.603,90.708,83.25,80.92,100.0,15.109,96.946
21,Regenerative resilience,True,802.6,40.6,45.809,14.659,92.179,83.599,80.26,100.0,15.202,96.868
22,Regenerative resilience,True,796.0,40.6,45.984,14.715,93.65,83.948,79.6,100.0,15.296,96.789
23,Regenerative resilience,True,789.4,40.6,46.158,14.77,95.121,84.297,78.94,100.0,15.389,96.711
24,Regenerative resilience,True,782.8,40.6,46.332,14.826,96.592,84.646,78.28,100.0,15.482,96.633
25,Regenerative resilience,True,776.2,40.6,46.506,14.882,98.063,84.995,77.62,100.0,15.576,96.555
26,Regenerative resilience,True,769.6,40.6,46.68,14.938,99.534,85.344,76.96,100.0,15.669,96.477
27,Regenerative resilience,True,763.0,40.6,46.854,14.993,100.0,85.341,76.3,100.0,15.868,96.192
28,Regenerative resilience,True,756.4,40.6,47.029,15.049,100.0,85.176,75.64,100.0,16.115,95.813
29,Regenerative resilience,True,749.8,40.6,47.203,15.105,100.0,85.01,74.98,100.0,16.363,95.433
30,Regenerative resilience,True,743.2,40.6,47.377,15.161,100.0,84.844,74.32,100.0,16.611,95.053
