week,scenario,intervention_active,susceptible,infected,recovered,new_infections,severe_cases,care_capacity,care_stress,public_trust,health_risk_index,prevention_value_index
0,Baseline reactive response,False,99757.582,210.018,32.4,62.418,15.247,520.5,0.029,52.0,11.671,33.367
1,Baseline reactive response,False,99684.801,244.996,70.203,72.781,17.787,521.0,0.034,52.0,11.856,33.246
2,Baseline reactive response,False,99599.96,285.737,114.302,84.841,20.745,521.5,0.04,52.0,12.071,33.105
3,Baseline reactive response,False,99501.095,333.17,165.735,98.865,24.188,522.0,0.046,52.0,12.321,32.94
4,Baseline reactive response,False,99385.932,388.362,225.706,115.163,28.195,522.5,0.054,52.0,12.611,32.75
5,Baseline reactive response,False,99251.847,452.542,295.611,134.085,32.855,523.0,0.063,52.0,12.949,32.528
6,Baseline reactive response,False,99095.815,527.117,377.069,156.033,38.269,523.5,0.073,52.0,13.341,32.271
7,Baseline reactive response,False,98914.355,613.695,471.95,181.46,44.554,524.0,0.085,52.0,13.796,31.972
8,Baseline reactive response,False,98703.478,714.108,582.415,210.877,51.844,524.5,0.099,52.0,14.324,31.627
9,Baseline reactive response,False,98458.62,830.426,710.954,244.858,60.289,525.0,0.115,52.0,14.935,31.226
10,Baseline reactive response,False,98174.585,964.985,860.431,284.035,70.058,525.5,0.133,52.0,15.641,30.764
11,Baseline reactive response,False,97845.477,1120.395,1034.128,329.107,81.341,526.0,0.155,52.0,16.457,30.23
12,Baseline reactive response,False,97464.649,1299.552,1235.799,380.829,94.347,526.5,0.179,52.0,17.396,29.616
13,Baseline reactive response,False,97024.643,1505.639,1469.718,440.006,109.309,527.0,0.208,52.0,18.476,28.91
14,Baseline reactive response,False,96517.161,1742.106,1740.733,507.482,126.477,527.5,0.24,52.0,19.715,28.1
15,Baseline reactive response,False,95933.048,2012.64,2054.312,584.113,146.118,528.0,0.277,52.0,21.132,27.175
16,Baseline reactive response,False,95262.311,2321.102,2416.588,670.737,168.512,528.5,0.319,52.0,22.746,26.121
17,Baseline reactive response,False,94494.184,2671.43,2834.386,768.127,193.946,529.0,0.367,52.0,24.578,24.926
18,Baseline reactive response,False,93617.25,3067.507,3315.243,876.934,222.701,529.5,0.421,52.0,26.648,23.575
19,Baseline reactive response,False,92619.644,3512.962,3867.395,997.606,255.041,530.0,0.482,52.0,28.976,22.058
20,Baseline reactive response,False,91489.342,4010.93,4499.728,1130.302,291.194,530.5,0.549,52.0,31.576,20.364
21,Baseline reactive response,False,90214.568,4563.737,5221.695,1274.775,331.327,531.0,0.625,52.0,34.46,18.486
22,Baseline reactive response,False,88784.307,5172.525,6043.168,1430.26,375.525,531.5,0.707,52.0,37.635,16.42
23,Baseline reactive response,False,87188.955,5836.823,6974.222,1595.352,423.753,532.0,0.797,52.0,41.098,14.168
24,Baseline reactive response,False,85421.062,6554.087,8024.851,1767.892,475.827,532.5,0.894,52.0,44.833,11.74
25,Baseline reactive response,False,83476.173,7319.241,9204.586,1944.89,531.377,533.0,0.998,52.0,48.816,9.153
26,Baseline reactive response,False,81353.679,8124.271,10522.05,2122.494,589.822,532.843,1.107,51.552,53.057,8.988
27,Baseline reactive response,False,79053.985,8961.597,11984.418,2299.694,650.612,532.518,1.221,50.624,57.55,8.756
28,Baseline reactive response,False,76580.86,9821.634,13597.506,2473.125,713.051,532.02,1.339,49.2,62.23,8.4
29,Baseline reactive response,False,73941.962,10692.638,15365.4,2638.898,776.286,531.345,1.459,47.272,67.042,7.918
30,Baseline reactive response,False,71149.213,11560.713,17290.075,2792.749,839.308,530.493,1.58,44.837,71.913,7.309
31,Baseline reactive response,False,68219.055,12409.941,19371.003,2930.157,900.962,529.467,1.698,41.904,76.763,6.576
32,Baseline reactive response,False,65172.531,13222.677,21604.793,3046.525,959.966,528.271,1.813,38.489,81.5,5.722
33,Baseline reactive response,False,62035.111,13980.015,23984.874,3137.42,1014.949,526.917,1.921,34.62,86.021,4.755
34,Baseline reactive response,False,58836.244,14662.479,26501.277,3198.867,1064.496,525.417,2.02,30.335,90.221,3.684
35,Baseline reactive response,False,55608.575,15250.902,29140.523,3227.669,1107.215,523.79,2.107,25.684,93.991,2.521
36,Baseline reactive response,False,52386.845,15727.47,31885.686,3221.73,1141.814,522.055,2.18,20.729,97.229,1.282
37,Baseline reactive response,False,49206.509,16076.861,34716.63,3180.335,1167.18,520.239,2.236,15.539,99.842,0.0
38,Baseline reactive response,False,46102.186,16287.349,37610.465,3104.323,1182.462,518.367,2.273,10.192,100.0,0.0
39,Baseline reactive response,False,43106.058,16351.754,40542.188,2996.128,1187.137,516.471,2.29,4.774,100.0,0.0
40,Baseline reactive response,False,40246.405,16268.091,43485.504,2859.653,1181.063,514.579,2.287,0.0,100.0,0.0
41,Baseline reactive response,False,37551.528,16034.712,46413.76,2694.878,1164.12,512.724,2.262,0.0,100.0,0.0
42,Baseline reactive response,False,35073.169,15626.823,49300.008,2478.359,1134.507,510.941,2.213,0.0,100.0,0.0
43,Baseline reactive response,False,32817.263,15069.901,52112.836,2255.906,1094.075,509.263,2.141,0.0,97.301,0.0
44,Baseline reactive response,False,30781.683,14392.898,54825.418,2035.58,1044.924,507.717,2.052,0.0,93.819,0.0
45,Baseline reactive response,False,28958.14,13625.72,57416.14,1823.543,989.227,506.323,1.948,0.0,89.832,0.0
46,Baseline reactive response,False,27334.067,12797.163,59868.77,1624.073,929.074,505.096,1.835,0.0,85.492,0.0
47,Baseline reactive response,False,25894.297,11933.444,62172.259,1439.771,866.368,504.044,1.715,0.0,80.939,0.0
48,Baseline reactive response,False,24622.419,11057.302,64320.279,1271.878,802.76,503.173,1.593,0.0,76.296,0.0
49,Baseline reactive response,False,23501.807,10187.599,66310.593,1120.612,739.62,502.482,1.47,0.0,71.667,0.0
50,Baseline reactive response,False,22516.326,9339.313,68144.361,985.482,678.034,501.969,1.349,0.0,67.136,0.0
51,Baseline reactive response,False,21650.784,8523.778,69825.438,865.541,618.826,501.626,1.233,0.0,62.765,0.0
52,Baseline reactive response,False,20891.191,7749.091,71359.718,759.593,562.584,501.448,1.122,0.0,58.603,0.0
0,Delayed intervention,False,99761.085,206.515,32.4,58.915,15.144,520.5,0.029,52.0,12.359,35.647
1,Delayed intervention,False,99693.532,236.895,69.573,67.553,17.372,521.0,0.033,52.0,12.52,35.541
