article_slug,article_title,year,scenario,active_intervention,primary_stock_label,pressure_label,burden_label,outcome_label,demand_index,capacity_index,trust_index,institutional_memory_index,system_stock_index,burden_index,equity_gap_index,pressure_index,feedback_closure,resilience_index,risk_index,outcome_index,overshoot_pressure
systems-thinking-and-levels-of-analysis,Systems Thinking And Levels Of Analysis,0,Baseline / current structure,False,core system capacity stock,system pressure,implementation burden,system outcome,42.0,49.161,48.541,44.403,72.4,44.474,25.178,44.764,0.05,53.822,36.816,42.259,7.6
systems-thinking-and-levels-of-analysis,Systems Thinking And Levels Of Analysis,1,Baseline / current structure,False,core system capacity stock,system pressure,implementation burden,system outcome,44.0,48.274,46.992,43.785,64.566,46.5,25.364,45.629,0.05,51.201,37.926,39.935,7.834
systems-thinking-and-levels-of-analysis,Systems Thinking And Levels Of Analysis,2,Baseline / current structure,False,core system capacity stock,system pressure,implementation burden,system outcome,46.0,47.337,45.349,43.145,56.492,48.581,25.558,46.599,0.05,48.484,39.097,37.522,8.074
systems-thinking-and-levels-of-analysis,Systems Thinking And Levels Of Analysis,3,Baseline / current structure,False,core system capacity stock,system pressure,implementation burden,system outcome,48.0,46.347,43.609,42.482,48.171,50.724,25.761,47.676,0.05,45.666,40.334,35.017,8.32
systems-thinking-and-levels-of-analysis,Systems Thinking And Levels Of Analysis,4,Baseline / current structure,True,core system capacity stock,system pressure,implementation burden,system outcome,50.0,45.693,42.117,42.226,39.119,52.59,25.871,48.675,0.22,42.938,41.505,34.854,9.052
systems-thinking-and-levels-of-analysis,Systems Thinking And Levels Of Analysis,5,Baseline / current structure,True,core system capacity stock,system pressure,implementation burden,system outcome,52.0,44.992,40.541,41.949,29.796,54.515,25.99,49.77,0.22,40.11,42.679,32.401,9.323
systems-thinking-and-levels-of-analysis,Systems Thinking And Levels Of Analysis,6,Baseline / current structure,True,core system capacity stock,system pressure,implementation burden,system outcome,54.0,44.24,38.876,41.647,20.195,56.502,26.116,50.963,0.22,37.177,43.916,29.853,9.601
systems-thinking-and-levels-of-analysis,Systems Thinking And Levels Of Analysis,7,Baseline / current structure,True,core system capacity stock,system pressure,implementation burden,system outcome,56.0,43.434,37.12,41.32,10.309,58.557,26.25,52.257,0.22,34.136,45.218,27.208,9.886
systems-thinking-and-levels-of-analysis,Systems Thinking And Levels Of Analysis,8,Baseline / current structure,True,core system capacity stock,system pressure,implementation burden,system outcome,58.0,42.572,35.266,40.966,0.131,60.686,26.393,53.654,0.22,30.981,46.587,24.459,10.178
systems-thinking-and-levels-of-analysis,Systems Thinking And Levels Of Analysis,9,Baseline / current structure,True,core system capacity stock,system pressure,implementation burden,system outcome,60.0,41.65,33.311,40.584,0,62.895,26.544,55.158,0.22,29.985,47.846,23.363,10.476
systems-thinking-and-levels-of-analysis,Systems Thinking And Levels Of Analysis,10,Baseline / current structure,True,core system capacity stock,system pressure,implementation burden,system outcome,62.0,40.664,31.249,40.173,0,65.188,26.705,56.771,0.22,28.963,49.134,22.23,10.48
systems-thinking-and-levels-of-analysis,Systems Thinking And Levels Of Analysis,11,Baseline / current structure,True,core system capacity stock,system pressure,implementation burden,system outcome,64.0,39.611,29.075,39.729,0,67.572,26.875,58.498,0.22,27.884,50.492,21.035,10.48
systems-thinking-and-levels-of-analysis,Systems Thinking And Levels Of Analysis,12,Baseline / current structure,True,core system capacity stock,system pressure,implementation burden,system outcome,66.0,38.487,26.783,39.252,0,70.052,27.055,60.341,0.22,26.744,51.924,19.774,10.48
