article_slug,pressure_reduction,capacity_investment,final_stock,final_risk
systems-thinking-and-levels-of-analysis,0.00,0.00,0.00,100.00
systems-thinking-and-levels-of-analysis,0.00,0.50,0.00,99.69
systems-thinking-and-levels-of-analysis,0.00,1.00,0.00,92.73
systems-thinking-and-levels-of-analysis,0.00,1.50,0.00,85.76
systems-thinking-and-levels-of-analysis,0.00,2.00,0.00,78.80
systems-thinking-and-levels-of-analysis,0.00,2.50,0.00,75.22
systems-thinking-and-levels-of-analysis,0.00,3.00,0.00,74.13
systems-thinking-and-levels-of-analysis,0.10,0.00,0.00,100.00
systems-thinking-and-levels-of-analysis,0.10,0.50,0.00,98.58
systems-thinking-and-levels-of-analysis,0.10,1.00,0.00,91.62
systems-thinking-and-levels-of-analysis,0.10,1.50,0.00,84.65
systems-thinking-and-levels-of-analysis,0.10,2.00,0.00,77.69
systems-thinking-and-levels-of-analysis,0.10,2.50,0.00,74.37
systems-thinking-and-levels-of-analysis,0.10,3.00,0.00,73.29
systems-thinking-and-levels-of-analysis,0.20,0.00,0.00,100.00
systems-thinking-and-levels-of-analysis,0.20,0.50,0.00,97.47
systems-thinking-and-levels-of-analysis,0.20,1.00,0.00,90.51
systems-thinking-and-levels-of-analysis,0.20,1.50,0.00,83.54
systems-thinking-and-levels-of-analysis,0.20,2.00,0.00,76.58
systems-thinking-and-levels-of-analysis,0.20,2.50,0.00,73.53
systems-thinking-and-levels-of-analysis,0.20,3.00,0.00,72.45
systems-thinking-and-levels-of-analysis,0.30,0.00,0.00,100.00
systems-thinking-and-levels-of-analysis,0.30,0.50,0.00,96.36
systems-thinking-and-levels-of-analysis,0.30,1.00,0.00,89.40
systems-thinking-and-levels-of-analysis,0.30,1.50,0.00,82.43
systems-thinking-and-levels-of-analysis,0.30,2.00,0.00,75.47
systems-thinking-and-levels-of-analysis,0.30,2.50,0.00,72.69
systems-thinking-and-levels-of-analysis,0.30,3.00,0.00,71.60
systems-thinking-and-levels-of-analysis,0.40,0.00,0.00,100.00
systems-thinking-and-levels-of-analysis,0.40,0.50,0.00,95.25
systems-thinking-and-levels-of-analysis,0.40,1.00,0.00,88.29
systems-thinking-and-levels-of-analysis,0.40,1.50,0.00,81.32
systems-thinking-and-levels-of-analysis,0.40,2.00,0.00,74.36
systems-thinking-and-levels-of-analysis,0.40,2.50,0.00,71.84
systems-thinking-and-levels-of-analysis,0.40,3.00,0.00,70.76
systems-thinking-and-levels-of-analysis,0.50,0.00,0.00,100.00
systems-thinking-and-levels-of-analysis,0.50,0.50,0.00,94.14
systems-thinking-and-levels-of-analysis,0.50,1.00,0.00,87.18
systems-thinking-and-levels-of-analysis,0.50,1.50,0.00,80.21
systems-thinking-and-levels-of-analysis,0.50,2.00,0.00,73.25
systems-thinking-and-levels-of-analysis,0.50,2.50,0.00,71.00
systems-thinking-and-levels-of-analysis,0.50,3.00,0.00,69.91
