time_month,service_backlog,staff_capacity,public_trust,monthly_demand,case_completion_rate,hiring_rate,turnover_rate
0,1200,45,68,420,360,1.5,0.8
1,1260,45.7,67,425,365,1.6,0.8
2,1320,46.4,66,430,370,1.7,0.9
3,1385,47.0,64,438,374,1.7,1.0
4,1450,47.4,63,444,379,1.8,1.1
5,1515,47.9,61,450,383,2.0,1.2
6,1580,48.6,60,457,390,2.1,1.2
7,1638,49.5,59,462,397,2.3,1.3
8,1690,50.5,58,468,406,2.5,1.3
9,1740,51.7,58,474,416,2.6,1.4
10,1798,52.9,57,480,422,2.7,1.5
11,1856,54.1,56,486,428,2.8,1.5
12,1914,55.4,55,492,434,3.0,1.6
