 period,learning_stock,defensive_routines
0,34.000,42.000
1,37.214,41.368
2,40.466,40.736
3,43.756,40.104
4,47.084,39.472
5,50.449,38.840
6,53.853,38.208
7,57.294,37.576
8,60.774,36.944
9,64.291,36.312
10,67.846,35.680
11,71.440,35.048
12,75.071,34.416
13,78.740,33.784
14,82.447,33.152
15,86.192,32.520
16,89.974,31.888
17,93.795,31.256
18,97.654,30.624
19,******,29.992
20,******,29.360
21,******,28.728
22,******,28.096
23,******,27.464
24,******,26.832
25,******,26.200
26,******,25.568
27,******,24.936
28,******,24.304
29,******,23.672
30,******,23.040
31,******,22.408
32,******,21.776
33,******,21.144
34,******,20.512
35,******,19.880
36,******,19.248
