article_slug,article_title,domain_profile,scenario,year,resilience_stock,system_pressure,threshold_margin,administrative_or_system_burden,vulnerability_index,resilience_ratio,intervention_active,regime_classification
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,baseline_pressure,0,76.633,36.25,40.383,30.9,50.883,2.114,False,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,baseline_pressure,1,75.133,38.5,36.633,31.8,52.023,1.9515,False,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,baseline_pressure,2,73.5,40.75,32.75,32.7,53.2,1.8037,False,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,baseline_pressure,3,71.734,43.0,28.734,33.6,54.414,1.6682,False,resilient
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,baseline_pressure,4,69.836,45.25,24.586,34.5,55.666,1.5433,False,stressed_recoverable
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,baseline_pressure,5,67.805,47.5,20.305,35.4,56.955,1.4275,False,stressed_recoverable
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,baseline_pressure,6,65.642,49.75,15.892,36.3,58.28,1.3194,False,stressed_recoverable
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,baseline_pressure,7,63.345,52.0,11.345,37.2,59.643,1.2182,False,stressed_recoverable
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,baseline_pressure,8,60.916,54.25,6.666,38.1,61.044,1.1229,False,near_threshold
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,baseline_pressure,9,58.354,56.5,1.854,39.0,62.481,1.0328,False,near_threshold
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,baseline_pressure,10,55.659,58.75,-3.091,39.9,63.955,0.9474,False,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,baseline_pressure,11,52.832,61.0,-8.168,40.8,65.467,0.8661,False,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,baseline_pressure,12,49.871,63.25,-13.379,41.7,67.016,0.7885,False,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,baseline_pressure,13,46.778,65.5,-18.722,42.6,68.602,0.7142,False,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,baseline_pressure,14,43.553,67.75,-24.197,43.5,70.225,0.6428,False,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,baseline_pressure,15,40.194,70.0,-29.806,44.4,71.886,0.5742,False,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,baseline_pressure,16,36.703,72.25,-35.547,45.3,73.583,0.508,False,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,baseline_pressure,17,33.079,74.5,-41.421,46.2,75.318,0.444,False,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,baseline_pressure,18,29.322,76.75,-47.428,47.1,77.09,0.382,False,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,baseline_pressure,19,25.433,79.0,-53.567,48.0,78.899,0.3219,False,shifted_regime
overshoot-collapse-and-correction,Overshoot Collapse And Correction,resilience_threshold,baseline_pressure,20,21.41,81.25,-59.84,48.9,80.745,0.2635,False,shifted_regime
