article_slug,pressure_reduction,capacity_investment,final_stock,final_risk
behavior-over-time-and-structural-explanation,0.00,0.00,0.00,100.00
behavior-over-time-and-structural-explanation,0.00,0.50,0.00,99.69
behavior-over-time-and-structural-explanation,0.00,1.00,0.00,92.73
behavior-over-time-and-structural-explanation,0.00,1.50,0.00,85.76
behavior-over-time-and-structural-explanation,0.00,2.00,0.00,78.80
behavior-over-time-and-structural-explanation,0.00,2.50,0.00,75.22
behavior-over-time-and-structural-explanation,0.00,3.00,0.00,74.13
behavior-over-time-and-structural-explanation,0.10,0.00,0.00,100.00
behavior-over-time-and-structural-explanation,0.10,0.50,0.00,98.58
behavior-over-time-and-structural-explanation,0.10,1.00,0.00,91.62
behavior-over-time-and-structural-explanation,0.10,1.50,0.00,84.65
behavior-over-time-and-structural-explanation,0.10,2.00,0.00,77.69
behavior-over-time-and-structural-explanation,0.10,2.50,0.00,74.37
behavior-over-time-and-structural-explanation,0.10,3.00,0.00,73.29
behavior-over-time-and-structural-explanation,0.20,0.00,0.00,100.00
behavior-over-time-and-structural-explanation,0.20,0.50,0.00,97.47
behavior-over-time-and-structural-explanation,0.20,1.00,0.00,90.51
behavior-over-time-and-structural-explanation,0.20,1.50,0.00,83.54
behavior-over-time-and-structural-explanation,0.20,2.00,0.00,76.58
behavior-over-time-and-structural-explanation,0.20,2.50,0.00,73.53
behavior-over-time-and-structural-explanation,0.20,3.00,0.00,72.45
behavior-over-time-and-structural-explanation,0.30,0.00,0.00,100.00
behavior-over-time-and-structural-explanation,0.30,0.50,0.00,96.36
behavior-over-time-and-structural-explanation,0.30,1.00,0.00,89.40
behavior-over-time-and-structural-explanation,0.30,1.50,0.00,82.43
behavior-over-time-and-structural-explanation,0.30,2.00,0.00,75.47
behavior-over-time-and-structural-explanation,0.30,2.50,0.00,72.69
behavior-over-time-and-structural-explanation,0.30,3.00,0.00,71.60
behavior-over-time-and-structural-explanation,0.40,0.00,0.00,100.00
behavior-over-time-and-structural-explanation,0.40,0.50,0.00,95.25
behavior-over-time-and-structural-explanation,0.40,1.00,0.00,88.29
behavior-over-time-and-structural-explanation,0.40,1.50,0.00,81.32
behavior-over-time-and-structural-explanation,0.40,2.00,0.00,74.36
behavior-over-time-and-structural-explanation,0.40,2.50,0.00,71.84
behavior-over-time-and-structural-explanation,0.40,3.00,0.00,70.76
behavior-over-time-and-structural-explanation,0.50,0.00,0.00,100.00
behavior-over-time-and-structural-explanation,0.50,0.50,0.00,94.14
behavior-over-time-and-structural-explanation,0.50,1.00,0.00,87.18
behavior-over-time-and-structural-explanation,0.50,1.50,0.00,80.21
behavior-over-time-and-structural-explanation,0.50,2.00,0.00,73.25
behavior-over-time-and-structural-explanation,0.50,2.50,0.00,71.00
behavior-over-time-and-structural-explanation,0.50,3.00,0.00,69.91
