period,scenario,system_mean,clustering_index,diversity_index,synchronization_index,complexity_index,minimum_agent_state,maximum_agent_state
0,Weak interaction baseline,0.4839,0.6733,0.874,0.126,0.6172,0.0065,0.9975
1,Weak interaction baseline,0.4899,0.7276,0.7391,0.2609,0.6699,0.0731,0.9359
2,Weak interaction baseline,0.4977,0.7772,0.6154,0.3846,0.7182,0.1203,0.8795
3,Weak interaction baseline,0.5015,0.8142,0.5245,0.4755,0.7538,0.1815,0.8382
4,Weak interaction baseline,0.5115,0.8445,0.4542,0.5458,0.7271,0.2317,0.7943
5,Weak interaction baseline,0.5124,0.8648,0.3887,0.6113,0.672,0.2626,0.7483
6,Weak interaction baseline,0.5153,0.887,0.3266,0.6734,0.6207,0.2682,0.7283
7,Weak interaction baseline,0.519,0.9005,0.2849,0.7151,0.5859,0.312,0.7115
8,Weak interaction baseline,0.5222,0.9134,0.2463,0.7537,0.5536,0.3288,0.6841
9,Weak interaction baseline,0.5244,0.9282,0.2064,0.7936,0.5209,0.3687,0.6781
10,Weak interaction baseline,0.5248,0.9359,0.1893,0.8107,0.5074,0.3631,0.683
11,Weak interaction baseline,0.526,0.9398,0.1708,0.8292,0.4912,0.3975,0.6621
12,Weak interaction baseline,0.5253,0.9431,0.1582,0.8418,0.4804,0.407,0.6504
13,Weak interaction baseline,0.5293,0.9496,0.1436,0.8564,0.4688,0.4108,0.6573
14,Weak interaction baseline,0.5303,0.9474,0.1468,0.8532,0.4711,0.4158,0.6657
15,Weak interaction baseline,0.5316,0.9475,0.1435,0.8565,0.468,0.4177,0.6605
16,Weak interaction baseline,0.5339,0.9493,0.1415,0.8585,0.4667,0.3898,0.6553
17,Weak interaction baseline,0.5307,0.953,0.1369,0.8631,0.4636,0.4011,0.6607
18,Weak interaction baseline,0.5307,0.9524,0.1352,0.8648,0.4618,0.4098,0.6792
19,Weak interaction baseline,0.5288,0.9513,0.1345,0.8655,0.4607,0.4069,0.6609
20,Weak interaction baseline,0.527,0.9545,0.1273,0.8727,0.455,0.4374,0.6472
21,Weak interaction baseline,0.528,0.9553,0.1234,0.8766,0.4516,0.4355,0.6502
22,Weak interaction baseline,0.5298,0.9505,0.1281,0.8719,0.4544,0.4307,0.6462
23,Weak interaction baseline,0.5329,0.949,0.1298,0.8702,0.4554,0.4266,0.6474
24,Weak interaction baseline,0.5331,0.9459,0.1338,0.8662,0.4581,0.4262,0.642
25,Weak interaction baseline,0.5329,0.952,0.1298,0.8702,0.4565,0.4112,0.6335
26,Weak interaction baseline,0.53,0.9506,0.1247,0.8753,0.4512,0.4165,0.6148
27,Weak interaction baseline,0.5339,0.9503,0.1309,0.8691,0.457,0.4185,0.6251
28,Weak interaction baseline,0.5338,0.95,0.1244,0.8756,0.4507,0.4251,0.639
29,Weak interaction baseline,0.5336,0.9523,0.1227,0.8773,0.4499,0.4394,0.6472
30,Weak interaction baseline,0.5334,0.9541,0.1246,0.8754,0.4523,0.4089,0.619
31,Weak interaction baseline,0.5303,0.9526,0.1311,0.8689,0.4579,0.4073,0.6361
32,Weak interaction baseline,0.5312,0.9508,0.13,0.87,0.4563,0.3992,0.6368
33,Weak interaction baseline,0.5308,0.9559,0.1244,0.8756,0.4527,0.4063,0.6281
34,Weak interaction baseline,0.5343,0.9496,0.1333,0.8667,0.459,0.3995,0.6377
35,Weak interaction baseline,0.5368,0.9466,0.1384,0.8616,0.4628,0.4232,0.6408
36,Weak interaction baseline,0.5356,0.9519,0.1317,0.8683,0.4583,0.4338,0.6512
37,Weak interaction baseline,0.5365,0.9545,0.1275,0.8725,0.4552,0.4321,0.6438
38,Weak interaction baseline,0.5376,0.9519,0.1292,0.8708,0.4559,0.4167,0.6334
39,Weak interaction baseline,0.5371,0.9534,0.1285,0.8715,0.4558,0.4395,0.6427
40,Weak interaction baseline,0.5352,0.9544,0.1292,0.8708,0.4567,0.4395,0.6366
41,Weak interaction baseline,0.5339,0.9537,0.1241,0.8759,0.4517,0.452,0.6137
42,Weak interaction baseline,0.5342,0.9555,0.1207,0.8793,0.4491,0.4252,0.6296
43,Weak interaction baseline,0.5323,0.9565,0.1181,0.8819,0.447,0.4341,0.6199
44,Weak interaction baseline,0.5331,0.9488,0.1272,0.8728,0.4529,0.4326,0.6423
45,Weak interaction baseline,0.5327,0.9533,0.1196,0.8804,0.4473,0.4116,0.6198
46,Weak interaction baseline,0.5327,0.9545,0.1252,0.8748,0.453,0.4537,0.6284
47,Weak interaction baseline,0.5333,0.9575,0.1208,0.8792,0.4499,0.4434,0.6384
48,Weak interaction baseline,0.5317,0.952,0.126,0.874,0.4529,0.4458,0.6451
49,Weak interaction baseline,0.5315,0.9554,0.1275,0.8725,0.4556,0.437,0.6439
50,Weak interaction baseline,0.535,0.9529,0.1294,0.8706,0.4565,0.4356,0.6623
51,Weak interaction baseline,0.5407,0.9519,0.1227,0.8773,0.4497,0.4564,0.6526
52,Weak interaction baseline,0.5411,0.9502,0.1285,0.8715,0.4547,0.4475,0.6429
53,Weak interaction baseline,0.5408,0.9528,0.1266,0.8734,0.4538,0.4344,0.6372
54,Weak interaction baseline,0.5379,0.9495,0.1301,0.8699,0.4559,0.4272,0.6472
55,Weak interaction baseline,0.5395,0.9487,0.1322,0.8678,0.4576,0.422,0.6473
56,Weak interaction baseline,0.537,0.9474,0.1301,0.8699,0.4552,0.426,0.651
57,Weak interaction baseline,0.536,0.9499,0.1245,0.8755,0.4508,0.4509,0.6348
58,Weak interaction baseline,0.535,0.9509,0.1207,0.8793,0.4475,0.4484,0.6317
59,Weak interaction baseline,0.5364,0.9514,0.1219,0.8781,0.4488,0.4446,0.627
60,Weak interaction baseline,0.5356,0.9512,0.1254,0.8746,0.452,0.4404,0.6475
0,Strong local conformity,0.5179,0.652,0.9045,0.0955,0.6021,0.0025,0.9896
1,Strong local conformity,0.5192,0.775,0.6447,0.3553,0.7101,0.1431,0.8948
2,Strong local conformity,0.5193,0.8499,0.4858,0.5142,0.759,0.2015,0.8466
3,Strong local conformity,0.5199,0.899,0.3851,0.6149,0.6805,0.2484,0.7969
4,Strong local conformity,0.5206,0.9292,0.3185,0.6815,0.6278,0.2826,0.7629
5,Strong local conformity,0.5211,0.9501,0.2729,0.7271,0.5918,0.3036,0.7428
6,Strong local conformity,0.5234,0.9629,0.2416,0.7584,0.5666,0.3278,0.7257
7,Strong local conformity,0.5234,0.9701,0.2155,0.7845,0.5443,0.3455,0.6924
8,Strong local conformity,0.5245,0.9742,0.196,0.804,0.5272,0.3674,0.6839
9,Strong local conformity,0.5248,0.9777,0.1797,0.8203,0.5129,0.3803,0.6592
10,Strong local conformity,0.5255,0.9796,0.1658,0.8342,0.5004,0.4102,0.657
11,Strong local conformity,0.5266,0.9805,0.1518,0.8482,0.4874,0.4174,0.6531
12,Strong local conformity,0.5268,0.9828,0.1387,0.8613,0.4757,0.4157,0.6374
13,Strong local conformity,0.5279,0.9834,0.1299,0.8701,0.4676,0.4297,0.6387
14,Strong local conformity,0.5311,0.9835,0.1183,0.8817,0.4566,0.4274,0.6386
15,Strong local conformity,0.532,0.9839,0.1111,0.8889,0.4499,0.4312,0.6349
16,Strong local conformity,0.5322,0.9853,0.1016,0.8984,0.4413,0.4406,0.6341
17,Strong local conformity,0.5329,0.9871,0.0932,0.9068,0.434,0.4648,0.6237
18,Strong local conformity,0.5323,0.9872,0.0846,0.9154,0.4259,0.4613,0.6069
19,Strong local conformity,0.5332,0.9875,0.0841,0.9159,0.4255,0.4627,0.5966
20,Strong local conformity,0.5345,0.9864,0.0782,0.9218,0.4196,0.4692,0.5949
21,Strong local conformity,0.535,0.9846,0.0741,0.9259,0.415,0.4716,0.591
