article_slug,pressure_reduction,capacity_investment,final_stock,final_risk
wholes-parts-and-interdependence,0.00,0.00,0.00,100.00
wholes-parts-and-interdependence,0.00,0.50,0.00,99.69
wholes-parts-and-interdependence,0.00,1.00,0.00,92.73
wholes-parts-and-interdependence,0.00,1.50,0.00,85.76
wholes-parts-and-interdependence,0.00,2.00,0.00,78.80
wholes-parts-and-interdependence,0.00,2.50,0.00,75.22
wholes-parts-and-interdependence,0.00,3.00,0.00,74.13
wholes-parts-and-interdependence,0.10,0.00,0.00,100.00
wholes-parts-and-interdependence,0.10,0.50,0.00,98.58
wholes-parts-and-interdependence,0.10,1.00,0.00,91.62
wholes-parts-and-interdependence,0.10,1.50,0.00,84.65
wholes-parts-and-interdependence,0.10,2.00,0.00,77.69
wholes-parts-and-interdependence,0.10,2.50,0.00,74.37
wholes-parts-and-interdependence,0.10,3.00,0.00,73.29
wholes-parts-and-interdependence,0.20,0.00,0.00,100.00
wholes-parts-and-interdependence,0.20,0.50,0.00,97.47
wholes-parts-and-interdependence,0.20,1.00,0.00,90.51
wholes-parts-and-interdependence,0.20,1.50,0.00,83.54
wholes-parts-and-interdependence,0.20,2.00,0.00,76.58
wholes-parts-and-interdependence,0.20,2.50,0.00,73.53
wholes-parts-and-interdependence,0.20,3.00,0.00,72.45
wholes-parts-and-interdependence,0.30,0.00,0.00,100.00
wholes-parts-and-interdependence,0.30,0.50,0.00,96.36
wholes-parts-and-interdependence,0.30,1.00,0.00,89.40
wholes-parts-and-interdependence,0.30,1.50,0.00,82.43
wholes-parts-and-interdependence,0.30,2.00,0.00,75.47
wholes-parts-and-interdependence,0.30,2.50,0.00,72.69
wholes-parts-and-interdependence,0.30,3.00,0.00,71.60
wholes-parts-and-interdependence,0.40,0.00,0.00,100.00
wholes-parts-and-interdependence,0.40,0.50,0.00,95.25
wholes-parts-and-interdependence,0.40,1.00,0.00,88.29
wholes-parts-and-interdependence,0.40,1.50,0.00,81.32
wholes-parts-and-interdependence,0.40,2.00,0.00,74.36
wholes-parts-and-interdependence,0.40,2.50,0.00,71.84
wholes-parts-and-interdependence,0.40,3.00,0.00,70.76
wholes-parts-and-interdependence,0.50,0.00,0.00,100.00
wholes-parts-and-interdependence,0.50,0.50,0.00,94.14
wholes-parts-and-interdependence,0.50,1.00,0.00,87.18
wholes-parts-and-interdependence,0.50,1.50,0.00,80.21
wholes-parts-and-interdependence,0.50,2.00,0.00,73.25
wholes-parts-and-interdependence,0.50,2.50,0.00,71.00
wholes-parts-and-interdependence,0.50,3.00,0.00,69.91
