period,scenario,complexity_pressure,resilience_capacity,feedback_amplification,accountability_score,harm_pressure,resilience_stock,learning_stock,trust_stock,accountability_memory,harm_stock,transformation_capacity,systems_readiness_score
0,Fragmented reaction,71.12,20.3,37.432,19.17,42.448,31.695,13.652,16.855,10.542,42.509,14.958,4.761
1,Fragmented reaction,71.12,20.5,37.386,19.234,42.376,28.413,14.313,16.844,10.691,49.897,13.693,2.71
2,Fragmented reaction,71.12,20.644,37.348,19.263,42.327,25.146,14.978,16.465,10.845,57.272,12.424,0.598
3,Fragmented reaction,71.12,20.73,37.319,19.256,42.301,21.883,15.636,15.718,11.0,64.642,11.148,0.0
4,Fragmented reaction,71.12,20.755,37.299,19.212,42.3,18.612,16.282,14.598,11.151,72.015,9.859,0.0
5,Fragmented reaction,71.12,20.718,37.29,19.13,42.325,15.324,16.906,13.105,11.294,79.4,8.554,0.0
6,Fragmented reaction,71.12,20.616,37.292,19.009,42.376,12.007,17.5,11.233,11.426,86.806,7.227,0.0
7,Fragmented reaction,71.12,20.447,37.306,18.848,42.454,8.65,18.057,8.98,11.541,94.242,5.873,0.0
8,Fragmented reaction,71.12,20.209,37.332,18.646,42.561,5.241,18.566,6.342,11.637,100.0,4.694,0.0
9,Fragmented reaction,71.12,19.899,37.372,18.401,42.697,1.768,19.021,3.398,11.707,100.0,4.175,0.0
10,Fragmented reaction,71.12,19.528,37.425,18.121,42.858,0.0,19.414,0.434,11.748,100.0,3.909,0.0
11,Fragmented reaction,71.12,19.141,37.483,17.833,43.025,0.0,19.743,0.0,11.76,100.0,3.912,0.0
12,Fragmented reaction,71.12,19.144,37.481,17.792,43.032,0.0,20.064,0.0,11.768,100.0,3.967,0.0
13,Fragmented reaction,71.12,19.214,37.469,17.794,43.012,0.0,20.385,0.0,11.777,100.0,4.032,0.0
14,Fragmented reaction,71.12,19.285,37.457,17.795,42.991,0.0,20.707,0.0,11.787,100.0,4.096,0.0
15,Fragmented reaction,71.12,19.356,37.444,17.797,42.97,0.0,21.029,0.0,11.798,100.0,4.161,0.0
16,Fragmented reaction,71.12,19.426,37.432,17.8,42.95,0.0,21.352,0.0,11.81,100.0,4.226,0.0
17,Fragmented reaction,71.12,19.497,37.419,17.802,42.929,0.0,21.675,0.0,11.823,100.0,4.292,0.0
18,Fragmented reaction,71.12,19.569,37.407,17.805,42.908,0.0,21.999,0.0,11.837,100.0,4.357,0.0
19,Fragmented reaction,71.12,19.64,37.394,17.807,42.886,0.0,22.323,0.0,11.852,100.0,4.422,0.0
20,Fragmented reaction,71.12,19.711,37.381,17.81,42.865,0.0,22.648,0.0,11.868,100.0,4.488,0.0
21,Fragmented reaction,71.12,19.783,37.368,17.814,42.844,0.0,22.974,0.0,11.886,100.0,4.554,0.0
22,Fragmented reaction,71.12,19.854,37.355,17.817,42.822,0.0,23.3,0.0,11.904,100.0,4.62,0.0
23,Fragmented reaction,71.12,19.926,37.341,17.821,42.801,0.0,23.627,0.0,11.924,100.0,4.686,0.0
24,Fragmented reaction,71.12,19.998,37.328,17.825,42.779,0.0,23.954,0.0,11.945,100.0,4.752,0.0
25,Fragmented reaction,71.12,20.07,37.314,17.829,42.758,0.0,24.282,0.0,11.967,100.0,4.819,0.0
26,Fragmented reaction,71.12,20.142,37.301,17.833,42.736,0.0,24.61,0.0,11.99,100.0,4.885,0.0
27,Fragmented reaction,71.12,20.214,37.287,17.838,42.714,0.0,24.94,0.0,12.014,100.0,4.952,0.0
28,Fragmented reaction,71.12,20.287,37.273,17.843,42.692,0.0,25.27,0.0,12.04,100.0,5.019,0.0
29,Fragmented reaction,71.12,20.359,37.258,17.848,42.67,0.0,25.6,0.0,12.067,100.0,5.087,0.0
30,Fragmented reaction,71.12,20.432,37.244,17.853,42.647,0.0,25.932,0.0,12.096,100.0,5.154,0.0
31,Fragmented reaction,71.12,20.505,37.23,17.859,42.625,0.0,26.264,0.0,12.125,100.0,5.222,0.0
32,Fragmented reaction,71.12,20.578,37.215,17.865,42.602,0.0,26.597,0.0,12.156,100.0,5.29,0.0
33,Fragmented reaction,71.12,20.651,37.2,17.871,42.58,0.0,26.93,0.0,12.189,100.0,5.358,0.0
34,Fragmented reaction,71.12,20.725,37.185,17.878,42.557,0.0,27.265,0.0,12.223,100.0,5.426,0.0
35,Fragmented reaction,71.12,20.798,37.17,17.885,42.534,0.0,27.6,0.0,12.258,100.0,5.495,0.0
36,Fragmented reaction,71.12,20.872,37.155,17.892,42.511,0.0,27.936,0.0,12.295,100.0,5.563,0.0
37,Fragmented reaction,71.12,20.946,37.139,17.899,42.488,0.0,28.273,0.0,12.334,100.0,5.632,0.0
38,Fragmented reaction,71.12,21.02,37.123,17.907,42.464,0.0,28.611,0.0,12.374,100.0,5.702,0.0
39,Fragmented reaction,71.12,21.094,37.108,17.915,42.441,0.0,28.95,0.0,12.415,100.0,5.771,0.0
40,Fragmented reaction,71.12,21.169,37.091,17.923,42.417,0.0,29.29,0.0,12.458,100.0,5.841,0.0
41,Fragmented reaction,71.12,21.244,37.075,17.932,42.394,0.0,29.63,0.0,12.503,100.0,5.911,0.0
42,Fragmented reaction,71.12,21.319,37.059,17.941,42.37,0.0,29.972,0.0,12.55,100.0,5.981,0.0
43,Fragmented reaction,71.12,21.394,37.042,17.95,42.346,0.0,30.315,0.0,12.598,100.0,6.052,0.0
44,Fragmented reaction,71.12,21.469,37.025,17.96,42.321,0.0,30.658,0.0,12.648,100.0,6.123,0.0
45,Fragmented reaction,71.12,21.545,37.008,17.97,42.297,0.0,31.003,0.0,12.699,100.0,6.194,0.0
46,Fragmented reaction,71.12,21.621,36.991,17.98,42.272,0.0,31.349,0.0,12.753,100.0,6.265,0.0
47,Fragmented reaction,71.12,21.697,36.973,17.991,42.248,0.0,31.695,0.0,12.808,100.0,6.337,0.0
48,Fragmented reaction,71.12,21.773,36.956,18.002,42.223,0.0,32.043,0.0,12.865,100.0,6.409,0.0
0,Optimized brittle system,65.6,27.196,31.769,28.71,32.166,33.575,23.138,24.915,16.72,32.02,25.313,15.285
1,Optimized brittle system,65.6,27.957,31.495,29.196,31.827,32.251,25.337,26.557,18.293,36.026,25.167,15.162
2,Optimized brittle system,65.6,28.703,31.218,29.674,31.493,31.025,27.594,28.033,19.917,39.921,25.061,15.072
3,Optimized brittle system,65.6,29.436,30.939,30.147,31.163,29.894,29.907,29.348,21.592,43.705,24.992,15.014
4,Optimized brittle system,65.6,30.155,30.656,30.613,30.838,28.853,32.273,30.505,23.318,47.38,24.96,14.989
5,Optimized brittle system,65.6,30.861,30.37,31.074,30.517,27.901,34.689,31.511,25.093,50.948,24.964,14.994
6,Optimized brittle system,65.6,31.553,30.082,31.53,30.199,27.034,37.152,32.371,26.917,54.409,25.003,15.029
7,Optimized brittle system,65.6,32.233,29.791,31.981,29.886,26.248,39.661,33.089,28.79,57.766,25.076,15.094
8,Optimized brittle system,65.6,32.9,29.497,32.427,29.576,25.542,42.212,33.671,30.711,61.018,25.181,15.187
9,Optimized brittle system,65.6,33.554,29.2,32.869,29.27,24.912,44.803,34.121,32.68,64.168,25.318,15.308
10,Optimized brittle system,65.6,34.196,28.901,33.308,28.967,24.355,47.433,34.444,34.696,67.217,25.485,15.456
11,Optimized brittle system,65.6,34.826,28.598,33.744,28.668,23.869,50.099,34.645,36.759,70.164,25.683,15.63
12,Optimized brittle system,65.6,35.445,28.293,34.176,28.372,23.451,52.8,34.729,38.868,73.012,25.909,15.831
13,Optimized brittle system,65.6,36.053,27.985,34.607,28.079,23.098,55.532,34.701,41.024,75.761,26.164,16.058
14,Optimized brittle system,65.6,36.649,27.674,35.035,27.788,22.81,58.295,34.566,43.225,78.411,26.447,16.31
15,Optimized brittle system,65.6,37.235,27.36,35.462,27.5,22.582,61.087,34.327,45.472,80.964,26.756,16.587
16,Optimized brittle system,65.6,37.811,27.043,35.887,27.214,22.413,63.906,33.991,47.764,83.42,27.092,16.889
17,Optimized brittle system,65.6,38.378,26.723,36.312,26.931,22.301,66.751,33.562,50.102,85.78,27.453,17.216
18,Optimized brittle system,65.6,38.935,26.4,36.737,26.65,22.244,69.62,33.045,52.485,88.044,27.84,17.567
19,Optimized brittle system,65.6,39.484,26.074,37.161,26.37,22.24,72.512,32.444,54.913,90.213,28.251,17.943
20,Optimized brittle system,65.6,40.024,25.745,37.587,26.092,22.288,75.427,31.764,57.386,92.286,28.686,18.344
21,Optimized brittle system,65.6,40.556,25.412,38.014,25.815,22.385,78.362,31.011,59.905,94.264,29.145,18.769
22,Optimized brittle system,65.6,41.081,25.077,38.442,25.539,22.53,81.316,30.188,62.468,96.147,29.628,19.22
23,Optimized brittle system,65.6,41.6,24.737,38.873,25.263,22.722,84.29,29.302,65.078,97.935,30.133,19.696
