period,readiness,harm,learning
0,34.000,62.000,36.000
1,34.009,61.440,37.380
2,34.104,60.875,38.766
3,34.286,60.304,40.157
4,34.554,59.722,41.554
5,34.910,59.125,42.957
6,35.355,58.511,44.365
7,35.889,57.876,45.780
8,36.512,57.215,47.201
9,37.227,56.526,48.629
10,38.035,55.805,50.064
11,38.936,55.047,51.506
12,39.932,54.250,52.956
13,41.025,53.409,54.413
14,42.217,52.520,55.879
15,43.509,51.580,57.354
16,44.904,50.584,58.838
17,46.403,49.528,60.332
18,48.009,48.407,61.837
19,49.724,47.218,63.353
20,51.552,45.956,64.881
21,53.494,44.617,66.421
22,55.554,43.194,67.975
23,57.736,41.685,69.543
24,60.041,40.083,71.126
25,62.475,38.384,72.725
26,65.041,36.583,74.341
27,67.742,34.673,75.976
28,70.583,32.650,77.629
29,73.569,30.507,79.302
30,76.704,28.239,80.997
31,79.992,25.839,82.715
32,83.440,23.301,84.456
33,87.052,20.619,86.223
34,90.834,17.786,88.017
35,94.793,14.794,89.839
36,98.933,11.637,91.691
