article_slug,pressure_reduction,capacity_investment,final_stock,final_risk
tragedy-of-the-commons-and-shared-resource-systems,0.00,0.00,0.00,100.00
tragedy-of-the-commons-and-shared-resource-systems,0.00,0.50,0.00,100.00
tragedy-of-the-commons-and-shared-resource-systems,0.00,1.00,0.00,96.46
tragedy-of-the-commons-and-shared-resource-systems,0.00,1.50,0.00,89.50
tragedy-of-the-commons-and-shared-resource-systems,0.00,2.00,0.00,82.53
tragedy-of-the-commons-and-shared-resource-systems,0.00,2.50,0.00,77.34
tragedy-of-the-commons-and-shared-resource-systems,0.00,3.00,0.00,76.25
tragedy-of-the-commons-and-shared-resource-systems,0.10,0.00,0.00,100.00
tragedy-of-the-commons-and-shared-resource-systems,0.10,0.50,0.00,100.00
tragedy-of-the-commons-and-shared-resource-systems,0.10,1.00,0.00,95.23
tragedy-of-the-commons-and-shared-resource-systems,0.10,1.50,0.00,88.27
tragedy-of-the-commons-and-shared-resource-systems,0.10,2.00,0.00,81.30
tragedy-of-the-commons-and-shared-resource-systems,0.10,2.50,0.00,76.40
tragedy-of-the-commons-and-shared-resource-systems,0.10,3.00,0.00,75.32
tragedy-of-the-commons-and-shared-resource-systems,0.20,0.00,0.00,100.00
tragedy-of-the-commons-and-shared-resource-systems,0.20,0.50,0.00,100.00
tragedy-of-the-commons-and-shared-resource-systems,0.20,1.00,0.00,94.00
tragedy-of-the-commons-and-shared-resource-systems,0.20,1.50,0.00,87.04
tragedy-of-the-commons-and-shared-resource-systems,0.20,2.00,0.00,80.07
tragedy-of-the-commons-and-shared-resource-systems,0.20,2.50,0.00,75.46
tragedy-of-the-commons-and-shared-resource-systems,0.20,3.00,0.00,74.38
tragedy-of-the-commons-and-shared-resource-systems,0.30,0.00,0.00,100.00
tragedy-of-the-commons-and-shared-resource-systems,0.30,0.50,0.00,99.74
tragedy-of-the-commons-and-shared-resource-systems,0.30,1.00,0.00,92.77
tragedy-of-the-commons-and-shared-resource-systems,0.30,1.50,0.00,85.81
tragedy-of-the-commons-and-shared-resource-systems,0.30,2.00,0.00,78.84
tragedy-of-the-commons-and-shared-resource-systems,0.30,2.50,0.00,74.53
tragedy-of-the-commons-and-shared-resource-systems,0.30,3.00,0.00,73.44
tragedy-of-the-commons-and-shared-resource-systems,0.40,0.00,0.00,100.00
tragedy-of-the-commons-and-shared-resource-systems,0.40,0.50,0.00,98.51
tragedy-of-the-commons-and-shared-resource-systems,0.40,1.00,0.00,91.54
tragedy-of-the-commons-and-shared-resource-systems,0.40,1.50,0.00,84.57
tragedy-of-the-commons-and-shared-resource-systems,0.40,2.00,0.00,77.61
tragedy-of-the-commons-and-shared-resource-systems,0.40,2.50,0.00,73.59
tragedy-of-the-commons-and-shared-resource-systems,0.40,3.00,0.00,72.51
tragedy-of-the-commons-and-shared-resource-systems,0.50,0.00,0.00,100.00
tragedy-of-the-commons-and-shared-resource-systems,0.50,0.50,0.00,97.27
tragedy-of-the-commons-and-shared-resource-systems,0.50,1.00,0.00,90.31
tragedy-of-the-commons-and-shared-resource-systems,0.50,1.50,0.00,83.34
tragedy-of-the-commons-and-shared-resource-systems,0.50,2.00,0.00,76.38
tragedy-of-the-commons-and-shared-resource-systems,0.50,2.50,0.00,72.66
tragedy-of-the-commons-and-shared-resource-systems,0.50,3.00,0.00,71.57
