article_slug,article_title,topic_family,year,scenario,policy_active,shock_event,system_stock_index,capacity_index,trust_index,memory_index,burden_index,equity_gap_index,risk_index,outcome_index,resilience_ratio,regeneration,pressure
institutional-memory-and-system-learning,Institutional Memory and System Learning,governance_policy,0,Current structure / baseline,False,False,71.502,47.568,50.309,43.877,48.451,32.727,57.477,45.659,0.9408,1.976,4.1
institutional-memory-and-system-learning,Institutional Memory and System Learning,governance_policy,1,Current structure / baseline,False,False,65.726,47.124,48.592,43.721,49.023,33.462,59.804,43.393,0.8648,1.859,5.2
institutional-memory-and-system-learning,Institutional Memory and System Learning,governance_policy,2,Current structure / baseline,False,False,58.634,46.667,46.847,43.532,49.716,34.208,62.552,40.711,0.7715,1.709,6.3
institutional-memory-and-system-learning,Institutional Memory and System Learning,governance_policy,3,Current structure / baseline,False,False,50.184,46.192,45.071,43.31,50.53,34.966,65.736,37.597,0.6603,1.524,7.4
institutional-memory-and-system-learning,Institutional Memory and System Learning,governance_policy,4,Current structure / baseline,True,False,41.252,45.421,43.284,43.383,50.959,35.783,69.063,34.345,0.5428,1.305,8.5
institutional-memory-and-system-learning,Institutional Memory and System Learning,governance_policy,5,Current structure / baseline,True,False,30.921,44.638,41.467,43.427,51.454,36.609,72.831,30.655,0.4068,1.073,9.6
institutional-memory-and-system-learning,Institutional Memory and System Learning,governance_policy,6,Current structure / baseline,True,False,19.15,43.841,39.619,43.445,52.015,37.446,77.051,26.515,0.252,0.804,10.7
institutional-memory-and-system-learning,Institutional Memory and System Learning,governance_policy,7,Current structure / baseline,True,False,5.899,43.028,37.736,43.435,52.642,38.293,81.738,21.911,0.0776,0.498,11.8
institutional-memory-and-system-learning,Institutional Memory and System Learning,governance_policy,8,Current structure / baseline,True,False,0.0,42.197,35.818,43.397,53.335,39.153,84.243,19.492,0.0,0.153,12.9
institutional-memory-and-system-learning,Institutional Memory and System Learning,governance_policy,9,Current structure / baseline,True,False,0.0,41.348,33.862,43.332,54.094,40.027,85.002,18.822,0.0,0.0,14.0
