article_slug,pressure_reduction,capacity_investment,final_stock,final_risk
institutional-memory-and-system-learning,0.00,0.00,0.00,100.00
institutional-memory-and-system-learning,0.00,0.50,0.00,100.00
institutional-memory-and-system-learning,0.00,1.00,0.00,98.14
institutional-memory-and-system-learning,0.00,1.50,0.00,91.17
institutional-memory-and-system-learning,0.00,2.00,0.00,84.21
institutional-memory-and-system-learning,0.00,2.50,0.00,77.90
institutional-memory-and-system-learning,0.00,3.00,0.00,76.82
institutional-memory-and-system-learning,0.10,0.00,0.00,100.00
institutional-memory-and-system-learning,0.10,0.50,0.00,100.00
institutional-memory-and-system-learning,0.10,1.00,0.00,96.99
institutional-memory-and-system-learning,0.10,1.50,0.00,90.03
institutional-memory-and-system-learning,0.10,2.00,0.00,83.06
institutional-memory-and-system-learning,0.10,2.50,0.00,77.03
institutional-memory-and-system-learning,0.10,3.00,0.00,75.95
institutional-memory-and-system-learning,0.20,0.00,0.00,100.00
institutional-memory-and-system-learning,0.20,0.50,0.00,100.00
institutional-memory-and-system-learning,0.20,1.00,0.00,95.85
institutional-memory-and-system-learning,0.20,1.50,0.00,88.88
institutional-memory-and-system-learning,0.20,2.00,0.00,81.92
institutional-memory-and-system-learning,0.20,2.50,0.00,76.16
institutional-memory-and-system-learning,0.20,3.00,0.00,75.07
institutional-memory-and-system-learning,0.30,0.00,0.00,100.00
institutional-memory-and-system-learning,0.30,0.50,0.00,100.00
institutional-memory-and-system-learning,0.30,1.00,0.00,94.70
institutional-memory-and-system-learning,0.30,1.50,0.00,87.74
institutional-memory-and-system-learning,0.30,2.00,0.00,80.77
institutional-memory-and-system-learning,0.30,2.50,0.00,75.29
institutional-memory-and-system-learning,0.30,3.00,0.00,74.20
institutional-memory-and-system-learning,0.40,0.00,0.00,100.00
institutional-memory-and-system-learning,0.40,0.50,0.00,100.00
institutional-memory-and-system-learning,0.40,1.00,0.00,93.56
institutional-memory-and-system-learning,0.40,1.50,0.00,86.59
institutional-memory-and-system-learning,0.40,2.00,0.00,79.62
institutional-memory-and-system-learning,0.40,2.50,0.00,74.41
institutional-memory-and-system-learning,0.40,3.00,0.00,73.33
institutional-memory-and-system-learning,0.50,0.00,0.00,100.00
institutional-memory-and-system-learning,0.50,0.50,0.00,99.38
institutional-memory-and-system-learning,0.50,1.00,0.00,92.41
institutional-memory-and-system-learning,0.50,1.50,0.00,85.44
institutional-memory-and-system-learning,0.50,2.00,0.00,78.48
institutional-memory-and-system-learning,0.50,2.50,0.00,73.54
institutional-memory-and-system-learning,0.50,3.00,0.00,72.45
