article_slug,article_title,domain_profile,scenario,year,public_trust_capacity,administrative_burden,threshold_margin,administrative_or_system_burden,vulnerability_index,resilience_ratio,intervention_active,regime_classification
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,baseline_pressure,0,62.547,43.55,18.997,31.1,56.211,1.4362,False,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,baseline_pressure,1,60.986,45.1,15.886,32.2,57.312,1.3522,False,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,baseline_pressure,2,59.317,46.65,12.667,33.3,58.443,1.2715,False,stressed_recoverable
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,baseline_pressure,3,57.539,48.2,9.34,34.4,59.605,1.1938,False,near_threshold
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,baseline_pressure,4,55.654,49.75,5.904,35.5,60.797,1.1187,False,near_threshold
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,baseline_pressure,5,53.66,51.3,2.36,36.6,62.019,1.046,False,near_threshold
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,baseline_pressure,6,51.558,52.85,-1.292,37.7,63.272,0.9755,False,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,baseline_pressure,7,49.347,54.4,-5.053,38.8,64.555,0.9071,False,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,baseline_pressure,8,47.028,55.95,-8.922,39.9,65.868,0.8405,False,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,baseline_pressure,9,44.601,57.5,-12.899,41.0,67.212,0.7757,False,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,baseline_pressure,10,42.066,59.05,-16.984,42.1,68.586,0.7124,False,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,baseline_pressure,11,39.423,60.6,-21.177,43.2,69.99,0.6505,False,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,baseline_pressure,12,36.671,62.15,-25.479,44.3,71.424,0.59,False,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,baseline_pressure,13,33.811,63.7,-29.889,45.4,72.889,0.5308,False,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,baseline_pressure,14,30.843,65.25,-34.407,46.5,74.384,0.4727,False,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,baseline_pressure,15,27.766,66.8,-39.034,47.6,75.91,0.4157,False,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,baseline_pressure,16,24.581,68.35,-43.769,48.7,77.465,0.3596,False,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,baseline_pressure,17,21.288,69.9,-48.612,49.8,79.051,0.3046,False,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,baseline_pressure,18,17.887,71.45,-53.563,50.9,80.668,0.2503,False,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,baseline_pressure,19,14.378,73.0,-58.622,52.0,82.314,0.197,False,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,baseline_pressure,20,10.76,74.55,-63.79,53.1,83.991,0.1443,False,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,baseline_pressure,21,7.034,76.1,-69.066,54.2,85.699,0.0924,False,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,baseline_pressure,22,3.2,77.65,-74.45,55.3,87.436,0.0412,False,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,baseline_pressure,23,0.0,79.2,-79.2,56.4,88.996,0.0,False,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,baseline_pressure,24,0.0,80.75,-80.75,57.5,89.66,0.0,False,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,baseline_pressure,25,0.0,82.3,-82.3,58.6,90.324,0.0,False,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,baseline_pressure,26,0.0,83.85,-83.85,59.7,90.988,0.0,False,shifted_regime
institutional-memory-and-system-learning,Institutional Memory And System Learning,policy_governance,baseline_pressure,27,0.0,85.4,-85.4,60.8,91.652,0.0,False,shifted_regime
