period,accountability_index,repair_stock,cumulative_harm
0,42.000,28.000,60.000
1,44.100,29.800,58.734
2,46.200,31.600,57.282
3,48.300,33.400,55.644
4,50.400,35.200,53.820
5,52.500,37.000,51.810
6,54.600,38.800,49.614
7,56.700,40.600,47.232
8,58.800,42.400,44.664
9,60.900,44.200,41.910
10,63.000,46.000,38.970
11,65.100,47.800,35.844
12,67.200,49.600,32.532
13,69.300,51.400,29.034
14,71.400,53.200,25.350
15,73.500,55.000,21.480
16,75.600,56.800,17.424
17,77.700,58.600,13.182
18,79.800,60.400,8.754
19,81.900,62.200,4.140
20,84.000,64.000,0.000
21,86.100,65.800,0.000
22,88.200,67.600,0.000
23,90.300,69.400,0.000
24,92.400,71.200,0.000
25,94.500,73.000,0.000
26,96.600,74.800,0.000
27,98.700,76.600,0.000
28,100.000,78.400,0.000
29,100.000,80.200,0.000
30,100.000,82.000,0.000
31,100.000,83.800,0.000
32,100.000,85.600,0.000
33,100.000,87.400,0.000
34,100.000,89.200,0.000
35,100.000,91.000,0.000
36,100.000,92.800,0.000
