period,scenario,boundary_ethics_score,accountability_index,harm_pressure,cumulative_harm,repair_flow,repair_stock,accountability_memory,trust_stock,ethical_leverage,model_risk,ethical_system_score
0,Narrow optimization,22.16,21.4,25.647,37.979,2.576,6.63,37.26,42.213,11.404,96.64,2.507
1,Narrow optimization,22.16,21.551,25.623,43.152,2.576,7.66,38.533,42.239,11.12,96.64,1.732
2,Narrow optimization,22.16,21.704,25.599,48.32,2.576,8.689,39.82,42.08,10.837,96.64,0.937
3,Narrow optimization,22.16,21.858,25.574,53.483,2.576,9.719,41.119,41.735,10.554,96.64,0.121
4,Narrow optimization,22.16,22.014,25.549,58.64,2.576,10.749,42.433,41.205,10.272,96.64,0.0
5,Narrow optimization,22.16,22.172,25.524,63.791,2.576,11.779,43.759,40.49,9.992,96.64,0.0
6,Narrow optimization,22.16,22.331,25.498,68.958,2.462,12.779,45.1,39.588,9.704,96.64,0.0
7,Narrow optimization,22.16,22.492,25.472,74.146,2.307,13.739,46.454,38.496,9.406,96.64,0.0
8,Narrow optimization,22.16,22.655,25.446,79.357,2.152,14.658,47.823,37.209,9.098,96.64,0.0
9,Narrow optimization,22.16,22.819,25.42,84.591,1.995,15.537,49.206,35.725,8.78,96.64,0.0
10,Narrow optimization,22.16,22.985,25.394,89.846,1.838,16.375,50.603,34.04,8.452,96.64,0.0
11,Narrow optimization,22.16,23.152,25.367,95.124,1.681,17.172,52.014,32.151,8.113,96.64,0.0
12,Narrow optimization,22.16,23.322,25.34,100.0,1.522,17.928,53.44,30.075,7.807,96.64,0.0
13,Narrow optimization,22.16,23.493,25.312,100.0,1.376,18.645,54.881,28.054,7.982,96.64,0.0
14,Narrow optimization,22.16,23.666,25.285,100.0,1.376,19.363,56.337,26.089,8.156,96.64,0.0
15,Narrow optimization,22.16,23.84,25.257,100.0,1.376,20.081,57.808,24.178,8.331,96.64,0.0
16,Narrow optimization,22.16,24.017,25.228,100.0,1.376,20.799,59.294,22.324,8.507,96.64,0.0
17,Narrow optimization,22.16,24.195,25.2,100.0,1.376,21.516,60.796,20.524,8.682,96.64,0.0
18,Narrow optimization,22.16,24.376,25.171,100.0,1.376,22.234,62.313,18.781,8.858,96.64,0.0
19,Narrow optimization,22.16,24.558,25.142,100.0,1.376,22.952,63.846,17.093,9.035,96.64,0.0
20,Narrow optimization,22.16,24.742,25.113,100.0,1.376,23.67,65.395,15.461,9.211,96.64,0.0
21,Narrow optimization,22.16,24.927,25.083,100.0,1.376,24.387,66.96,13.885,9.388,96.64,0.0
22,Narrow optimization,22.16,25.115,25.053,100.0,1.376,25.105,68.541,12.365,9.566,96.64,0.0
23,Narrow optimization,22.16,25.305,25.022,100.0,1.376,25.823,70.138,10.902,9.743,96.64,0.0
24,Narrow optimization,22.16,25.497,24.992,100.0,1.376,26.541,71.752,9.495,9.922,96.64,0.0
25,Narrow optimization,22.16,25.69,24.961,100.0,1.376,27.258,73.383,8.145,10.1,96.64,0.0
26,Narrow optimization,22.16,25.886,24.929,100.0,1.376,27.976,75.031,6.852,10.279,96.64,0.0
27,Narrow optimization,22.16,26.084,24.898,100.0,1.376,28.694,76.696,5.615,10.458,96.64,0.0
28,Narrow optimization,22.16,26.283,24.866,100.0,1.376,29.412,78.378,4.436,10.637,96.64,0.0
29,Narrow optimization,22.16,26.485,24.834,100.0,1.376,30.129,80.077,3.313,10.817,96.64,0.0
30,Narrow optimization,22.16,26.689,24.801,100.0,1.376,30.847,81.794,2.248,10.998,96.64,0.0
31,Narrow optimization,22.16,26.895,24.768,100.0,1.376,31.565,83.529,1.241,11.178,96.64,0.0
32,Narrow optimization,22.16,27.104,24.735,100.0,1.376,32.283,85.282,0.291,11.359,96.64,0.0
33,Narrow optimization,22.16,27.314,24.701,100.0,1.376,33.0,87.053,0.0,11.541,96.64,0.0
34,Narrow optimization,22.16,27.526,24.667,100.0,1.376,33.718,88.843,0.0,11.722,96.64,0.0
35,Narrow optimization,22.16,27.741,24.633,100.0,1.376,34.436,90.651,0.0,11.905,96.64,0.0
36,Narrow optimization,22.16,27.958,24.598,100.0,1.376,35.154,92.477,0.0,12.087,96.64,0.0
37,Narrow optimization,22.16,28.177,24.563,100.0,1.376,35.872,94.323,0.0,12.27,96.64,0.0
38,Narrow optimization,22.16,28.399,24.527,100.0,1.376,36.589,96.188,0.0,12.454,96.64,0.0
39,Narrow optimization,22.16,28.623,24.492,100.0,1.376,37.307,98.072,0.0,12.637,96.64,0.0
40,Narrow optimization,22.16,28.849,24.455,100.0,1.376,38.025,99.976,0.0,12.822,96.64,0.0
41,Narrow optimization,22.16,29.077,24.419,100.0,1.376,38.743,100.0,0.0,13.006,96.64,0.0
42,Narrow optimization,22.16,29.08,24.418,100.0,1.376,39.46,100.0,0.0,13.15,96.64,0.0
43,Narrow optimization,22.16,29.08,24.418,100.0,1.376,40.178,100.0,0.0,13.294,96.64,0.0
44,Narrow optimization,22.16,29.08,24.418,100.0,1.376,40.896,100.0,0.0,13.438,96.64,0.0
45,Narrow optimization,22.16,29.08,24.418,100.0,1.376,41.614,100.0,0.0,13.581,96.64,0.0
46,Narrow optimization,22.16,29.08,24.418,100.0,1.376,42.331,100.0,0.0,13.725,96.64,0.0
47,Narrow optimization,22.16,29.08,24.418,100.0,1.376,43.049,100.0,0.0,13.868,96.64,0.0
48,Narrow optimization,22.16,29.08,24.418,100.0,1.376,43.767,100.0,0.0,14.012,96.64,0.0
0,Consultative weak accountability,45.32,39.64,13.52,26.781,5.52,13.315,39.8,44.739,28.138,74.32,21.75
1,Consultative weak accountability,45.32,40.096,13.447,28.746,5.52,15.43,43.64,47.538,28.447,74.32,22.297
2,Consultative weak accountability,45.32,40.557,13.373,30.694,5.52,17.546,47.52,50.399,28.758,74.32,22.855
3,Consultative weak accountability,45.32,41.022,13.299,32.626,5.52,19.661,51.44,53.323,29.072,74.32,23.426
4,Consultative weak accountability,45.32,41.493,13.224,34.542,5.52,21.776,55.4,56.311,29.388,74.32,24.009
5,Consultative weak accountability,45.32,41.968,13.148,36.441,5.52,23.891,59.402,59.364,29.706,74.32,24.605
6,Consultative weak accountability,45.32,42.448,13.071,38.323,5.52,26.006,63.445,62.484,30.028,74.32,25.214
7,Consultative weak accountability,45.32,42.933,12.993,40.187,5.52,28.122,67.53,65.671,30.352,74.32,25.835
8,Consultative weak accountability,45.32,43.424,12.915,42.035,5.52,30.237,71.657,68.927,30.678,74.32,26.47
9,Consultative weak accountability,45.32,43.919,12.835,43.865,5.52,32.352,75.827,72.253,31.007,74.32,27.119
10,Consultative weak accountability,45.32,44.419,12.755,45.678,5.52,34.467,80.04,75.651,31.339,74.32,27.781
11,Consultative weak accountability,45.32,44.925,12.674,47.473,5.52,36.582,84.297,79.121,31.674,74.32,28.456
12,Consultative weak accountability,45.32,45.436,12.593,49.249,5.52,38.698,88.599,82.665,32.011,74.32,29.146
13,Consultative weak accountability,45.32,45.952,12.51,51.008,5.52,40.813,92.944,86.284,32.351,74.32,29.85
14,Consultative weak accountability,45.32,46.473,12.427,52.748,5.52,42.928,97.335,89.979,32.694,74.32,30.568
15,Consultative weak accountability,45.32,47.0,12.342,54.47,5.52,45.043,100.0,93.752,33.04,74.32,31.301
16,Consultative weak accountability,45.32,47.32,12.291,56.18,5.52,47.158,100.0,97.589,33.349,74.32,31.986
17,Consultative weak accountability,45.32,47.32,12.291,57.891,5.52,49.274,100.0,100.0,33.601,74.32,32.408
18,Consultative weak accountability,45.32,47.32,12.291,59.601,5.52,51.389,100.0,100.0,33.853,74.32,32.542
19,Consultative weak accountability,45.32,47.32,12.291,61.312,5.52,53.504,100.0,100.0,34.105,74.32,32.675
20,Consultative weak accountability,45.32,47.32,12.291,63.029,5.481,55.609,100.0,100.0,34.354,74.32,32.805
21,Consultative weak accountability,45.32,47.32,12.291,64.756,5.429,57.701,100.0,100.0,34.6,74.32,32.929
22,Consultative weak accountability,45.32,47.32,12.291,66.492,5.377,59.779,100.0,100.0,34.842,74.32,33.049
23,Consultative weak accountability,45.32,47.32,12.291,68.238,5.325,61.843,100.0,100.0,35.08,74.32,33.163
24,Consultative weak accountability,45.32,47.32,12.291,69.993,5.273,63.894,100.0,100.0,35.315,74.32,33.273
25,Consultative weak accountability,45.32,47.32,12.291,71.757,5.22,65.931,100.0,100.0,35.546,74.32,33.378
26,Consultative weak accountability,45.32,47.32,12.291,73.531,5.167,67.955,100.0,100.0,35.773,74.32,33.477
27,Consultative weak accountability,45.32,47.32,12.291,75.315,5.114,69.965,100.0,100.0,35.997,74.32,33.571
28,Consultative weak accountability,45.32,47.32,12.291,77.108,5.061,71.96,100.0,100.0,36.217,74.32,33.661
