period,team_id,observed_signal,distortion,decision_delay,authority_to_change
1,T01,0.62,0.18,2,0.46
2,T01,0.58,0.25,3,0.42
3,T01,0.51,0.32,4,0.37
4,T01,0.45,0.39,5,0.33
1,T02,0.70,0.14,2,0.58
2,T02,0.66,0.20,3,0.53
3,T02,0.59,0.27,3,0.48
4,T02,0.52,0.33,4,0.42
1,T03,0.68,0.16,2,0.55
2,T03,0.63,0.22,3,0.50
3,T03,0.56,0.29,4,0.45
4,T03,0.49,0.36,5,0.40
1,T04,0.65,0.18,2,0.49
2,T04,0.60,0.24,3,0.44
3,T04,0.54,0.31,4,0.39
4,T04,0.47,0.38,5,0.35
1,T05,0.72,0.12,1,0.52
2,T05,0.67,0.19,2,0.48
3,T05,0.60,0.27,3,0.43
4,T05,0.53,0.34,4,0.38
