period,team_id,overtime_hours,recovery_hours,turnover_risk,error_rate,psychological_safety
1,T01,18,12,0.22,0.08,0.58
2,T01,24,9,0.30,0.11,0.52
3,T01,31,7,0.39,0.15,0.47
4,T01,39,5,0.49,0.20,0.40
1,T02,16,14,0.18,0.07,0.65
2,T02,22,11,0.25,0.09,0.59
3,T02,28,9,0.33,0.13,0.54
4,T02,35,7,0.43,0.17,0.48
1,T03,20,11,0.21,0.09,0.61
2,T03,27,8,0.29,0.12,0.55
3,T03,34,6,0.38,0.17,0.49
4,T03,43,4,0.50,0.22,0.42
1,T04,17,10,0.24,0.08,0.56
2,T04,25,8,0.33,0.12,0.50
3,T04,33,6,0.43,0.17,0.44
4,T04,41,4,0.54,0.23,0.37
1,T05,15,11,0.23,0.07,0.62
2,T05,23,8,0.31,0.11,0.56
3,T05,32,6,0.42,0.16,0.49
4,T05,40,4,0.53,0.21,0.41
