article_slug,article_title,domain_profile,scenario,year,human_learning_capacity,workload_pressure,threshold_margin,administrative_or_system_burden,vulnerability_index,resilience_ratio,intervention_active,regime_classification
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,baseline_pressure,0,70.3,46.75,23.55,31.2,54.651,1.5037,False,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,baseline_pressure,1,68.479,48.5,19.979,32.4,55.896,1.4119,False,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,baseline_pressure,2,66.537,50.25,16.287,33.6,57.175,1.3241,False,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,baseline_pressure,3,64.475,52.0,12.475,34.8,58.487,1.2399,False,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,baseline_pressure,4,62.291,53.75,8.541,36.0,59.833,1.1589,False,near_threshold
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,baseline_pressure,5,59.987,55.5,4.487,37.2,61.214,1.0809,False,near_threshold
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,baseline_pressure,6,57.563,57.25,0.313,38.4,62.627,1.0055,False,near_threshold
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,baseline_pressure,7,55.017,59.0,-3.983,39.6,64.075,0.9325,False,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,baseline_pressure,8,52.351,60.75,-8.399,40.8,65.557,0.8617,False,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,baseline_pressure,9,49.564,62.5,-12.936,42.0,67.072,0.793,False,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,baseline_pressure,10,46.656,64.25,-17.594,43.2,68.621,0.7262,False,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,baseline_pressure,11,43.628,66.0,-22.372,44.4,70.204,0.661,False,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,baseline_pressure,12,40.478,67.75,-27.272,45.6,71.821,0.5975,False,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,baseline_pressure,13,37.208,69.5,-32.292,46.8,73.472,0.5354,False,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,baseline_pressure,14,33.818,71.25,-37.432,48.0,75.156,0.4746,False,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,baseline_pressure,15,30.306,73.0,-42.694,49.2,76.874,0.4152,False,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,baseline_pressure,16,26.674,74.75,-48.076,50.4,78.626,0.3568,False,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,baseline_pressure,17,22.921,76.5,-53.579,51.6,80.412,0.2996,False,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,baseline_pressure,18,19.047,78.25,-59.203,52.8,82.232,0.2434,False,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,baseline_pressure,19,15.052,80.0,-64.948,54.0,84.085,0.1882,False,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,baseline_pressure,20,10.937,81.75,-70.813,55.2,85.973,0.1338,False,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,baseline_pressure,21,6.701,83.5,-76.799,56.4,87.894,0.0803,False,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,baseline_pressure,22,2.344,85.25,-82.906,57.6,89.849,0.0275,False,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,baseline_pressure,23,0.0,87.0,-87.0,58.8,91.24,0.0,False,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,baseline_pressure,24,0.0,88.75,-88.75,60.0,91.975,0.0,False,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,baseline_pressure,25,0.0,90.5,-90.5,61.2,92.71,0.0,False,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,baseline_pressure,26,0.0,92.25,-92.25,62.4,93.445,0.0,False,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,baseline_pressure,27,0.0,94.0,-94.0,63.6,94.18,0.0,False,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,baseline_pressure,28,0.0,95.75,-95.75,64.8,94.915,0.0,False,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,baseline_pressure,29,0.0,97.5,-97.5,66.0,95.65,0.0,False,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,baseline_pressure,30,0.0,99.25,-99.25,67.2,96.385,0.0,False,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,delayed_response,0,70.526,46.75,23.776,31.2,54.588,1.5086,False,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,delayed_response,1,68.932,48.5,20.432,32.4,55.769,1.4213,False,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,delayed_response,2,67.217,50.25,16.967,33.6,56.984,1.3377,False,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,delayed_response,3,65.381,52.0,13.381,34.8,58.233,1.2573,False,stressed_recoverable
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,delayed_response,4,63.424,53.75,9.674,36.0,59.516,1.18,False,near_threshold
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,delayed_response,5,61.347,55.5,5.847,37.2,60.833,1.1054,False,near_threshold
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,delayed_response,6,59.149,57.25,1.899,38.4,62.183,1.0332,False,near_threshold
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,delayed_response,7,56.83,59.0,-2.17,39.6,63.568,0.9632,False,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,delayed_response,8,54.391,60.75,-6.359,40.8,64.986,0.8953,False,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,delayed_response,9,51.83,62.5,-10.67,42.0,66.438,0.8293,False,shifted_regime
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,organizational_learning,delayed_response,10,49.149,64.25,-15.101,43.2,67.923,0.765,False,shifted_regime
