article_slug,pressure_reduction,capacity_investment,final_stock,final_risk
systems-thinking-in-organizations-and-learning,0.00,0.00,0.00,100.00
systems-thinking-in-organizations-and-learning,0.00,0.50,0.00,100.00
systems-thinking-in-organizations-and-learning,0.00,1.00,0.00,100.00
systems-thinking-in-organizations-and-learning,0.00,1.50,0.00,95.67
systems-thinking-in-organizations-and-learning,0.00,2.00,0.00,88.71
systems-thinking-in-organizations-and-learning,0.00,2.50,0.00,81.74
systems-thinking-in-organizations-and-learning,0.00,3.00,0.00,79.41
systems-thinking-in-organizations-and-learning,0.10,0.00,0.00,100.00
systems-thinking-in-organizations-and-learning,0.10,0.50,0.00,100.00
systems-thinking-in-organizations-and-learning,0.10,1.00,0.00,100.00
systems-thinking-in-organizations-and-learning,0.10,1.50,0.00,94.29
systems-thinking-in-organizations-and-learning,0.10,2.00,0.00,87.33
systems-thinking-in-organizations-and-learning,0.10,2.50,0.00,80.36
systems-thinking-in-organizations-and-learning,0.10,3.00,0.00,78.35
systems-thinking-in-organizations-and-learning,0.20,0.00,0.00,100.00
systems-thinking-in-organizations-and-learning,0.20,0.50,0.00,100.00
systems-thinking-in-organizations-and-learning,0.20,1.00,0.00,99.88
systems-thinking-in-organizations-and-learning,0.20,1.50,0.00,92.91
systems-thinking-in-organizations-and-learning,0.20,2.00,0.00,85.95
systems-thinking-in-organizations-and-learning,0.20,2.50,0.00,78.98
systems-thinking-in-organizations-and-learning,0.20,3.00,0.00,77.30
systems-thinking-in-organizations-and-learning,0.30,0.00,0.00,100.00
systems-thinking-in-organizations-and-learning,0.30,0.50,0.00,100.00
systems-thinking-in-organizations-and-learning,0.30,1.00,0.00,98.50
systems-thinking-in-organizations-and-learning,0.30,1.50,0.00,91.53
systems-thinking-in-organizations-and-learning,0.30,2.00,0.00,84.56
systems-thinking-in-organizations-and-learning,0.30,2.50,0.00,77.60
systems-thinking-in-organizations-and-learning,0.30,3.00,0.00,76.25
systems-thinking-in-organizations-and-learning,0.40,0.00,0.00,100.00
systems-thinking-in-organizations-and-learning,0.40,0.50,0.00,100.00
systems-thinking-in-organizations-and-learning,0.40,1.00,0.00,97.12
systems-thinking-in-organizations-and-learning,0.40,1.50,0.00,90.15
systems-thinking-in-organizations-and-learning,0.40,2.00,0.00,83.18
systems-thinking-in-organizations-and-learning,0.40,2.50,0.00,76.28
systems-thinking-in-organizations-and-learning,0.40,3.00,0.00,75.20
systems-thinking-in-organizations-and-learning,0.50,0.00,0.00,100.00
systems-thinking-in-organizations-and-learning,0.50,0.50,0.00,100.00
systems-thinking-in-organizations-and-learning,0.50,1.00,0.00,95.73
systems-thinking-in-organizations-and-learning,0.50,1.50,0.00,88.77
systems-thinking-in-organizations-and-learning,0.50,2.00,0.00,81.80
systems-thinking-in-organizations-and-learning,0.50,2.50,0.00,75.23
systems-thinking-in-organizations-and-learning,0.50,3.00,0.00,74.15
