article_slug,article_title,year,scenario,active_intervention,primary_stock_label,pressure_label,burden_label,outcome_label,demand_index,capacity_index,trust_index,institutional_memory_index,system_stock_index,burden_index,equity_gap_index,pressure_index,feedback_closure,resilience_index,risk_index,outcome_index,overshoot_pressure
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,0,Baseline / current structure,False,organizational learning and human capacity stock,workload and coordination pressure,hidden labor and rework burden,organizational learning outcome,42.0,46.146,48.513,43.4,64.234,44.32,24.177,45.119,0.05,51.05,37.206,39.912,9.766
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,1,Baseline / current structure,False,organizational learning and human capacity stock,workload and coordination pressure,hidden labor and rework burden,organizational learning outcome,44.3,45.242,46.934,42.779,54.208,46.375,24.363,46.046,0.05,47.933,38.388,37.198,10.026
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,2,Baseline / current structure,False,organizational learning and human capacity stock,workload and coordination pressure,hidden labor and rework burden,organizational learning outcome,46.6,44.287,45.259,42.135,43.916,48.488,24.557,47.085,0.05,44.711,39.636,34.391,10.292
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,3,Baseline / current structure,True,organizational learning and human capacity stock,workload and coordination pressure,hidden labor and rework burden,organizational learning outcome,48.9,43.669,43.836,41.899,32.81,50.323,24.658,48.049,0.22,41.564,40.828,33.913,11.107
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,4,Baseline / current structure,True,organizational learning and human capacity stock,workload and coordination pressure,hidden labor and rework burden,organizational learning outcome,51.2,43.005,42.33,41.642,21.414,52.213,24.767,49.114,0.22,38.312,42.017,31.142,11.396
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,5,Baseline / current structure,True,organizational learning and human capacity stock,workload and coordination pressure,hidden labor and rework burden,organizational learning outcome,53.5,42.292,40.738,41.361,9.722,54.165,24.884,50.28,0.22,34.953,43.27,28.275,11.692
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,6,Baseline / current structure,True,organizational learning and human capacity stock,workload and coordination pressure,hidden labor and rework burden,organizational learning outcome,55.8,41.526,39.057,41.056,0,56.184,25.008,51.551,0.22,31.982,44.548,25.694,11.994
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,7,Baseline / current structure,True,organizational learning and human capacity stock,workload and coordination pressure,hidden labor and rework burden,organizational learning outcome,58.1,40.705,37.28,40.724,0,58.274,25.141,52.929,0.22,31.102,45.712,24.714,12.244
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,8,Baseline / current structure,True,organizational learning and human capacity stock,workload and coordination pressure,hidden labor and rework burden,organizational learning outcome,60.4,39.825,35.405,40.364,0,60.443,25.283,54.417,0.22,30.172,46.912,23.679,12.244
systems-thinking-in-organizations-and-learning,Systems Thinking In Organizations And Learning,9,Baseline / current structure,True,organizational learning and human capacity stock,workload and coordination pressure,hidden labor and rework burden,organizational learning outcome,62.7,38.882,33.425,39.975,0,62.695,25.434,56.018,0.22,29.188,48.179,22.587,12.244
