period,scenario,engagement_index,creator_metric_pressure,harmful_cascade_risk,moderation_backlog,platform_dependency,governance_readiness,user_trust,public_value_index,platform_risk_index
0,Engagement-maximizing platform,67.216,38.087,25.754,20.053,48.706,12.2,68.737,44.115,17.589
1,Engagement-maximizing platform,72.493,41.434,29.867,22.488,52.545,12.2,64.903,42.154,20.445
2,Engagement-maximizing platform,77.834,45.043,34.354,25.334,56.517,12.2,60.439,39.967,23.574
3,Engagement-maximizing platform,83.243,48.919,39.23,28.618,60.624,12.2,55.286,37.538,26.989
4,Engagement-maximizing platform,88.724,53.064,44.509,32.371,64.868,12.2,49.38,34.85,30.703
5,Engagement-maximizing platform,94.28,57.482,50.207,36.623,69.251,12.2,42.652,31.885,34.73
6,Engagement-maximizing platform,99.915,62.178,56.34,41.405,73.775,12.2,35.035,28.626,39.083
7,Engagement-maximizing platform,100.0,66.878,62.688,46.633,78.301,12.2,26.482,25.127,43.618
8,Engagement-maximizing platform,100.0,71.578,69.247,52.32,82.827,12.2,16.95,21.378,48.338
9,Engagement-maximizing platform,100.0,76.278,76.017,58.482,87.353,12.2,6.394,17.37,53.247
10,Engagement-maximizing platform,100.0,80.978,82.999,65.131,91.879,12.2,0.0,14.244,58.256
11,Engagement-maximizing platform,100.0,85.678,90.193,72.285,96.405,12.2,0.0,12.491,63.329
12,Engagement-maximizing platform,100.0,90.378,97.598,79.957,100.0,12.2,0.0,10.75,68.467
13,Engagement-maximizing platform,100.0,95.078,100.0,87.797,100.0,12.2,0.0,9.99,71.631
14,Engagement-maximizing platform,100.0,99.778,100.0,95.637,100.0,12.2,0.0,9.614,74.044
15,Engagement-maximizing platform,100.0,100.0,100.0,100.0,100.0,12.2,0.0,9.596,75.036
16,Engagement-maximizing platform,100.0,100.0,100.0,100.0,100.0,12.2,0.0,9.596,75.036
17,Engagement-maximizing platform,100.0,100.0,100.0,100.0,100.0,12.2,0.0,9.596,75.036
18,Engagement-maximizing platform,100.0,100.0,100.0,100.0,100.0,12.2,0.0,9.596,75.036
19,Engagement-maximizing platform,100.0,100.0,100.0,100.0,100.0,12.2,0.0,9.596,75.036
20,Engagement-maximizing platform,100.0,100.0,100.0,100.0,100.0,12.2,0.0,9.596,75.036
21,Engagement-maximizing platform,100.0,100.0,100.0,100.0,100.0,12.2,0.0,9.596,75.036
22,Engagement-maximizing platform,100.0,100.0,100.0,100.0,100.0,12.2,0.0,9.596,75.036
23,Engagement-maximizing platform,100.0,100.0,100.0,100.0,100.0,12.2,0.0,9.596,75.036
24,Engagement-maximizing platform,100.0,100.0,100.0,100.0,100.0,12.2,0.0,9.596,75.036
25,Engagement-maximizing platform,100.0,100.0,100.0,100.0,100.0,12.2,0.0,9.596,75.036
26,Engagement-maximizing platform,100.0,100.0,100.0,100.0,100.0,12.2,0.0,9.596,75.036
27,Engagement-maximizing platform,100.0,100.0,100.0,100.0,100.0,12.2,0.0,9.596,75.036
28,Engagement-maximizing platform,100.0,100.0,100.0,100.0,100.0,12.2,0.0,9.596,75.036
29,Engagement-maximizing platform,100.0,100.0,100.0,100.0,100.0,12.2,0.0,9.596,75.036
30,Engagement-maximizing platform,100.0,100.0,100.0,100.0,100.0,12.2,0.0,9.596,75.036
31,Engagement-maximizing platform,100.0,100.0,100.0,100.0,100.0,12.2,0.0,9.596,75.036
32,Engagement-maximizing platform,100.0,100.0,100.0,100.0,100.0,12.2,0.0,9.596,75.036
33,Engagement-maximizing platform,100.0,100.0,100.0,100.0,100.0,12.2,0.0,9.596,75.036
34,Engagement-maximizing platform,100.0,100.0,100.0,100.0,100.0,12.2,0.0,9.596,75.036
35,Engagement-maximizing platform,100.0,100.0,100.0,100.0,100.0,12.2,0.0,9.596,75.036
36,Engagement-maximizing platform,100.0,100.0,100.0,100.0,100.0,12.2,0.0,9.596,75.036
0,Overloaded moderation,62.092,36.858,24.305,19.883,48.046,17.0,69.456,47.181,15.757
1,Overloaded moderation,66.219,38.869,26.83,22.017,51.196,17.0,66.502,45.808,17.753
2,Overloaded moderation,70.384,41.035,29.583,24.419,54.449,17.0,63.103,44.284,19.923
3,Overloaded moderation,74.588,43.358,32.574,27.105,57.808,17.0,59.22,42.597,22.275
4,Overloaded moderation,78.834,45.839,35.81,30.095,61.273,17.0,54.811,40.738,24.815
