scenario,actor_id,actor_group,allocation_score,resource_share
performance_only,A001,high_advantage,71.4,0.14487
performance_only,A002,mid_advantage,51.6,0.1047
performance_only,A003,low_advantage,31.3,0.06351
performance_only,A004,high_advantage,69.5,0.14102
performance_only,A005,low_advantage,28.35,0.05752
performance_only,A006,high_advantage,75.25,0.15268
performance_only,A007,low_advantage,25.45,0.05164
performance_only,A008,high_advantage,78.3,0.15887
performance_only,A009,low_advantage,36.3,0.07365
performance_only,A010,low_advantage,25.4,0.05154
need_adjusted,A001,high_advantage,45.9,0.09364
need_adjusted,A002,mid_advantage,49.95,0.10191
need_adjusted,A003,low_advantage,51.2,0.10446
need_adjusted,A004,high_advantage,48.05,0.09803
need_adjusted,A005,low_advantage,51.7,0.10548
need_adjusted,A006,high_advantage,49.3,0.10058
need_adjusted,A007,low_advantage,43.3,0.08834
need_adjusted,A008,high_advantage,49.5,0.10099
need_adjusted,A009,low_advantage,49.15,0.10028
need_adjusted,A010,low_advantage,52.1,0.10629
capacity_building,A001,high_advantage,35.3,0.07641
capacity_building,A002,mid_advantage,46.55,0.10076
capacity_building,A003,low_advantage,54.5,0.11797
capacity_building,A004,high_advantage,38.55,0.08344
capacity_building,A005,low_advantage,56.05,0.12132
capacity_building,A006,high_advantage,38.55,0.08344
capacity_building,A007,low_advantage,46.75,0.10119
capacity_building,A008,high_advantage,37.8,0.08182
capacity_building,A009,low_advantage,50.45,0.1092
capacity_building,A010,low_advantage,57.5,0.12446
visibility_rotation,A001,high_advantage,35.5,0.09285
visibility_rotation,A002,mid_advantage,38.65,0.10109
visibility_rotation,A003,low_advantage,39.8,0.10409
visibility_rotation,A004,high_advantage,37.05,0.0969
visibility_rotation,A005,low_advantage,40.2,0.10514
visibility_rotation,A006,high_advantage,38.7,0.10122
visibility_rotation,A007,low_advantage,34.7,0.09075
visibility_rotation,A008,high_advantage,38.7,0.10122
visibility_rotation,A009,low_advantage,38.45,0.10056
visibility_rotation,A010,low_advantage,40.6,0.10619
