scenario,period,capacity_index
early_advantage_path,0,80.0
early_advantage_path,1,88.6
early_advantage_path,2,97.41
early_advantage_path,3,106.45
early_advantage_path,4,115.71
early_advantage_path,5,125.2
early_advantage_path,6,134.93
early_advantage_path,7,144.91
early_advantage_path,8,155.13
early_advantage_path,9,165.61
early_advantage_path,10,176.35
early_advantage_path,11,187.36
early_advantage_path,12,198.64
underinvestment_path,0,30.0
underinvestment_path,1,32.95
underinvestment_path,2,35.97
underinvestment_path,3,39.07
underinvestment_path,4,42.25
underinvestment_path,5,45.51
underinvestment_path,6,48.84
underinvestment_path,7,52.26
underinvestment_path,8,55.77
underinvestment_path,9,59.37
underinvestment_path,10,63.05
underinvestment_path,11,66.83
underinvestment_path,12,70.7
repair_path,0,30.0
repair_path,1,38.45
repair_path,2,47.11
repair_path,3,55.99
repair_path,4,65.09
repair_path,5,74.42
repair_path,6,83.98
repair_path,7,93.78
repair_path,8,103.82
repair_path,9,114.12
repair_path,10,124.67
repair_path,11,135.49
repair_path,12,146.57
