period,actor_id,actor_group,advantage_index,resource_share,resource_award
0,A001,high_advantage,82.0,0.15739,188867.56
0,A002,mid_advantage,55.0,0.10557,126679.46
0,A003,low_advantage,28.0,0.05374,64491.36
0,A004,high_advantage,79.0,0.15163,181957.77
0,A005,low_advantage,24.0,0.04607,55278.31
0,A006,high_advantage,86.0,0.16507,198080.61
0,A007,low_advantage,22.0,0.04223,50671.79
0,A008,high_advantage,90.0,0.17274,207293.67
0,A009,low_advantage,35.0,0.06718,80614.2
0,A010,low_advantage,20.0,0.03839,46065.26
1,A001,high_advantage,82.976,0.15739,188867.56
1,A002,mid_advantage,55.655,0.10557,126679.46
1,A003,low_advantage,28.333,0.05374,64491.36
1,A004,high_advantage,79.94,0.15163,181957.77
1,A005,low_advantage,24.286,0.04607,55278.31
1,A006,high_advantage,87.023,0.16507,198080.61
1,A007,low_advantage,22.262,0.04223,50671.79
1,A008,high_advantage,91.071,0.17274,207293.67
1,A009,low_advantage,35.417,0.06718,80614.2
1,A010,low_advantage,20.238,0.03839,46065.26
2,A001,high_advantage,83.952,0.15739,188867.56
2,A002,mid_advantage,56.309,0.10557,126679.46
2,A003,low_advantage,28.666,0.05374,64491.36
2,A004,high_advantage,80.88,0.15163,181957.77
2,A005,low_advantage,24.571,0.04607,55278.31
2,A006,high_advantage,88.047,0.16507,198080.61
2,A007,low_advantage,22.524,0.04223,50671.79
2,A008,high_advantage,92.142,0.17274,207293.67
2,A009,low_advantage,35.833,0.06718,80614.2
2,A010,low_advantage,20.476,0.03839,46065.26
3,A001,high_advantage,84.927,0.15739,188867.56
3,A002,mid_advantage,56.964,0.10557,126679.46
3,A003,low_advantage,29.0,0.05374,64491.36
3,A004,high_advantage,81.82,0.15163,181957.77
3,A005,low_advantage,24.857,0.04607,55278.31
3,A006,high_advantage,89.07,0.16507,198080.61
3,A007,low_advantage,22.785,0.04223,50671.79
3,A008,high_advantage,93.213,0.17274,207293.67
3,A009,low_advantage,36.25,0.06718,80614.2
3,A010,low_advantage,20.714,0.03839,46065.26
4,A001,high_advantage,85.903,0.15739,188867.56
4,A002,mid_advantage,57.618,0.10557,126679.46
4,A003,low_advantage,29.333,0.05374,64491.36
4,A004,high_advantage,82.76,0.15163,181957.77
4,A005,low_advantage,25.142,0.04607,55278.31
4,A006,high_advantage,90.094,0.16507,198080.61
4,A007,low_advantage,23.047,0.04223,50671.79
4,A008,high_advantage,94.284,0.17274,207293.67
4,A009,low_advantage,36.666,0.06718,80614.2
4,A010,low_advantage,20.952,0.03839,46065.26
5,A001,high_advantage,86.879,0.15739,188867.56
5,A002,mid_advantage,58.273,0.10557,126679.46
5,A003,low_advantage,29.666,0.05374,64491.36
